Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,2305.9,-11.1,12292.7,8990.6,11.8,4427.8,7839,10621.8
0.11,2322.3,-10.9,12283,8988.9,11.4,4522.6,7812,10531.3
0.21,2356.4,-10.9,12283,8988.7,10.2,4616,7808.9,10450.6
0.31,2375.3,-10.9,12252.8,8988.7,9.1,4865.2,7793.5,10371.8
0.42,2404.2,-10.9,12176.4,8992.1,8.1,5012.7,7758.7,10158.9
0.50,2475.5,-10.9,12094.3,9007.4,7.1,5162.1,7703.5,10003.8
0.62,2580.4,-11,12022,9028.9,6.6,5296.1,7661.3,9855.4
0.72,2670.2,-10.7,11959.8,9047.2,5.1,5407.5,7655.4,9748.8
0.80,2670.2,-10.7,11959.8,9047.2,5.1,5407.5,7655.4,9748.8
0.90,2814.7,-10.6,11802,9062.8,5.8,5647.8,7675.1,9654
1.02,2903.4,-10.5,11729.8,9063.5,5.7,5657.6,7710.9,9648.5
1.12,2903.4,-10.5,11729.8,9063.5,5.7,5657.6,7710.9,9648.5
1.20,2925.8,-10.6,11676.4,9062.2,7.3,5616.4,7786.3,9667.6
1.31,2925.8,-10.3,11692.8,9066.7,7.9,5544.4,7815.7,9708.4
1.41,2925.8,-10.3,11692.8,9066.7,7.9,5544.4,7815.7,9708.4
1.50,2923.2,-9.8,11729,9077.6,8.4,5452.1,7838.7,9758.1
1.61,2903.9,-9.4,11823.4,9128.2,8.1,5099.3,7908.5,9858.5
1.71,2903.9,-9.4,11823.4,9128.2,8.1,5099.3,7908.5,9858.5
1.80,2880.9,-9.4,11865.9,9132.2,8.7,4953.4,7953.3,9927.7
1.91,2840,-9.4,11926.3,9132.3,9.3,4788.5,8013.2,10018.5
2.01,2765.5,-9.4,12034.8,9129.5,8.8,4615.3,8084.9,10243.5
2.11,2658.1,-9.4,12156.7,9121,8.6,4445.3,8157.2,10363.9
2.20,2560.6,-9.3,12254.1,9114.1,9.1,4299.6,8217.5,10480.5
2.31,2494.2,-9.2,12316.6,9114.1,10,4095,8241.4,10557.1
2.40,2482.3,-9.3,12312.4,9118.8,10.1,4022.7,8241.4,10592.6
2.51,2482.3,-9.6,12307.5,9138.3,10,3977.6,8228.8,10592.6
2.61,2499.4,-9.8,12322.8,9171.9,9.8,3954.4,8190.1,10592.6
2.70,2491.8,-9.8,12349.7,9209.9,10.5,3941.8,8145.5,10584.7
2.82,2481.5,-9.8,12358.9,9244.8,11.7,3926.3,8106.5,10577.3
2.91,2494.8,-9.7,12334.4,9276.2,11.5,3931,8074.5,10560.7
3.00,2534,-9.9,12282.9,9303.6,11.8,3991.7,8048.7,10533.8
3.12,2586.5,-10.6,12217.7,9328.4,11.5,4036.5,8025,10499.3
3.20,2644.5,-10.8,12148.1,9352.6,10.7,4087.9,7977.8,10457.2
3.31,2704.9,-10.7,12076.9,9377.1,10.6,4142.9,7953.1,10407.9
