Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,9092.1,3169,4126.6,7733.5,1665.8,9667.3,5786.4,5824.5
0.11,9068.5,3121.7,4161.5,7735.8,1642.8,9649.4,5813.6,5899.2
0.20,9068.5,3121.7,4161.5,7735.8,1642.8,9649.4,5813.6,5899.2
0.31,9030.1,3012.3,4207.1,7767.3,1628.3,9635.1,5833.7,5927.2
0.40,8969.9,2925.9,4278.9,7815.3,1613.8,9619.5,5857.6,5957.5
0.54,8774.1,2688.4,4628.6,7974.8,1579.5,9560.7,5970,6022.9
0.60,8774.1,2688.4,4628.6,7974.8,1579.5,9560.7,5970,6022.9
0.70,8658,2556.3,4776,8068.4,1536.2,9470.1,6013.9,6057.5
0.80,8539,2418.3,4935.7,8170.2,1508.6,9415.6,6062.9,6091.3
0.90,8414.4,2274.5,5092.4,8271.1,1480.3,9362.7,6118.5,6131.3
1.00,8299.8,2141.6,5232.2,8357.6,1456.4,9313.3,6168.6,6176.6
1.10,8203.1,2024.8,5353.4,8428.7,1434.8,9282,6209.2,6219.3
1.20,8119.1,1926.3,5444.7,8490.5,1425.5,9269.3,6230.1,6249.7
1.30,8056.5,1852.3,5502.4,8529.6,1421.9,9286.2,6230.1,6266.7
1.41,8013.4,1801.5,5550.3,8558.5,1424.5,9294.4,6228.6,6272
1.51,7982.7,1758.3,5596,8587.9,1426.4,9290.6,6216.8,6272
1.60,7948.7,1715.6,5711.9,8617.9,1424.6,9281.1,6202,6257.4
1.71,7914.4,1667.7,5752.2,8657.1,1412.7,9277.3,6192.2,6252.3
1.80,7883.3,1625.9,5771.7,8689.5,1408.8,9282.2,6186.5,6249.1
1.92,7877,1623.8,5783.8,8702.9,1406.5,9292.5,6174.5,6245.2
2.01,7874.2,1630.8,5774,8707.9,1406.2,9359.4,6134.1,6241.2
2.10,7887.6,1660.1,5731.3,8696.6,1413.7,9407.6,6096,6229.1
2.20,7920.1,1714.4,5668.7,8663.5,1425.4,9460.5,6043.5,6207.5
2.31,7983.5,1777.5,5596.7,8611.1,1440.9,9519.1,5986.1,6181.5
2.40,8061.3,1851.1,5513.1,8552.3,1461.2,9574.4,5919.5,6150
2.52,8152.5,1940.5,5423.4,8403.6,1484.5,9622.6,5843.9,6108.2
2.64,8258.7,2026.1,5342.7,8337.8,1502.7,9679.8,5778.3,6063.9
2.70,8435.9,2092.8,5243.3,8291.8,1524.7,9699.9,5723.6,6021
2.82,8504.3,2147.4,5199.5,8250.7,1533.2,9707.9,5684.3,5986
2.92,8559.5,2195.4,5173.2,8215.1,1536.1,9710.6,5658,5959.2
3.00,8605.9,2234.7,5158.1,8194.2,1535.8,9716.8,5636.5,5941.1
3.10,8642.9,2261.1,5141.5,8177.6,1536,9725.9,5620.9,5914.6
3.22,8683.1,2285.8,5116.7,8153.2,1538.1,9737.6,5605.2,5906.4
3.30,8683.1,2285.8,5116.7,8153.2,1538.1,9737.6,5605.2,5906.4
3.41,8783.5,2380.5,5042.2,8076.5,1544.8,9765,5572.2,5897.5
3.50,8783.5,2380.5,5042.2,8076.5,1544.8,9765,5572.2,5897.5
3.61,8834.2,2409.9,5006.1,8035.5,1547.6,9765.1,5557.9,5897.9
3.71,8933.9,2466.2,4936.8,7960.3,1550.4,9761.9,5557.2,5898.7
3.80,8933.9,2466.2,4936.8,7960.3,1550.4,9761.9,5557.2,5898.7
3.91,8972.5,2482.8,4881.6,7926.1,1548.2,9759.2,5563.8,5902.2
4.00,8998.3,2484.9,4878.3,7898.1,1542.7,9735.1,5580.1,5914.5
4.11,9009.4,2484.9,4878.3,7881.4,1533.6,9716.2,5606.7,5935.2
4.21,9010.5,2469.4,4888,7874.5,1524.5,9698.9,5639.1,5961.2
4.32,9014.8,2449.9,4893.2,7864,1517.7,9685.6,5668.4,5986.8
4.41,9016.6,2433.3,4896,7853.5,1512,9672.9,5692.6,6008
4.50,9012.5,2410.4,4907.6,7844.8,1505.1,9661.6,5721.2,6031.4
4.62,8997.3,2379.6,4924.3,7843.8,1497.6,9652.8,5752,6058.7
4.71,8981,2356,4936.5,7847,1491.3,9639.8,5778.6,6107.9
4.80,8966.6,2333.9,4941,7842.1,1484.1,9635.3,5801.6,6130.7
4.91,8958.3,2299,4942,7838.4,1481.6,9629.4,5823.4,6151.5
5.01,8951.6,2278.9,4955.8,7838.4,1479,9623.8,5861.4,6169.1
5.11,8941.6,2256.4,4970.7,7840.2,1476.5,9619.5,5872.9,6181.4
5.20,8928.8,2234.8,4987.3,7844.6,1475.4,9616.8,5878.8,6187.9
5.30,8915.2,2212.1,5009.3,7852,1475,9615.3,5883.1,6192.6
5.41,8899.7,2185.2,5033.1,7864.1,1475,9618.8,5883.7,6195.3
5.50,8879.7,2161.8,5051.5,7873.9,1476,9628.3,5883.7,6195.3
5.62,8865.7,2145.3,5066.8,7880.8,1479.2,9643.7,5877.6,6194.4
5.71,8855.5,2133.2,5070.9,7879.7,1485.8,9660.9,5864,6189.6
5.81,8859.3,2140.7,5058.9,7871.8,1508.5,9680.5,5844.6,6181.4
5.92,8866.8,2151.1,5044.6,7851.5,1530.1,9710.6,5813.2,6163.7
6.00,8916.6,2175.8,5012.7,7818.6,1559.1,9792.4,5771.9,6130.6
6.10,8930.9,2189.8,4952,7791,1594.8,9829.4,5736.6,6091.7
6.20,8930.9,2189.8,4952,7791,1594.8,9829.4,5736.6,6091.7
6.32,8944.4,2193.1,4906.8,7739.6,1694.4,9892.1,5673.4,5925.1
6.42,8940.7,2175.7,4900.5,7720.6,1747.9,9914.4,5653.1,5870.3
6.52,8931.6,2153.4,4905.4,7711.7,1799.1,9931.1,5635.5,5818.4
6.61,8931.6,2153.4,4905.4,7711.7,1799.1,9931.1,5635.5,5818.4
6.71,8893.8,2089.5,4916.8,7703.5,1898.5,9975.5,5625.7,5718.6
6.82,8876.7,2055.3,4924.5,7698.3,2004.2,9996.2,5614.3,5663.7
6.91,8876.7,2055.3,4924.5,7698.3,2004.2,9996.2,5614.3,5663.7
7.01,8847.8,1989.8,4924.3,7663.4,2118.6,10038.9,5588.8,5547.9
7.12,8826.5,1956.3,4931.1,7662.8,2171.6,10050.1,5586.6,5497.1
7.20,8826.5,1956.3,4931.1,7662.8,2171.6,10050.1,5586.6,5497.1
7.31,8800.5,1913.3,4960.7,7662.8,2220.8,10054.7,5589.3,5449.6
7.41,8767,1861.6,4991,7666.7,2264.1,10052.3,5594.7,5405.9
7.53,8730.7,1802.9,5038.2,7674,2296.9,10040.8,5604,5375.3
7.61,8682.4,1726.4,5110.1,7697.8,2319,10032.3,5625.7,5366.3
7.70,8682.4,1726.4,5110.1,7697.8,2319,10032.3,5625.7,5366.3
7.80,8539.3,1535.3,5255.8,7774.8,2340.6,10029.7,5682.4,5364.4
7.91,8485.8,1460.6,5307.9,7798.7,2355.9,10033.6,5694.3,5363.7
8.01,8454.1,1369.4,5341,7810.6,2363.5,10071.4,5694.3,5364.8
8.11,8434.7,1338.9,5360.9,7816.4,2370,10096.2,5686.4,5366.5
8.20,8418.9,1306.6,5379.6,7828,2372.9,10112.3,5682.5,5370.2
8.30,8394,1271.2,5411.1,7842.8,2372.7,10116.8,5683.4,5379.4
8.40,8369.3,1235.3,5472.8,7854.6,2369.6,10116.8,5685,5389.6
