Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,7412.2,1023.1,13341.3,14856.2,113,4250,3613.1,2075
0.11,7539.8,1152.8,13500.2,14997.5,39.9,3901.8,3516.3,1927.6
0.21,7649.2,1263.7,13646.3,15137.1,20.4,3758.4,3428.3,1794
0.31,7729.6,1358.6,13752.8,15264.3,9,3641.3,3357.7,1688.7
0.40,7782.4,1482.3,13844.7,15364.9,3.9,3556.9,3311.5,1616.8
0.52,7809.5,1512.9,13936.6,15449.3,3.7,3491.2,3291,1572.1
0.63,7812.7,1529,14004.1,15533.7,4.3,3431.8,3274.9,1540.8
0.71,7813.8,1529,14059.3,15589.7,4.8,3361.3,3262.8,1508
0.80,7803.9,1524.8,14157.7,15618.9,4.5,3347.9,3244.2,1483.6
0.90,7785.7,1500.7,14212.8,15622.6,3.9,3335.4,3237.8,1470.3
1.01,7763.7,1462.8,14269.2,15612.3,3.9,3335.4,3233.7,1460.1
1.11,7743,1418.1,14304.2,15603,4.7,3335.4,3233.7,1459.6
1.20,7722.6,1367,14316.9,15591.7,5.9,3358.7,3244.1,1459.6
1.30,7722.6,1367,14316.9,15591.7,5.9,3358.7,3244.1,1459.6
1.41,7673.1,1243.4,14356.3,15496.2,5.8,3490.3,3269.2,1521.7
1.52,7635.3,1162.1,14400.9,15486.9,4.4,3530.1,3276,1532.1
1.60,7635.3,1162.1,14400.9,15486.9,4.4,3530.1,3276,1532.1
1.71,7588.3,999.5,14497.8,15468.2,4.1,3618.2,3285.5,1546.5
1.81,7588.3,946.3,14532.3,15434.7,4.9,3663.4,3286,1549.5
1.90,7588.3,946.3,14532.3,15434.7,4.9,3663.4,3286,1549.5
2.01,7593.3,875.3,14584.1,15392.1,5.4,3707.5,3283.1,1543
2.10,7604.1,849.2,14598.1,15345.9,4.9,3803.7,3269.1,1533.5
2.21,7622.2,823,14595.7,15288.3,5.9,3853.8,3256.2,1531.6
2.31,7639.3,798.5,14584.1,15222.6,5.7,3896.6,3250.4,1540.6
2.41,7647.5,777.9,14566.2,15162.3,5.8,3929.4,3255.8,1558
2.51,7647.5,752.2,14551.6,15120.3,6.4,3953.3,3269.8,1585.4
2.61,7644,731.5,14536.2,15100.7,7.2,3974.9,3287.2,1613.4
2.71,7626.3,711.4,14532.7,15084.5,6.3,3988.2,3301.2,1644.9
2.80,7603,692.5,14548.2,15078.6,5.2,3968.6,3306.8,1667.5
2.90,7582.4,677.7,14586.8,15089.1,3.5,3950.1,3302.8,1674.8
3.01,7572.3,670.7,14638.1,15111.7,2.1,3936.6,3293.7,1651.1
3.10,7576.1,671,14705.8,15135.1,1.3,3929.3,3283.4,1636.4
3.21,7582.7,671.5,14723.5,15151.8,2.5,3923.3,3269.8,1622.8
3.31,7580.2,665.4,14743.5,15162.3,4.2,3924.9,3259.7,1615.5
3.41,7567.8,651.6,14764.2,15179.5,3.5,3952.7,3256.6,1619.2
3.51,7542.9,596.6,14777.5,15191.4,1.7,3977.8,3261.6,1635.2
3.61,7506.2,567.8,14776.7,15197.3,0,4000.5,3273.6,1661.2
3.71,7471.8,554.3,14752.9,15157.7,0.2,4023.7,3287.3,1691.1
3.80,7454.9,556.8,14712.9,15122,-0.7,4048.5,3301.8,1716.6
3.91,7456.8,558.2,14676.6,15088.5,-1.6,4072.2,3304.7,1736.9
4.00,7456.8,558.2,14676.6,15088.5,-1.6,4072.2,3304.7,1736.9
4.11,7437.6,544.6,14651.8,15071.4,-1.8,4107.4,3303.9,1756.5
4.20,7421,531.6,14679,15074.8,-1.5,4108.7,3297.1,1756.9
4.32,7397.8,511.6,14722.2,15091.6,-0.7,4108.3,3286.6,1752.7
