Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,4244.2,-24,3364.5,5981.4,860.2,9274.2,13445.1,10724.7
0.10,4237.8,-23.8,3398.4,5972.1,839.7,9219.3,13473.9,10739.2
0.21,4225.3,-23.6,3451.7,5978.2,814,9164,13544.1,10739.2
0.31,4210.4,-23.6,3513.2,5998.8,792.9,9117.2,13558.7,10720.1
0.41,4200.1,-23.6,3573.4,6023.3,780.8,9080.3,13556,10685.5
0.51,4197.4,-23.6,3633.3,6049.7,772.2,8984.2,13549.4,10648.6
0.60,4186.6,-23.6,3698.1,6077.6,738.3,8928.1,13559.4,10611.7
0.71,4169.2,-23.7,3806,6110.6,716,8880.2,13601.7,10578.9
0.80,4145.9,-23.7,3823.7,6131.9,690,8826.1,13682,10575.1
0.90,4109.8,-23.8,3838.4,6139.6,665,8779.7,13789.5,10577.1
1.00,4076.3,-23.8,3847.3,6147.1,646,8745.8,13878.5,10623.2
1.11,4063.4,-23.9,3852.8,6150.8,638,8723.1,13902.4,10623.2
1.21,4054.6,-24.1,3869.7,6153.7,640.2,8706.5,13908.6,10602.6
1.30,4063.2,-24.1,3895.2,6172.5,648.7,8703.9,13880.6,10558.3
1.41,4077.8,-23.8,3925.6,6200.1,659.4,8698.8,13834.2,10505.8
1.51,4090.6,-23.6,3961.3,6231.6,665,8683.7,13788.6,10455.6
1.61,4092.6,-23.6,4002.4,6295.4,662.8,8657.2,13757.9,10413.2
1.72,4091.6,-23.7,4047.4,6329.4,652.9,8620.7,13756,10379.5
1.80,4081.4,-23.6,4141.2,6364.4,636.2,8523.3,13780.1,10355
1.90,4061.1,-23.6,4190.8,6399.5,612.2,8462.7,13820.8,10342.6
2.03,4033.5,-23.6,4245.5,6434.5,580,8395.9,13872.4,10339.8
2.10,4033.5,-23.6,4245.5,6434.5,580,8395.9,13872.4,10339.8
2.20,3984.3,-23.4,4373,6525.5,515.2,8271,13973.4,10322.3
2.32,3971,-23.3,4436.9,6578.8,490,8226.6,14011.5,10303.5
2.42,3971,-23.3,4436.9,6578.8,490,8226.6,14011.5,10303.5
2.51,3961.4,-23.7,4541.7,6679.5,451.8,8102,14029.5,10200.8
2.63,3970.4,-23.7,4578.5,6720.4,422.9,8057.2,14026.3,10185.9
2.71,3970.4,-23.7,4578.5,6720.4,422.9,8057.2,14026.3,10185.9
2.80,3981.7,-23.5,4603.8,6748.4,401.2,8015.9,14033.3,10179.9
2.91,3980.2,-23.1,4647.9,6773.5,349.7,7935.7,14130.1,10215.5
3.01,3980.2,-23.1,4647.9,6773.5,349.7,7935.7,14130.1,10215.5
3.10,3968.4,-23.3,4654.3,6780,323.4,7892.8,14200.5,10247.7
3.21,3952.7,-23.6,4672,6791.1,285.3,7811.8,14287.5,10289.3
3.30,3952.7,-23.6,4672,6791.1,285.3,7811.8,14287.5,10289.3
3.40,3951.7,-23.5,4678,6800.9,273.1,7792.8,14296,10305.8
3.51,3954.6,-23.4,4683,6807.5,262.5,7775,14302.3,10320.3
3.60,3961.7,-23.6,4690.3,6817.7,251.6,7759,14303.7,10329.7
3.71,3983.2,-23.7,4696.1,6826.8,226.1,7741.7,14305.5,10334
3.80,3986.5,-23.7,4702.9,6838,212.4,7718.2,14312.4,10335.9
3.91,3986.5,-23.6,4714.1,6873.5,197.3,7669.5,14324.4,10342.9
4.01,3981.3,-23.6,4729.2,6891.3,181.4,7643.6,14343,10356.2
4.12,3969.3,-23.6,4769.6,6908.3,166.9,7622.3,14357.8,10383.6
4.21,3951.7,-23.6,4794.8,6924.8,161.6,7616.8,14355.3,10383.6
4.30,3929.4,-23.6,4822.7,6941.1,161.6,7616.8,14344.5,10382.2
4.41,3903.6,-23.5,4849.9,6958.8,164.5,7626.4,14311.3,10374.4
4.50,3880.5,-23.7,4876.8,6977.6,172,7672.9,14268.1,10364.4
4.61,3860.5,-24,4903.5,6996.4,182.9,7702.7,14214.2,10349
4.70,3841.3,-24,4933.3,7018.6,205.5,7718.4,14143.1,10326
4.81,3824.1,-23.9,4966.2,7045.3,206.3,7712.6,14062.1,10303.6
4.91,3805.6,-23.9,5002.4,7073.6,203.9,7696.7,14049.2,10282.9
5.01,3783.4,-23.7,5040,7098.3,203.4,7687.3,14033.8,10268.8
5.12,3761.5,-23.7,5077,7120.9,206.5,7694.2,13997.7,10251.1
5.21,3740.4,-23.6,5134.5,7142.8,213.5,7710.8,13950.1,10230
5.31,3720.9,-23.3,5156.3,7159.4,222.1,7732.7,13905.6,10211.7
5.40,3702.4,-23.2,5177.5,7171.6,230.7,7753.1,13865.9,10196
5.51,3686.2,-23.2,5196.1,7182.9,239.1,7769.8,13827.3,10183.2
5.61,3674.9,-23.4,5216.1,7193.3,246.9,7777.1,13790.3,10151.4
5.71,3674.9,-23.4,5216.1,7193.3,246.9,7777.1,13790.3,10151.4
5.80,3669.5,-23.1,5259.1,7220.3,249.3,7765,13722.4,10130.4
5.91,3669.5,-23,5277,7235.7,241,7754.8,13690.4,10126.6
6.01,3669.5,-23,5277,7235.7,241,7754.8,13690.4,10126.6
6.11,3678.9,-22.8,5292.9,7268.3,226.6,7748.8,13667,10122.9
6.21,3693.1,-22.8,5292.9,7295.4,223.7,7748.8,13651.7,10122.1
6.31,3693.1,-22.8,5292.9,7295.4,223.7,7748.8,13651.7,10122.1
6.40,3711.1,-22.7,5288.6,7306.3,223.7,7760,13612,10121.5
6.51,3747.8,-22.7,5280,7328.2,237.3,7839,13504.1,10110.5
6.60,3747.8,-22.7,5280,7328.2,237.3,7839,13504.1,10110.5
6.71,3766.1,-22.8,5279.2,7337.5,246.3,7850,13455.7,10099.1
6.82,3797.3,-23,5295.6,7366.3,235.7,7836.8,13404.9,10081.4
6.92,3797.3,-23,5295.6,7366.3,235.7,7836.8,13404.9,10081.4
7.00,3814.5,-22.9,5309.7,7383.3,227.6,7823.9,13400.4,10075.9
7.11,3816.4,-23,5323.1,7397.6,220.9,7817.5,13395.5,10073.2
7.21,3818.1,-23.1,5334.7,7410.3,216.5,7824.3,13382.6,10067.9
7.31,3822.3,-22.9,5343.4,7422.3,213.8,7827.5,13367,10066.2
7.40,3825.9,-22.7,5350.2,7431.7,213.5,7829.9,13343.3,10060.9
7.51,3829.5,-22.5,5362.4,7439.7,211.5,7825.9,13328.8,10058.5
7.60,3832.4,-22.4,5369.6,7448.1,207.1,7814,13328.8,10058.9
7.71,3834,-22.3,5377.2,7454.3,198,7794.7,13332.4,10060.1
7.80,3831.7,-22.3,5394.4,7457.5,176.5,7747.8,13347.6,10065
7.91,3822.8,-22.1,5414.1,7463,165.3,7721.7,13395.1,10073
8.00,3812.9,-22,5434.8,7469.7,154.5,7698.9,13412.3,10075.9
8.10,3810.3,-21.8,5450,7479.6,146.5,7684.5,13424.2,10077.7
8.21,3810.3,-21.9,5453.9,7487.5,142,7679.6,13426.5,10075.7
8.30,3817.9,-21.8,5453.9,7494.1,142,7679.6,13426.5,10075.1
8.41,3835.5,-21.6,5452.1,7500.5,141.4,7682.3,13416.7,10071.8
8.50,3859.7,-21.6,5448.8,7519.7,143.9,7696.5,13391.9,10063.3
8.61,3886,-21.5,5449,7535.9,146.6,7699.6,13364.9,10049
8.71,3909.3,-21.5,5444.6,7548.9,148.4,7699,13328.9,10018.3
8.81,3929.5,-21.3,5441.6,7560.5,142.8,7694.5,13297.9,10009.9
8.91,3947.3,-21.3,5441.6,7573.2,139,7686.7,13283.3,10004.1
9.01,3947.3,-21.3,5441.6,7573.2,139,7686.7,13283.3,10004.1
9.11,3971.7,-21.5,5449.8,7601.3,127.6,7647,13287.1,9993.5
9.21,3986.2,-21.5,5455.5,7615.5,127.2,7635.2,13293.3,9976.6
9.30,3986.2,-21.5,5455.5,7615.5,127.2,7635.2,13293.3,9976.6
9.41,4034.1,-21.9,5478.6,7654.9,140.6,7642.7,13181,9926.9
9.53,4060.5,-22.1,5494.5,7687.5,149.1,7650.1,13126.7,9891
9.61,4060.5,-22.1,5494.5,7687.5,149.1,7650.1,13126.7,9891
9.71,4086.3,-22.2,5517.5,7721,156.4,7654,13067.9,9853.8
9.82,4125.9,-22.2,5590.2,7772.8,166.8,7641.5,12969.5,9780.3
9.91,4125.9,-22.2,5590.2,7772.8,166.8,7641.5,12969.5,9780.3
10.01,4138.4,-22.2,5618.9,7797.3,166,7641.5,12937.8,9754
10.12,4126.4,-22.2,5663.6,7833.4,157.3,7641.6,12906.7,9746.3
10.20,4126.4,-22.2,5663.6,7833.4,157.3,7641.6,12906.7,9746.3
10.31,4083.3,-22.2,5689.1,7849.6,150.3,7634.9,12903.4,9752.9
10.41,4069.3,-22.1,5715.8,7862.9,143.9,7624.6,12901.4,9750
10.51,4063.5,-22,5747,7875.9,140.6,7614.9,12907,9739.7
10.62,4070.7,-22.1,5769.6,7895.9,142.1,7625.2,12895.5,9715.7
10.71,4088.5,-22,5781.4,7917.6,147.8,7643.7,12863.2,9690.1
10.80,4114.2,-21.8,5789.5,7954.2,153.9,7656.3,12819.4,9667.9
10.91,4132.2,-21.8,5821.6,7972.3,158.5,7661.5,12731.2,9647.8
11.01,4138.6,-22,5838.3,7986.6,153,7653.8,12727,9637.6
11.11,4131.9,-21.8,5860.2,7996.6,142.7,7638.1,12729.8,9638
11.21,4118.3,-21.7,5875.5,8001.3,129.2,7589.1,12758.5,9649.6
11.31,4105.2,-21.5,5888.6,8002.4,115.3,7560.2,12801.6,9669.5
11.41,4090.6,-21.5,5906.9,8005.5,100.9,7528.3,12852.4,9692.5
11.52,4074.9,-21.6,5925.5,8013.4,86,7490.1,12905.5,9714.2
11.60,4060.9,-21.6,5946.8,8022.6,72.2,7449.3,12951.4,9726.6
11.71,4048.5,-21.8,5974.4,8032.7,61.6,7410.2,12996.6,9736.6
11.81,4039.1,-21.6,5998.5,8042.1,53.4,7345.7,13044.5,9731.6
11.91,4036.8,-21.6,6021.3,8053.3,41.9,7319.4,13085,9724.6
12.00,4041.5,-21.8,6053.4,8064.1,39.1,7297.6,13111.9,9714.4
12.11,4051.4,-22.1,6065.3,8074.4,35.2,7275.4,13126,9707.3
12.21,4061,-22.4,6075.8,8081.8,29.2,7251.5,13135.6,9709.7
12.31,4063.6,-22.4,6091.1,8084.1,21.4,7232.1,13151.3,9718.9
12.41,4054.3,-22.2,6106.9,8088.7,15.2,7220.2,13187.2,9729.2
12.51,4038.6,-22.3,6116.2,8091.8,10.1,7201.4,13212,9741.8
12.61,4038.6,-22.3,6116.2,8091.8,10.1,7201.4,13212,9741.8
12.70,4018.4,-22.2,6133.7,8100.9,6.8,7169.6,13264.7,9764.7
12.80,4009.9,-22.2,6143.6,8105,5.5,7151.9,13283.1,9774.3
12.90,4009.9,-22.2,6143.6,8105,5.5,7151.9,13283.1,9774.3
13.01,4003.6,-22.1,6168.7,8116.6,5,7110.4,13292.2,9796.1
13.11,3997.9,-22.1,6205.3,8134.3,5.4,7052.8,13288.8,9805.1
13.21,3997.9,-22.1,6205.3,8134.3,5.4,7052.8,13288.8,9805.1
13.31,3993.3,-22,6224.8,8145.4,5.8,7017.1,13289.7,9814.9
13.41,3977.9,-21.6,6275,8169.1,5,6934.2,13299.1,9865.7
13.51,3977.9,-21.6,6275,8169.1,5,6934.2,13299.1,9865.7
13.60,3962.6,-21.6,6298.7,8181.8,3.9,6892.8,13291.1,9884
13.71,3932.6,-21.3,6349.2,8201.4,2.3,6794,13296.5,9936.8
13.80,3932.6,-21.3,6349.2,8201.4,2.3,6794,13296.5,9936.8
13.90,3912.9,-21.2,6376.4,8209.7,2.1,6659.2,13310.9,9974.3
14.01,3893.9,-21.1,6405.4,8217.5,3.4,6594.1,13320.3,10014.4
14.11,3877.6,-21,6427.6,8223.3,4.1,6543.4,13320.3,10054.8
14.20,3866.2,-21.2,6443.9,8226.9,4.3,6507.1,13318.9,10094.2
14.30,3860.8,-21.3,6457.8,8230,4.2,6479.2,13304.1,10134.7
14.41,3860.8,-21.2,6460,8234.5,4.2,6457,13272.4,10169.8
14.51,3862.9,-21.2,6465.5,8239.8,4.9,6418,13230.5,10194
14.61,3867.9,-21.2,6477.9,8250.3,5.2,6398.5,13190.8,10214.7
