Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,3699.4,-7,8463.6,11341.5,98.1,5156.1,10893.8,7578.9
0.11,3638.6,-7.2,8542.7,11363.8,68.6,5130.4,10879.7,7582.6
0.20,3581.5,-7.3,8599.3,11383.1,43.3,5116.8,10865.9,7587
0.31,3524.4,-7.2,8617.8,11402.3,24,5117.4,10848.2,7588.1
0.40,3524.4,-7,8617.8,11421.7,12.9,5130.1,10822.8,7588.1
0.51,3559.6,-7,8583.8,11443.7,10.6,5157,10777.6,7578.4
0.60,3644.3,-6.9,8375.2,11468,10.6,5200.5,10707.3,7554.9
0.71,3767,-6.9,8210.9,11493.4,14.7,5254.8,10618.7,7521.5
0.81,3922.1,-7.1,8033.4,11521.8,28.4,5313.4,10427.7,7476.9
0.90,4094.5,-7.2,7858.7,11548.6,34.6,5428.4,10344,7424.4
1.03,4258,-7.3,7685.7,11570.7,42.3,5483.5,10268.2,7371
1.10,4409.2,-7.4,7520.9,11582.9,48.8,5529.8,10211.3,7298
1.21,4534.4,-7.4,7386.7,11591.3,53.5,5566.3,10177.7,7282.3
1.31,4628.4,-7.5,7286.2,11592.8,57.2,5594.5,10153.4,7268
1.41,4697,-7.6,7211.8,11588.5,60.5,5615.9,10132.2,7256.5
1.51,4751,-7.7,7156.7,11586.4,64.2,5651.4,10112.9,7244.4
1.63,4801.3,-7.9,7107.9,11586.1,68.6,5665.4,10090,7228.2
1.70,4801.3,-7.9,7107.9,11586.1,68.6,5665.4,10090,7228.2
1.80,4898.5,-7.9,6988.4,11602.1,81.6,5686,10041.3,7195.3
1.91,4937.9,-7.9,6971.6,11614,84.8,5687.3,10022.4,7181.8
2.01,4937.9,-7.9,6971.6,11614,84.8,5687.3,10022.4,7181.8
2.11,4969.6,-8,6971.7,11631.3,84.4,5678.5,10011.2,7169.9
2.20,4970.8,-8.1,6990.6,11639.8,81.6,5654.4,10028.5,7169.1
2.30,4970.8,-8.1,6990.6,11639.8,81.6,5654.4,10028.5,7169.1
2.41,4958.7,-8.1,7018.6,11642.4,79.4,5646.6,10042.9,7169.5
2.50,4906.6,-8,7074.1,11641.1,78,5632.8,10068.4,7170.5
2.62,4876.6,-8.1,7104.3,11637.3,77,5624.5,10082.8,7172.2
2.71,4876.6,-8.1,7104.3,11637.3,77,5624.5,10082.8,7172.2
2.81,4801.8,-8.3,7210.1,11629,70.8,5607.2,10103.8,7177.1
2.91,4801.8,-8.3,7210.1,11629,70.8,5607.2,10103.8,7177.1
3.00,4763.2,-8.3,7242.5,11626,70.3,5600.8,10116.7,7177.1
3.11,4728.8,-8.3,7264.8,11622.4,70.9,5595.6,10129.1,7177.2
3.21,4702.7,-8.1,7280.2,11616,71.5,5590.6,10142.4,7180.7
3.31,4678.5,-8.1,7295.5,11606.6,72.4,5586.7,10157,7186.6
3.41,4653.9,-8.1,7314.6,11596.1,73.3,5583,10173.5,7193.2
3.50,4629,-8.4,7332.4,11588.9,73.3,5578.6,10189,7197.7
3.61,4586.8,-8.6,7349.6,11583.5,72.6,5570.2,10202.1,7200.1
3.71,4572,-8.5,7364.8,11579.3,73.7,5567.5,10211.7,7200.3
3.81,4563.8,-8.4,7375.2,11576.8,76.5,5566.3,10220.4,7198.4
3.90,4563.8,-8.4,7375.2,11576.8,76.5,5566.3,10220.4,7198.4
4.01,4545.1,-8.2,7387,11567.5,80.6,5564.4,10235.5,7198.9
4.11,4528.2,-8.4,7399,11560.7,79.3,5563.3,10246.6,7203.8
4.21,4528.2,-8.4,7399,11560.7,79.3,5563.3,10246.6,7203.8
4.31,4489.8,-8.4,7438.5,11556.5,73.8,5549.9,10263.1,7212.7
4.40,4470.4,-8.4,7448.3,11556.1,73.2,5548.4,10270.4,7215
4.51,4463.7,-8.5,7443.5,11556.6,73.4,5550.9,10273.8,7216.7
4.60,4472.3,-8.4,7426.7,11558.2,74.5,5555.6,10271.4,7216.5
4.70,4492.2,-8.3,7402.4,11562.2,77.4,5560.9,10262.9,7213.2
4.81,4510.8,-8.5,7385.4,11568.5,80.1,5565.4,10252.1,7206.1
4.91,4528.7,-8.7,7371,11578,85.5,5574.8,10238.4,7196.3
5.01,4528.7,-8.7,7371,11578,85.5,5574.8,10238.4,7196.3
5.10,4562.2,-8.7,7327.1,11598.3,92.3,5587.1,10204.8,7174.6
5.20,4578.1,-8.7,7314.4,11605.3,96.8,5593.2,10192,7167.7
5.30,4578.1,-8.7,7314.4,11605.3,96.8,5593.2,10192,7167.7
5.41,4591.9,-8.6,7309.9,11612.1,101.3,5600.6,10165.2,7155.6
5.50,4590.1,-8.8,7316.6,11611.4,101.2,5601.6,10164.7,7154.6
5.61,4590.1,-8.8,7316.6,11611.4,101.2,5601.6,10164.7,7154.6
5.71,4583.6,-8.9,7326.4,11611.2,101.2,5601.8,10163.9,7154.4
5.80,4570.4,-8.5,7331.5,11615.4,104,5610.1,10154.9,7145.2
5.91,4570.4,-8.5,7331.5,11615.4,104,5610.1,10154.9,7145.2
6.00,4575.9,-8.3,7314.7,11617,110.8,5618.4,10147.3,7143.9
6.10,4619.6,-8.3,7259.7,11615.5,119.8,5630.7,10123.4,7138.4
6.21,4619.6,-8.3,7259.7,11615.5,119.8,5630.7,10123.4,7138.4
6.32,4647.8,-8.1,7206.8,11615.9,124.2,5647.4,10109.6,7131.8
6.41,4669.7,-8.2,7190.5,11618.7,128.4,5654.7,10097.4,7126.2
6.50,4693.1,-8.4,7178.2,11621.2,131.2,5661.6,10084.7,7122.2
6.61,4708.6,-8.4,7168.8,11624,133.9,5667.7,10075.1,7118.8
6.70,4717.8,-8.3,7158.3,11625.5,137.6,5673.8,10068.6,7116.9
6.81,4744.7,-8.1,7143.8,11627.9,140.5,5681,10047.7,7112.8
6.90,4763.8,-8.1,7126.2,11630,143.8,5699.1,10033.1,7105.8
7.01,4786.9,-7.8,7101.7,11630.5,151.3,5710,10019.8,7099.6
7.11,4811.9,-7.6,7069,11630.5,154.9,5720.9,10009.6,7096
7.20,4841.4,-7.6,7031.9,11631.7,159.4,5731.6,9999.2,7094.4
7.30,4869.5,-7.5,6998.7,11633.9,163.1,5741.4,9987.6,7086.6
7.40,4896,-7.6,6940.9,11637.3,166.5,5749.7,9975.4,7081.1
7.51,4923.8,-7.9,6920,11642.2,169.5,5755.1,9961.7,7073.3
7.61,4951.7,-8,6904.8,11647.3,172.2,5758,9949.8,7066.9
7.72,4971.5,-8.1,6890.4,11649.2,172.8,5758.6,9944,7064.8
7.81,4985.5,-8.2,6879.1,11649.1,174,5758.4,9944,7064.8
