Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,3105.5,2775.7,7873.2,12271.4,561.5,5038.4,12736.2,8191.7
0.11,3096.5,2771,7882.3,12251.5,550.6,4975.1,12781.5,8213.8
0.20,3082.3,2755.3,7901.3,12255.4,538.8,4954.9,12831.1,8237.8
0.31,3071.1,2746.5,7917.3,12269.4,528.6,4942.6,12883.7,8272.4
0.40,3060.3,2740.6,7932.7,12291.1,516.9,4929.8,12951.9,8315.8
0.52,3013.8,2698,7941.2,12361.4,452.6,4879.1,13020.2,8359.3
0.60,3013.8,2698,7941.2,12361.4,452.6,4879.1,13020.2,8359.3
0.72,3006.4,2684,7865.1,12319.3,447.6,4924.8,13132.1,8504.1
0.81,3043.1,2725,7746.9,12003.5,459.7,4959,13220.2,8573.5
0.91,3110.2,2794.1,7626.4,11944.1,481.7,4991.2,13212.8,8537.7
1.00,3218.5,2910.9,7646.1,11909.5,518.1,5016.6,13125.6,8456.7
1.10,3347.5,3051.4,7674.8,11884.6,553.8,5031.4,12977.8,8304.1
1.21,3448.7,3167.2,7698.7,11887.8,579,5054.9,12750,8132.9
1.31,3529.8,3251.3,7721.6,11907.6,604.9,5097.2,12387,8004.4
1.42,3584.5,3356.2,7756.6,11960.2,626.6,5184.5,12232.8,7901.3
1.52,3627.2,3429,7785,12011.9,651.6,5250.9,12067.4,7777.6
1.62,3689.4,3538.3,7781,12009,754.7,5340.1,11865.8,7654.9
1.71,3771.6,3671.2,7754.8,11970.4,830.9,5444,11628.3,7504.9
1.81,3869.9,3809.3,7729.4,11926.5,904,5536.6,11362.5,7332.1
1.91,3971.5,3937.3,7733.8,11901,982.1,5626.7,11076.2,7131.2
2.00,4091.2,4095.3,7647.6,11825.6,1074.7,5847.2,10742.5,6897.1
2.11,4091.2,4095.3,7647.6,11825.6,1074.7,5847.2,10742.5,6897.1
2.22,4413.6,4504.8,7451.7,11534.2,1366.4,6159.5,10155,6221.5
2.36,4597.2,4720.8,7405.8,11380.6,1537.7,6313.1,9889,5989.1
2.40,4597.2,4720.8,7405.8,11380.6,1537.7,6313.1,9889,5989.1
2.53,4907.6,5042.2,7342.7,11191.4,1885.7,6666.2,9271,5555.6
2.60,4907.6,5042.2,7342.7,11191.4,1885.7,6666.2,9271,5555.6
2.73,5185.5,5356.2,7019.3,10788.7,2475.6,7276.9,8962.3,5327.6
2.84,5296.7,5482,6923.7,10589.8,2632,7428.7,8716.1,5206.7
2.94,5403.9,5692.6,6851,10421.1,2798.3,7597.5,8605.5,5090.7
3.01,5403.9,5692.6,6851,10421.1,2798.3,7597.5,8605.5,5090.7
3.11,5586.5,5956.5,6411.7,9781.5,3174.8,7974.7,8414.8,4888.9
3.20,5586.5,5956.5,6411.7,9781.5,3174.8,7974.7,8414.8,4888.9
3.32,5771.3,6099.8,6205.9,9476.2,3379.5,8178,8336.6,4804
3.43,5879.6,6328.8,5857.2,9007.7,3741,8697.1,8282.5,4693.1
3.53,5947.3,6450.8,5699.4,8793.3,3876.4,8786.8,8282.5,4661.3
3.61,5947.3,6450.8,5699.4,8793.3,3876.4,8786.8,8282.5,4661.3
3.72,6021.4,6556,5614.6,8626.7,4005.5,8848.1,8291.2,4643.6
3.83,6046.6,6632.5,5534.8,8515.8,4027.6,8899.4,8396.8,4664.8
3.90,6046.6,6632.5,5534.8,8515.8,4027.6,8899.4,8396.8,4664.8
4.01,6037.3,6634.5,5489.4,8456.3,4023.1,8899.4,8471.7,4710.5
4.12,5975.5,6612.3,5493.9,8463.1,3838.6,8481.5,8756.5,4810.3
4.21,5975.5,6612.3,5493.9,8463.1,3838.6,8481.5,8756.5,4810.3
4.31,5881.1,6516.8,5735.2,8612,3672,8321,9116.7,4904.5
4.40,5715.4,6345.8,5852.9,8852.7,3506,8199,9364.4,5040.7
4.50,5518.8,5915.3,5933.6,9044,3365.9,8087.2,9635,5217.1
4.63,5339.5,5703.4,6013.1,9192.8,3229.1,7969.4,9923.3,5438.8
4.71,5161,5456.9,6146.1,9327.9,2948.2,7672.7,10171.7,5651.3
