Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,4946.5,4588.7,6977.7,10112.5,1830.4,4985.4,12374.8,5642.8
0.12,5189.4,4851,6839.6,9892.6,2007.9,5424.2,12025.2,5353.6
0.25,5424.6,5321.6,6741.2,9729.6,2178.5,5850.9,11645.1,5043.1
0.32,5644.3,5557.8,6658.7,9571.8,2352.2,6282.1,11208.6,4702.6
0.43,5870.5,5830.3,6552,9420.3,2538.8,6710.5,10738.6,4350.7
0.50,5870.5,5830.3,6552,9420.3,2538.8,6710.5,10738.6,4350.7
0.63,6335.5,6356.6,6241.8,9014.6,3152.5,7438.2,9942.5,3774.8
0.72,6546.7,6536.1,6107.1,8806.6,3305.1,7520,9657.7,3613.2
0.85,6699.5,6621.8,6023,8654.8,3390.3,7597,9502,3529.3
0.94,6771.5,6706.3,5958.1,8578.6,3463.7,7631.8,9362.2,3476.9
1.01,6845.7,6724.6,5908.6,8498.5,3498.9,7641.5,9327.5,3459
1.13,6856.5,6683.3,5881.7,8473.1,3511.8,7644.6,9403,3501.8
1.21,6856.5,6683.3,5881.7,8473.1,3511.8,7644.6,9403,3501.8
1.30,6805.7,6614,5863,8453.3,3511.8,7582.2,9649.9,3561.2
1.42,6624.1,6423.7,5944.2,8508.3,3460.1,7549.2,9743.8,3652.6
1.51,6624.1,6423.7,5944.2,8508.3,3460.1,7549.2,9743.8,3652.6
1.60,6563.6,6392.6,5975.4,8579.3,3473.2,7571.5,9742.1,3636.1
1.72,6632.4,6438.4,5939.2,8608.4,3624.6,7738.8,9426.8,3479.5
1.80,6632.4,6438.4,5939.2,8608.4,3624.6,7738.8,9426.8,3479.5
1.90,6741.5,6682.7,5860.5,8540.8,3728.7,7932.6,9191.1,3381.3
2.01,6874.9,6834.4,5766.3,8433.4,3832.9,8025.9,8953.3,3280.1
2.15,7132.5,7101.9,5547.9,8168.3,4035.3,8196.8,8510.7,3089.4
2.20,7132.5,7101.9,5547.9,8168.3,4035.3,8196.8,8510.7,3089.4
2.32,7223.7,7191.9,5520.2,8068.3,4110.1,8251.5,8332.8,3009.8
2.40,7296.6,7261.9,5496.6,7954.3,4163.1,8288.5,8190.2,2941.5
2.50,7364,7327.2,5475.1,7905.3,4202,8314.4,8062.6,2877.9
2.61,7423.2,7381.6,5462.2,7873.1,4255.7,8347.8,7956.9,2825.9
2.71,7463.9,7422.4,5474,7874.4,4268.8,8352.9,7872.1,2783
2.81,7491.2,7441.6,5509.7,7904,4268.3,8342.1,7727.2,2748.2
2.90,7498.8,7432.9,5580.3,7968.9,4262.8,8330.9,7669.6,2697.3
3.00,7498.8,7432.9,5580.3,7968.9,4262.8,8330.9,7669.6,2697.3
3.11,7504.7,7408.3,5690,8068.5,4260.3,8305.9,7590.7,2608.8
3.20,7546.5,7435.2,5682.8,8033.3,4274.7,8316,7568.8,2598.2
3.31,7585.1,7475.4,5654,7992.5,4286,8313.3,7551.8,2592.7
3.41,7618.7,7524.5,5666.3,7972.9,4290.7,8298.5,7533,2583.4
3.52,7636.6,7518.9,5697.7,7979.4,4285.1,8269.3,7519.8,2574.6
3.61,7636.8,7493.6,5744.3,8015.5,4232.7,8226.7,7520.7,2572.6
3.71,7620.1,7453.7,5798.4,8069.6,4194.4,8185,7546.6,2580.2
3.82,7589.8,7413.9,5841,8135.4,4166.5,8158.1,7586.5,2593.1
3.90,7557.9,7391.8,5867.5,8190.2,4151.4,8138.7,7614.9,2606.8
4.01,7538.5,7372.4,5890.5,8223.2,4145.5,8135.3,7628.8,2616.7
4.10,7518.7,7353.7,5911.1,8254.4,4142,8133.4,7646.9,2624.7
4.23,7496,7322.9,5939.2,8293.1,4137,8126.3,7688.8,2635.5
4.30,7465.8,7286,5974.1,8340.3,4126.4,8115.5,7706.1,2640.1
4.42,7436.6,7253.8,5980.5,8392.5,4115.5,8114.6,7719.8,2644.6
4.53,7408,7225.5,5981.4,8403.3,4114.3,8125.1,7757.1,2649.5
4.60,7384.8,7202.1,5981.4,8403.5,4118.5,8122.1,7786.8,2678.5
4.72,7362.8,7178.2,6002.4,8413.8,4110.9,8105.9,7800.3,2686.3
4.80,7362.8,7178.2,6002.4,8413.8,4110.9,8105.9,7800.3,2686.3
4.90,7333.8,7142.7,6052,8456.9,4099.3,8089.2,7812.6,2689.5
5.00,7199.4,6968.1,6158.2,8595.2,4085.9,8068.3,7824.7,2685.5
5.10,7199.4,6968.1,6158.2,8595.2,4085.9,8068.3,7824.7,2685.5
5.21,7164.9,6927.9,6193.8,8642.4,4086.3,8069.2,7814.8,2679.8
5.30,7130,6887.4,6241.7,8699.8,4099.5,8093.1,7798.4,2667
5.41,7130,6887.4,6241.7,8699.8,4099.5,8093.1,7798.4,2667
5.50,7122.4,6879.6,6253.3,8712.3,4114.8,8111.1,7767.2,2650.9
5.62,7116.2,6873.7,6269.9,8723.8,4135.9,8131.8,7725.7,2631.4
5.71,7109.2,6867.2,6284.4,8738.2,4176.4,8150.4,7683.1,2611.6
5.80,7101.8,6860.5,6294.5,8760,4192.4,8167.5,7600.6,2591.3
5.91,7090.7,6850.6,6305.7,8779.9,4208.4,8207.7,7559.3,2569.9
6.00,7081.6,6845.7,6314.4,8799,4225.3,8227.7,7522.6,2549.3
6.11,7075.9,6843.7,6317,8817.3,4240.7,8245,7493.3,2532.5
6.21,7071.1,6843,6315,8825.1,4253.2,8261.2,7473.7,2514.4
6.30,7064.9,6841.2,6308.6,8826.3,4263.3,8273.4,7464.2,2512.6
6.41,7060.7,6842.3,6298.6,8823.9,4268.8,8276,7459.9,2512.1
6.50,7061.3,6848.4,6295.6,8817.4,4268.8,8276,7459.9,2512.1
6.61,7061.3,6846.3,6295.6,8817.4,4265.7,8256.9,7465.5,2516.9
6.70,7057.1,6831,6308.3,8818.8,4232.8,8231.2,7492.1,2531.2
