Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,2203.3,1428.5,11074.7,16808.8,86,5018.2,6997.2,7933.2
0.11,2296.6,1656.4,11000.1,16698,140.8,5132.5,6961.9,7814.5
0.20,2391,1754.2,10937.5,16600.6,167.7,5240.5,6921.9,7703.5
0.32,2476.4,1834.9,10890.2,16518.5,192.3,5434.3,6883.7,7599.8
0.41,2606,1897.3,10852.9,16449.3,215,5511.2,6849.3,7403.3
0.51,2649.6,1941.1,10830.6,16392.9,235.1,5576.9,6822.6,7332.1
0.60,2681.1,1969.9,10820.5,16357.4,252.5,5634.3,6811.3,7274
0.71,2707.2,1990.4,10826.4,16347.1,267.2,5678.6,6781.7,7210.5
0.80,2728.1,2001.8,10826.4,16352.4,281.9,5706.6,6754.2,7148.2
0.90,2743,2003.8,10893.5,16354.8,297.7,5716.6,6724.8,7077
1.00,2753.5,2003.8,10941.6,16368.1,312.8,5709.9,6694.6,7020
1.11,2760.5,1999.9,10984.2,16387.5,333.1,5699.5,6668.9,6971.8
1.22,2764.5,1993.9,11021.1,16398,342.3,5688.8,6655.8,6936.6
1.30,2764.5,1985.7,11061,16403.2,350.9,5679.9,6648.9,6910.9
1.40,2761.9,1969.1,11109.6,16413,358.7,5673.5,6640.7,6890.7
1.50,2748.1,1937.9,11169.3,16440.8,363.1,5670.8,6629.3,6875.5
1.61,2720.9,1831.7,11236,16489.6,367.8,5673.2,6617.7,6850.3
1.71,2683.2,1768.4,11306.8,16554,373.7,5679.9,6608.3,6824.1
1.80,2640.5,1709.4,11375.8,16703.7,382.7,5692.5,6592.6,6803
1.91,2599.6,1661.7,11438.2,16769.2,395.1,5711.2,6569.4,6739.5
2.00,2599.6,1661.7,11438.2,16769.2,395.1,5711.2,6569.4,6739.5
2.11,2543.7,1605.9,11561.9,16867.7,450.1,5763.5,6505.9,6660.3
2.23,2527.7,1593.6,11574.2,16901.4,472.6,5836.1,6422.7,6614.9
2.30,2527.7,1593.6,11574.2,16901.4,472.6,5836.1,6422.7,6614.9
2.40,2511.9,1581.1,11562.8,16914.1,520.4,5917.6,6380.8,6564
2.53,2506.2,1578.9,11525.6,16878.7,540.4,5952.3,6390.2,6574.6
2.61,2506.2,1578.9,11525.6,16878.7,540.4,5952.3,6390.2,6574.6
2.70,2501.9,1580.2,11488,16836.3,554.1,5974.4,6404.6,6593.9
2.81,2498.2,1585.2,11467.6,16813.1,559.2,5981.3,6415.3,6609
2.91,2498.2,1585.2,11467.6,16813.1,559.2,5981.3,6415.3,6609
3.02,2499.3,1594.2,11481.1,16836.8,557.3,5953.6,6382.2,6577.2
3.12,2518.9,1662.6,11573.2,16946.9,519.4,5902.1,6294.8,6477
3.20,2518.9,1662.6,11573.2,16946.9,519.4,5902.1,6294.8,6477
3.31,2538.8,1706.3,11571.1,16993.8,498.8,5877.6,6255.5,6427.8
3.41,2566.4,1752.7,11557.6,17005.3,475.1,5847.8,6242.8,6400.2
3.51,2595.1,1790.8,11531.4,16995.6,447.6,5817.8,6258.5,6434.5
3.61,2617.5,1817.2,11495.9,16977.1,418.7,5758.8,6294.5,6473.5
3.72,2643.3,1834.9,11450.2,16945.2,389,5728.8,6410.4,6543.5
3.81,2656.1,1849,11403.2,16893.6,359.7,5694,6476.7,6609.3
3.92,2671.7,1864.4,11398.4,16874.6,330.5,5656.4,6492.6,6616.8
4.00,2685.9,1877.9,11431.5,16919.5,300.2,5602.8,6473.4,6596.3
4.11,2695,1884.4,11484.7,16971.1,268.2,5537,6442.2,6546
4.22,2699.4,1882.4,11579.5,17170.1,211.2,5469.8,6414.2,6488.6
4.34,2702.5,1878.5,11772.8,17274.3,191.9,5371.9,6382.5,6432.8
4.43,2708.5,1873.1,11871.7,17400.3,180,5326.9,6325.4,6352.3
4.52,2718.4,1865.4,11966.1,17510.4,175.9,5287.2,6258,6256.8
4.61,2726.2,1854.8,12069.5,17615.9,175.9,5248.9,6196.1,6167.5
4.70,2730.2,1798.4,12182.1,17705.3,178.3,5211.7,6134.8,6076.5
4.81,2727.8,1748.4,12287.9,17781.3,181.7,5170.8,6093.6,6002.5
4.94,2716.1,1686.8,12391,17854.7,181.3,5086.3,6075.9,5953.1
5.01,2695.4,1625.8,12527.2,17961,177.9,5039.5,6046.6,5817.7
5.13,2671.2,1577.6,12664.8,18085.6,172.7,4994,5993.4,5750.2
5.25,2650.9,1544.4,12775.7,18201.1,157.7,4955,5907.9,5700.1
5.30,2629.1,1521.9,12872.2,18300.7,146.8,4936.7,5876.2,5684.3
5.41,2613.5,1506.5,12913.7,18344.3,136.7,4936.6,5876.2,5684.3
5.53,2605.9,1502.4,12850.4,18344.3,127.6,4936.6,5887.5,5751.8
5.60,2605.9,1502.4,12850.4,18344.3,127.6,4936.6,5887.5,5751.8
5.72,2603.5,1508.7,12465.8,18122.6,115.1,5068.8,6107.1,6157.8
5.85,2602.9,1516.5,12223.7,17862.7,109.5,5142,6281.5,6444.4
5.91,2602.9,1516.5,12223.7,17862.7,109.5,5142,6281.5,6444.4
6.01,2605.8,1518.1,11948.9,17445.3,111.9,5229,6456.8,6763
6.14,2610.5,1511.6,11890.9,17376.2,119.5,5249.3,6477.2,6807
6.20,2610.5,1511.6,11890.9,17376.2,119.5,5249.3,6477.2,6807
6.31,2620.1,1508.6,11866.1,17351.4,134.5,5265.2,6472.7,6809.4
6.42,2652.2,1551.4,11877.9,17369.2,165.4,5258.7,6442.1,6776.6
6.51,2652.2,1551.4,11877.9,17369.2,165.4,5258.7,6442.1,6776.6
6.61,2681.5,1592.7,11944.3,17387.6,185.2,5260.8,6372.6,6602
6.72,2770.7,1690,11880.9,17307.4,238.2,5288.4,6189.3,6479.4
6.83,2770.7,1690,11880.9,17307.4,238.2,5288.4,6189.3,6479.4
6.91,2829.8,1751.8,11840.8,17216.5,271.7,5318.6,6147.7,6427.1
7.03,2971.5,1820.4,11807.5,17129.4,306,5327.1,6109.6,6366
7.11,3033.5,1882.9,11818,17058.2,338.1,5324.6,6060.1,6268.1
7.21,3075.1,1927.2,11888.5,17063.4,367,5303.1,5991.5,6111
7.31,3101.9,1944.2,12005.9,17147,420.1,5264.9,5910.5,5921.3
7.40,3111.2,1938.6,12154.4,17286.5,447.5,5212.8,5817.2,5717.1
7.50,3107.5,1920.3,12324.5,17478.5,471.7,5179.7,5698.5,5485.1
7.61,3099.3,1899,12454,17672.6,487.5,5153,5610.6,5305.8
7.72,3094.6,1883.9,12599.5,17799.1,492.2,5137.9,5571,5205.3
7.81,3092.6,1874.9,12624.2,17875.2,492.2,5125.7,5563.2,5183
7.90,3086.9,1875,12581.9,17938,482.6,5108.8,5586.7,5178.3
8.02,3071.7,1870.5,12482.8,17928,459.2,5082.3,5672.3,5245.2
8.12,3042.9,1857.3,12349.7,17854.3,428.7,5053.1,5820.3,5585.6
8.20,2999.9,1835.8,12215.8,17732.1,395.3,4960.9,6211.6,5820.6
8.31,2945.8,1803.8,12107.8,17614.8,325.7,4891.9,6402.3,6062
8.43,2886.2,1764.1,12028.7,17525,289.9,4817.8,6569.6,6289.5
8.54,2841.7,1741.8,11950.9,17450.3,255.1,4743.8,6697.6,6474.5
8.60,2822.2,1742.6,11888.5,17385,222.8,4677.5,6788.4,6617.4
8.70,2818.9,1749.9,11817.9,17260.9,193.8,4617,6851,6727.4
8.82,2817.9,1768.3,11711.3,17222.9,165.2,4555.7,6888.9,6808.2
8.90,2814.3,1787.2,11674.5,17200.3,138.3,4425.1,6920,6882.7
9.01,2812.5,1804.8,11645.2,17184,111,4356.6,6953.8,6952.3
9.13,2814.8,1822.5,11617.9,17171.2,82.9,4291.4,6982.9,7015.3
9.22,2814.8,1822.5,11617.9,17171.2,82.9,4291.4,6982.9,7015.3
9.30,2818.6,1865.1,11546.3,17142.8,14.1,4204.7,7040.4,7142.4
9.42,2816.1,1872.9,11504.6,17129.5,6,4182.3,7070.8,7214.7
9.51,2816.1,1872.9,11504.6,17129.5,6,4182.3,7070.8,7214.7
9.60,2812,1879.6,11482.5,17120.8,2.8,4144.6,7074.6,7266.5
9.71,2816.8,1913.7,11455.8,17074.6,2.2,4133.9,7048.3,7319.1
9.80,2816.8,1913.7,11455.8,17074.6,2.2,4133.9,7048.3,7319.1
9.90,2841.8,1957.7,11422.1,17016.9,2.4,4145.2,7015.7,7301.2
10.03,2939.2,2078.4,11355.2,16929.1,2.4,4170,6928.7,7185.9
10.10,2939.2,2078.4,11355.2,16929.1,2.4,4170,6928.7,7185.9
10.21,3039.2,2131.6,11364.6,16904.1,2.5,4180,6899.1,7137.1
10.30,3066,2147.8,11405.9,16896.3,2.5,4193.9,6875.9,7094.9
10.41,3056.6,2117.8,11457.7,16920.3,2.6,4206.7,6849.5,7052.6
10.51,3034,2074.4,11504.1,16974.9,3.8,4228,6822.2,7013.4
10.60,3018.1,2037.4,11544.8,17021.8,7.7,4256.2,6796.9,6968.9
10.71,3013.8,2013.6,11600.3,17065.6,14.5,4287.7,6763.3,6917.4
10.80,3009.2,1984.5,11662.8,17125.9,24.8,4321.4,6710.4,6844.2
10.91,3008.7,1939.2,11726.7,17201,39.1,4383.3,6634.9,6742.8
11.00,3012.4,1923.1,11800.9,17264.8,56.1,4417.7,6545.2,6622.6
11.12,3024.2,1911.9,11982.8,17421.3,75.5,4457.6,6444.7,6491.7
11.22,3044.9,1908.4,12094.9,17512.8,99.2,4497.5,6328.3,6162.9
11.31,3072.5,1905.3,12237.8,17616,128.1,4533.7,6036.9,5958.2
11.43,3097.4,1900.6,12410.3,17739.5,196.6,4567.8,5857.9,5731.3
11.50,3105.7,1879.4,12603,17887.5,228.5,4602.5,5678.4,5505.9
11.61,3105.7,1838.3,12797,18053.3,257.2,4671.3,5521.8,5306.7
11.72,3095.1,1790.6,12952.9,18198,284,4702.6,5404.3,5150.8
11.82,3088.3,1768.3,13038.1,18272.6,310.3,4735.1,5333.9,5047.2
11.91,3088.3,1768.3,13054.2,18279.5,335.6,4768.7,5303.8,4989.4
12.01,3099.1,1782.7,13054.2,18279.5,357.6,4800.7,5301.7,4963.6
12.11,3113.8,1816,13028.2,18253.8,372.1,4828.8,5301.7,4963.6
12.22,3118.8,1842.2,12921.9,18207.1,377.1,4860.4,5331,4972.6
12.33,3106.1,1849.3,12870.5,18177.1,377.1,4861.8,5393.4,5018.4
12.44,3088.6,1820.6,12804.4,18157.7,361.5,4861.8,5481.5,5094.5
12.50,3088.6,1820.6,12804.4,18157.7,361.5,4861.8,5481.5,5094.5
12.62,3026,1798.5,12625.9,18067.9,328.2,4850.8,5723.5,5326
12.76,2995,1798.3,12503.6,17995.7,305.9,4841.8,6023.4,5626
12.81,2995,1798.3,12503.6,17995.7,305.9,4841.8,6023.4,5626
12.94,2942.3,1811.2,12210.1,17813.8,244.6,4771.2,6373.2,6003.1
13.06,2915.1,1815.1,12061.1,17718.1,209.3,4726.6,6558.8,6211.1
13.10,2915.1,1815.1,12061.1,17718.1,209.3,4726.6,6558.8,6211.1
13.21,2884.5,1817.3,11930.8,17628.6,177.2,4678.1,6713.2,6392.3
13.32,2827.3,1858.3,11625.9,17378,121.8,4639.4,6921.8,6690.8
13.42,2827.3,1858.3,11625.9,17378,121.8,4639.4,6921.8,6690.8
13.50,2851.5,1915.4,11501.9,17216,81.8,4642.2,6987.9,6818.9
13.65,2887,1987,11308.7,16952.8,71.8,4778.5,7112.9,7016.2
13.70,2887,1987,11308.7,16952.8,71.8,4778.5,7112.9,7016.2
13.80,2906.3,2016.6,11190.5,16785.9,72.4,4862,7183.7,7133.1
13.91,2934.8,2060.5,11053.3,16595.1,82.6,4961.4,7232.9,7260.1
14.01,2974.5,2189.5,10898.8,16399,99.2,5062.4,7272.5,7379.5
14.10,3033.9,2282.9,10744.9,16216.3,116.2,5150,7300.5,7475.7
14.20,3105.9,2379.6,10617.4,16064.6,131.8,5271.2,7301.2,7529.5
14.31,3105.9,2379.6,10617.4,16064.6,131.8,5271.2,7301.2,7529.5
14.41,3249.6,2554.4,10447.6,15853.9,160.7,5355.2,7193,7502.9
14.51,3318.6,2637.1,10293.3,15755.4,186.2,5403.3,7169.9,7496.6
