Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,4033.9,4682.2,10508.3,14289.6,123.2,1986.4,6557.8,6968.4
0.12,3893.4,4541.5,10531.1,14614.5,122,1480.5,6791.4,7223
0.20,3893.4,4541.5,10531.1,14614.5,122,1480.5,6791.4,7223
0.30,3645.8,4314.6,10012.9,14158,73.7,1467.9,7734.4,8527.4
0.45,3445,4076.9,9682,13791.7,27,1603.8,8411.4,9246.9
0.50,3445,4076.9,9682,13791.7,27,1603.8,8411.4,9246.9
0.63,2709.9,2478.7,9051.9,12963.5,5.3,2171.9,9821.7,10642.5
0.76,2332.5,1936.1,8678.6,12451.2,4.8,2540.3,10526.8,11159.4
0.82,2332.5,1936.1,8678.6,12451.2,4.8,2540.3,10526.8,11159.4
0.94,1826.7,1200.3,7902.7,11796.2,4.5,3410.2,11741.5,11904.9
1.05,1721.2,1050.1,7641.8,11474.5,13.3,3619.8,12133,12133
1.14,1721.2,1050.1,7321,11119.9,37.7,3878,12473.8,12316
1.21,1721.2,1050.1,7321,11119.9,37.7,3878,12473.8,12316
1.34,1800.9,1162.3,6597.2,10204.3,132,4603.2,13059.9,12536.4
1.42,1800.9,1162.3,6597.2,10204.3,132,4603.2,13059.9,12536.4
1.51,1914.6,1284.3,6255.1,9722,208.3,5423.8,13398.9,12516.5
1.63,2186.4,1564.7,5531.6,8778.8,427.6,6251.7,13678.8,12380.5
1.71,2186.4,1564.7,5531.6,8778.8,427.6,6251.7,13678.8,12380.5
1.80,2329.4,1711.9,5122.8,8248.1,552.6,6593.7,13864,12351.9
1.90,2440.7,1822.9,4754.6,7709.1,683,6867,14028,12364.9
2.04,2545.7,1936.1,4058.3,6898,1131.3,7559.1,14194.1,12377.8
2.11,2545.7,1936.1,4058.3,6898,1131.3,7559.1,14194.1,12377.8
2.21,2577.2,1996.3,3987.9,6644.3,1290,7792.9,14217.7,12354.4
2.30,2605.1,2040.5,3947.9,6507.2,1449.3,8030.1,14163.8,12233.9
2.41,2642.2,2087.9,3928.7,6412.5,1612.4,8239.6,13998.4,12023.4
2.50,2683.6,2131.7,3921.8,6407.8,1782.8,8422.1,13826.9,11810
2.62,2721.4,2176,3904.4,6384.5,1952.6,8591.2,13655,11607
2.70,2757.2,2218.9,3878.2,6344.3,2117.2,8754.6,13471.5,11404.1
2.80,2792,2261.4,3865,6313.8,2286.4,9101.1,13279.9,11200.5
2.90,2828.5,2296.2,3837,6273.9,2459.4,9261.7,13108.8,11019.2
3.00,2860,2322.4,3789,6226.2,2620.2,9388.6,12890,10871.4
3.11,2860,2322.4,3789,6226.2,2620.2,9388.6,12890,10871.4
3.20,2900.4,2350,3627.1,6101.7,2941.9,9577.1,12824.3,10697.5
3.32,2905.3,2352.6,3587.6,6046.4,3013.2,9640.5,12836.8,10602.6
3.40,2906.9,2347.3,3557.4,6002,3065.8,9702.8,12860.4,10574
3.52,2895.9,2340,3531.4,5970.6,3107.2,9722.2,12888.1,10546.3
3.61,2889.6,2333.8,3511.6,5946.2,3142.8,9741,12912.9,10516.6
3.71,2885.2,2337.1,3502.2,5933.9,3174.8,9756.5,12926.9,10480.6
3.82,2883.8,2347.7,3496.7,5932.5,3204.3,9764.6,12932.5,10439.6
3.92,2884,2357.2,3493.4,5934.7,3226.7,9764.6,12936.6,10404.7
4.00,2885.2,2364.2,3482.5,5930.4,3239.8,9763.1,12953.3,10398.6
4.10,2885.2,2364.2,3482.5,5930.4,3239.8,9763.1,12953.3,10398.6
4.21,2887.8,2370.3,3367.9,5867,3235.2,9691.3,13059.4,10430.5
4.32,2887,2371.4,3338.4,5818.5,3200.2,9613.7,13163.6,10488.5
4.43,2883.3,2371.4,3332.8,5790.9,3136.1,9511.3,13289.8,10558.5
4.50,2883.3,2371.4,3332.8,5790.9,3136.1,9511.3,13289.8,10558.5
4.61,2876.1,2380.7,3348.8,5788.4,2970.1,9307,13690.9,10707.3
4.73,2876.1,2394.4,3350.4,5814.5,2889.5,9139.8,13815.3,10785.5
4.80,2876.1,2394.4,3350.4,5814.5,2889.5,9139.8,13815.3,10785.5
4.91,2883.5,2434.9,3329.4,5810.2,2745.7,9005.1,14034,11011.9
5.03,2893.4,2462.2,3316.4,5805.8,2676.7,8932.6,14114.8,11068.8
5.10,2893.4,2462.2,3316.4,5805.8,2676.7,8932.6,14114.8,11068.8
5.22,2908.2,2494.8,3307.6,5801.5,2530.3,8856.5,14171.2,11105.5
5.30,2925.5,2567.7,3301,5809.3,2457.3,8780.4,14218.3,11140.5
5.42,2944,2600.6,3308.3,5817.5,2384.3,8701.7,14300.6,11207.9
5.50,2961.2,2631.9,3294.6,5814.4,2312.9,8549,14394,11278.1
5.60,2961.2,2631.9,3294.6,5814.4,2312.9,8549,14394,11278.1
5.72,2998.8,2696.4,3296.3,5806.6,2161.1,8388.8,14556.1,11387.4
5.80,3016.7,2729.4,3323.8,5826.2,2093.5,8334.8,14579.5,11392.3
5.91,3035.7,2768,3368.9,5860.7,2041.6,8304.2,14579.5,11392.3
6.00,3035.7,2768,3368.9,5860.7,2041.6,8304.2,14579.5,11392.3
6.13,3081.5,2843.5,3441.5,5946.7,1987.4,8300.8,14453.7,11339.2
6.23,3105.4,2878.4,3473.6,5979.9,1960.3,8304.6,14387.4,11304.1
6.31,3127.4,2909.6,3505.5,6013.9,1947.8,8306.8,14328.1,11267.2
6.41,3145.9,2933.7,3532.6,6043.6,1931.9,8301.4,14286.4,11217.8
6.50,3159.9,2950.5,3591.6,6071.8,1908.8,8289.7,14255.2,11195.8
6.62,3159.9,2950.5,3591.6,6071.8,1908.8,8289.7,14255.2,11195.8
6.74,3176.8,2967.5,3657.9,6141,1872.4,8258.8,14175.8,11127.1
6.85,3183.2,2971.5,3697.5,6181.6,1861.3,8245.6,14137.7,11100.5
6.92,3184.6,2970.2,3734.6,6228.1,1852.7,8245.2,14118.2,11092.1
7.02,3184.6,2968.6,3754.2,6297.2,1845,8240,14110.1,11089.4
7.11,3184.1,2969.5,3765.8,6307.6,1837,8238.1,14080.1,11063.8
7.21,3184.8,2970.9,3793.6,6337.5,1829.2,8238.1,14055.3,11044.2
7.32,3186.3,2972.5,3809.9,6363.2,1819.5,8225.8,14048.7,11041.2
