Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,4494.9,4745,7369.4,10357.9,2287,6331.8,10249.6,5849.6
0.10,4482,4724.6,7381.7,10372.1,2274.3,6321.1,10274.6,5864.1
0.20,4467.8,4705.3,7390.5,10385.3,2262.3,6310.5,10302,5881.8
0.31,4454.6,4687.5,7400.3,10394.1,2251,6300.3,10327.3,5898.9
0.41,4441.5,4670,7412.5,10403.2,2240.1,6290,10348.9,5913
0.51,4427.9,4633.1,7426.5,10414.3,2229.5,6270.2,10368,5924.6
0.60,4415.6,4616.5,7440.5,10426.8,2219.2,6260.4,10385.6,5936.2
0.71,4404.2,4601.1,7454.7,10441.2,2199.2,6251.1,10400,5945
0.81,4393.8,4587.7,7467.5,10467.6,2191.4,6244.1,10413.7,5961.5
0.90,4384.8,4577.1,7477.1,10475.9,2185.8,6239.9,10426.6,5968.3
1.01,4372.3,4571.1,7482.4,10480.1,2181.8,6237.5,10435.7,5973.9
1.10,4370,4568.2,7484.4,10480.9,2179.3,6236.7,10442.5,5978.6
1.20,4369,4566.5,7484.3,10480.9,2178.3,6236.8,10445.6,5981.4
1.30,4369,4566.5,7482.8,10480.8,2178.3,6238.8,10445.4,5981.9
1.41,4370.1,4567.7,7478.8,10478.6,2179.3,6242.5,10442.7,5981.9
1.50,4374.4,4572.7,7472.9,10473.7,2182.7,6246.8,10435.3,5979.5
1.61,4381,4581,7464.6,10466.2,2187.8,6251.9,10425.6,5974.5
1.71,4388.8,4591.9,7454.3,10456.6,2199.8,6257.9,10416.6,5969
1.80,4397.5,4604.8,7444,10447.2,2206.1,6268.9,10406.7,5964.1
1.92,4406.2,4617.7,7435.9,10439.1,2212,6273.5,10393.4,5957.2
2.01,4415.8,4646.1,7427.5,10431.4,2218.1,6278.6,10377.7,5947.8
2.10,4426.9,4660.7,7407.8,10421.4,2224.4,6283.7,10360.6,5937.5
2.20,4426.9,4660.7,7407.8,10421.4,2224.4,6283.7,10360.6,5937.5
2.30,4446.2,4687.4,7387,10402.2,2236.5,6295,10333.7,5916.2
2.41,4455.1,4699.7,7376.3,10391.4,2240.6,6302.4,10324.8,5911.8
2.51,4455.1,4699.7,7376.3,10391.4,2240.6,6302.4,10324.8,5911.8
2.62,4463.3,4710.8,7367.8,10380.9,2244.3,6305.2,10316.3,5906.3
2.70,4477.8,4729.1,7358.6,10368.5,2254.9,6309.4,10287,5893.5
2.80,4477.8,4729.1,7358.6,10368.5,2254.9,6309.4,10287,5893.5
2.90,4483.5,4736.9,7355.6,10366.2,2257.1,6310.6,10277.3,5887.1
3.00,4495.2,4752.6,7346,10352.9,2262.4,6316.7,10262,5876.6
3.12,4500.9,4760.2,7341.5,10346.8,2265.4,6319.7,10254.5,5871.9
3.21,4500.9,4760.2,7341.5,10346.8,2265.4,6319.7,10254.5,5871.9
3.30,4507.3,4768.7,7326.4,10338.5,2269.5,6323.9,10245.4,5866.4
3.41,4514.1,4778.5,7317.7,10330,2274.6,6329.2,10235.9,5861
3.50,4521.1,4788.7,7307.7,10321.2,2279.8,6335,10227.2,5856.2
3.61,4527.8,4808.9,7296.6,10311.6,2284.9,6340.9,10219.2,5852
3.70,4534.3,4820.2,7285.7,10300.6,2290.7,6346.4,10212.7,5849.1
3.80,4541.5,4831.9,7275.5,10289.8,2301.1,6355.2,10205,5845.8
3.91,4549,4843.4,7267.2,10281.5,2304.5,6357.6,10196.1,5836
4.00,4556.2,4855.7,7258.9,10273.3,2309.3,6360.4,10186.7,5828.5
4.11,4564.7,4869.5,7251.4,10266,2315.5,6364.7,10174.4,5820
