Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,2143.1,-12.7,13416.6,10389.5,4.7,1068.5,11843,12157.4
0.10,2146.9,-12.7,13420.4,10404.3,4.9,1075,11821.5,12107.5
0.20,2168,-13,13417.1,10421.1,5.2,1060.5,11824,12074.2
0.31,2175.7,-13.3,13464,10437.3,5.2,1042.5,11863.5,12055.7
0.40,2147.5,-13.3,13504.2,10449.8,5,1028,11916.5,12077.3
0.51,2094.2,-13.2,13504.2,10446.8,4.4,1009.7,11967.1,12100.3
0.61,2064.4,-13.3,13499.8,10443.2,4.5,961.7,12007.8,12121.3
0.71,2060.9,-13.6,13545.8,10449.4,4.5,849.3,12047.7,12146.1
0.80,2039.6,-13.6,13629.6,10449.4,3.7,828,12078.1,12181.7
0.90,1984.1,-13.2,13695.3,10447.2,2.9,816.6,12101.2,12215.7
1.00,1929.6,-13.2,13703.6,10437.4,2.8,816.6,12112.9,12237.7
1.10,1917.2,-13.4,13703.6,10437.6,3.1,823.1,12099.5,12229.7
1.20,1917.2,-13.5,13686.5,10450.4,2.2,852.5,12009.7,12201.5
1.31,1936,-13.4,13655.4,10471,1.4,888.8,11961.1,12166
1.40,1958.9,-13.5,13649.6,10494.6,0.7,894.6,11919.2,12139.1
1.52,1970.3,-13.4,13640.4,10512.7,0.6,898.7,11901.4,12128.9
1.60,1969.9,-13.1,13631.4,10523.7,0.6,895.3,11888.7,12136.2
1.70,1958.9,-12.8,13648.6,10531.9,0.6,878.9,11880.1,12144.3
1.81,1958.9,-12.8,13648.6,10531.9,0.6,878.9,11880.1,12144.3
1.92,1878.3,-12.4,13730.2,10544.4,0,848.7,11867.6,12159.3
2.01,1846.6,-12.3,13769.1,10545.1,0.8,841.5,11852.9,12149.6
2.10,1846.6,-12.3,13769.1,10545.1,0.8,841.5,11852.9,12149.6
2.21,1827.4,-12.3,13804.8,10543.9,0.5,852.4,11830.7,12129
2.31,1858.8,-12.4,13804.6,10548,-0.4,893.7,11748.2,12063.2
2.40,1858.8,-12.4,13804.6,10548,-0.4,893.7,11748.2,12063.2
2.51,1901.8,-12.2,13782.8,10563.5,-0.3,921,11705.8,12021.9
2.61,1992.3,-12.7,13781.4,10600.1,-0.2,954.9,11630.7,11956
2.72,1992.3,-12.7,13781.4,10600.1,-0.2,954.9,11630.7,11956
2.81,2031.2,-12.7,13785.4,10616.2,-0.5,960.5,11569.3,11927
2.92,2050.8,-12.6,13785.4,10637.2,0.3,1009.5,11556.2,11901.2
3.02,2033.4,-13,13797.4,10634.3,0.9,1100.8,11572.5,11827.2
3.10,2033.4,-13,13797.4,10634.3,0.9,1100.8,11572.5,11827.2
3.21,2025.4,-13.3,13790.5,10632.8,2.2,1147.6,11576,11803
3.31,2026.7,-13.2,13779.8,10632.8,1.9,1208.4,11559.9,11766.5
3.40,2031,-13.7,13771.6,10637.3,1.3,1323.2,11544.7,11674.5
3.51,2056.2,-13.9,13738.4,10643.2,1.7,1379.8,11520.8,11626.9
3.60,2109.3,-13.9,13587,10652.9,2,1439.6,11497.2,11588.1
3.71,2160.5,-14,13515.1,10659.4,2.3,1478.3,11492,11564.9
3.80,2204.3,-13.8,13469.5,10667.3,2.4,1494.6,11492,11542.4
3.92,2254,-13.5,13432,10682.9,2.8,1503.6,11488.2,11518.5
