Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,4052.1,1231.2,3895.5,3305.9,6258,7543.7,13756.8,10379.8
0.11,4052.1,1231.2,3895.5,3305.9,6258,7543.7,13756.8,10379.8
0.20,4052.1,1231.2,3895.5,3305.9,6258,7543.7,13756.8,10379.8
0.31,4052.1,1231.2,3895.5,3305.9,6258,7543.7,13756.8,10379.8
0.41,4526.6,1441,4316.1,3708,5756.7,7389.8,13236.4,9924.7
0.52,4526.6,1441,4316.1,3708,5756.7,7389.8,13236.4,9924.7
0.60,4526.6,1441,4316.1,3708,5756.7,7389.8,13236.4,9924.7
0.72,5049.8,1689.6,4658.5,4078.9,5320.2,7300,12702.5,9500.2
0.80,5602.2,2397.3,4926.1,4412.9,5090.3,7274.1,11714.4,9111.7
0.91,6156.6,2782.9,5138.2,4712.8,4867.3,7344.7,11135.7,8668.5
1.03,6702.5,3129.7,5238.4,4941.4,4778.8,7487.5,10638.8,8220.5
1.11,6702.5,3129.7,5238.4,4941.4,4778.8,7487.5,10638.8,8220.5
1.20,6702.5,3129.7,5238.4,4941.4,4778.8,7487.5,10638.8,8220.5
1.31,7069.9,3387.2,5070.5,5013.4,4782.4,7705.9,10456.8,7974.6
1.40,7069.9,3387.2,5070.5,5013.4,4782.4,7705.9,10456.8,7974.6
1.50,7069.9,3387.2,5070.5,5013.4,4782.4,7705.9,10456.8,7974.6
1.61,7069.9,3387.2,5070.5,5013.4,4782.4,7705.9,10456.8,7974.6
1.71,7069.9,3387.2,5070.5,5013.4,4782.4,7705.9,10456.8,7974.6
1.80,7227.9,3584.4,4584.5,4923.1,4855.5,7845.4,10663.7,8096
1.91,7227.9,3584.4,4584.5,4923.1,4855.5,7845.4,10663.7,8096
2.02,7227.9,3584.4,4584.5,4923.1,4855.5,7845.4,10663.7,8096
2.11,7227.9,3584.4,4584.5,4923.1,4855.5,7845.4,10663.7,8096
2.20,7227.9,3584.4,4584.5,4923.1,4855.5,7845.4,10663.7,8096
2.31,7131.3,3651.7,4199.8,4760.2,4869,7899.3,10903.8,8306.9
2.42,6802.3,3863.9,4545.2,4857.1,4401.6,7735.5,10214.8,8160.5
2.58,6286.9,2907,6226.7,6539.6,3295.5,7593.4,10395.3,8241.5
2.60,6286.9,2907,6226.7,6539.6,3295.5,7593.4,10395.3,8241.5
2.70,6201.1,2834.7,6436.7,6748.6,3351.7,7632.3,10285.4,8196.6
2.81,6201.1,2834.7,6436.7,6748.6,3351.7,7632.3,10285.4,8196.6
2.90,6201.1,2834.7,6436.7,6748.6,3351.7,7632.3,10285.4,8196.6
3.01,6404.5,3125.1,5878.7,6654.7,3660.2,7839.3,9911.6,7748.4
3.11,6581.1,3396.6,5519.5,6467.1,3843.5,7966,9758.1,7600.4
3.20,6773.9,3717.1,5146.1,6260.2,4090.4,8301.7,9546.3,7413
3.37,7286.2,4669.6,4036.2,5612.2,5400.2,8752.2,8823.5,6774
3.50,7764.9,6086,3708.9,5272.2,6253,9010.6,7031.2,5580.4
3.63,8093.9,6665.2,3611.5,5247.8,6760.7,9328.9,6333.8,4825.3
3.73,8404.8,7243,3428.8,5188.7,7311.1,9505.3,5753.2,4169.8
3.82,8977.3,8388.8,2783.7,4876.9,8441.9,9889.5,4759.4,3093.5
3.94,9263.6,8986.2,2340.4,4635.7,9025.4,10063.6,4301,2626.7
4.00,9518.4,9588.7,1893.2,4336.2,10253.5,10201.3,3865.9,2206.5
4.10,9518.4,9588.7,1893.2,4336.2,10253.5,10201.3,3865.9,2206.5
4.21,9714.6,10128.4,1540.2,4071.5,10876.4,10317.3,3469.3,1515.1
4.34,9981.1,11218.7,780.8,3644.9,12262.3,10586.2,2517.9,735.6
4.42,10022.1,11450,684.6,3574,12592.7,10625,2292.9,539.4
4.50,10054.8,11645.7,607.6,3513.9,12879.3,10651.1,2104.9,371.7
4.60,10075.9,11807.8,565.3,3468.8,13114.3,10661,1943.5,232.5
4.71,10075.9,11807.8,565.3,3468.8,13114.3,10661,1943.5,232.5
4.81,10260.1,11903.4,747.2,3613.8,13285.8,10439.7,1654.5,19
4.93,10299.5,12199.7,644.9,3557.8,13436.4,10429.6,1566,17.8
5.01,10299.5,12199.7,644.9,3557.8,13436.4,10429.6,1566,17.8
5.10,10379.4,12570.5,440.6,3445.6,13727,10368.7,1349.2,20.6
5.21,10379.4,12570.5,440.6,3445.6,13727,10368.7,1349.2,20.6
5.30,10379.4,12570.5,440.6,3445.6,13727,10368.7,1349.2,20.6
5.41,10379.4,12570.5,440.6,3445.6,13727,10368.7,1349.2,20.6
5.51,10408.2,12723.4,385.5,3400.1,13831.7,10308.3,1258.1,20.9
5.62,10408.2,12723.4,385.5,3400.1,13831.7,10308.3,1258.1,20.9
5.71,10408.2,12723.4,385.5,3400.1,13831.7,10308.3,1258.1,20.9
5.80,10408.2,12723.4,385.5,3400.1,13831.7,10308.3,1258.1,20.9
5.90,10439.3,12859.6,335.9,3350.3,13947.5,10283.6,1182.6,22.1
