Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,7725.4,4861,14531.2,16184.7,345.2,2048.7,4916.7,790
0.13,7797.3,5083.3,14159.4,15919.6,363.6,2101.7,5174.5,875.3
0.20,7942.3,5341,13294,15623.7,388.9,2164.9,5484.9,991.4
0.32,8014.8,5616.3,12776.5,15277,451.9,2285.9,5785.4,1106.1
0.43,8125.8,5937,12192,14887.6,488.3,2323.1,6050.6,1203.1
0.50,8125.8,5937,12192,14887.6,488.3,2323.1,6050.6,1203.1
0.64,8464.3,7292.1,11122.2,14076.2,527,2375.4,6324.5,1341.8
0.71,8464.3,7292.1,11122.2,14076.2,527,2375.4,6324.5,1341.8
0.83,8807.8,7838.3,10514.1,13471.1,540.9,2395,6494.3,1442.7
0.90,8913.5,7989.2,10444.9,13320.4,540.9,2395,6494.3,1450
1.01,8999.4,8062.2,10444.9,13274.1,537.8,2362.1,6491,1450
1.14,9034.6,8062.2,10502.2,13274.1,529.4,2350.6,6370.2,1389
1.20,9034.6,8062.2,10502.2,13274.1,529.4,2350.6,6370.2,1389
1.32,9033.2,8005.8,10764.8,13332.1,505.9,2330.1,6110.2,1254.9
1.44,9074.7,8034.7,10810.7,13410.6,502.3,2325.3,6024.5,1209.7
1.50,9074.7,8034.7,10810.7,13410.6,502.3,2325.3,6024.5,1209.7
1.63,9248.3,8239.9,10792.2,13405.4,496.5,2306.2,5888,1134.7
1.74,9272.4,8289.3,10813,13399.1,494.8,2286.9,5867.3,1126.6
1.81,9272.4,8289.3,10813,13399.1,494.8,2286.9,5867.3,1126.6
1.91,9251.4,8275.9,10910.6,13446.5,490.4,2267.1,5823.1,1106.5
2.00,9209.1,8196.6,11108.1,13575.5,479.9,2251.5,5737.3,1058.3
2.11,9145.5,7787.3,11384.8,13768.2,467.6,2240.4,5672.6,1022.2
2.20,9044.6,7538,11641.9,13973.2,461.4,2230.7,5624.2,994.6
2.32,8820,7258.4,11898.4,14196.8,468.8,2231,5589.3,980.9
2.40,8820,7258.4,11898.4,14196.8,468.8,2231,5589.3,980.9
2.51,8749.2,7173.4,11913.1,14213.6,476.1,2237.1,5599.7,989.7
2.61,8690.3,7176.3,11832.1,14223.4,486.5,2242.8,5609.2,998.6
2.70,8675.9,7228.2,11723.6,14173.3,496,2245.5,5634.8,1014.8
2.81,8686.3,7303.9,11642.8,14099.8,504.6,2244.5,5679.5,1068.9
2.91,8715,7392.7,11605.8,14039.2,510.9,2237.2,5744.3,1082.3
3.00,8760,7458.5,11593.5,14011.6,514.8,2223.8,5723.2,1073.1
3.11,8803.5,7458.5,11602.1,14001.3,514.9,2224.3,5710.3,1065.3
3.21,8803.5,7456.7,11643.8,14012.1,513.6,2229.2,5710.1,1064.1
3.33,8791.6,7346.5,11722.6,14042.7,514.3,2229.2,5753.7,1088.3
3.41,8705.4,7156.2,11845.6,14112.9,515.9,2227,5764.9,1096.8
3.50,8527.9,6994.4,11976.3,14212.3,516.5,2221,5764.9,1096.8
3.60,8489.9,6826.5,12156.9,14299.7,517.5,2217.5,5754.1,1091.5
3.70,8457,6789.7,12170.5,14362.8,516.6,2213.7,5746.2,1088.7
3.81,8440.9,6760.6,12192.8,14383.5,517.1,2212.9,5748.7,1091.7
3.90,8440.9,6760.6,12192.8,14383.5,517.1,2212.9,5748.7,1091.7
4.00,8378.3,6640,12321.1,14452.2,515.6,2207.3,5755.3,1096.3
4.12,8339.1,6562.9,12404.4,14511.3,512.5,2204.7,5738,1087.4
4.21,8312.4,6500.8,12479.8,14560.7,510,2203,5717.6,1076.9
4.32,8293.8,6457.9,12533.2,14595.8,508.5,2198,5695.4,1058.7
4.42,8286.4,6439,12565.2,14617.4,504.1,2196.9,5658.7,1049.7
4.51,8286.4,6439,12565.2,14617.4,504.1,2196.9,5658.7,1049.7
4.61,8272.1,6416.5,12605.1,14653.7,498.5,2194.8,5627.9,1033.8
4.72,8248.3,6375.9,12696.7,14687.3,496.5,2193.2,5617.4,1028.5
4.81,8248.3,6375.9,12696.7,14687.3,496.5,2193.2,5617.4,1028.5
4.90,8184.5,6271,12774.7,14769.1,495.1,2193.2,5604,1023.7
5.01,8165.7,6242.8,12784.7,14791.8,494.7,2195.5,5606.6,1024.9
5.10,8165.7,6242.8,12784.7,14791.8,494.7,2195.5,5606.6,1024.9
5.21,8151.5,6197.9,12784.9,14799.6,493,2194.6,5624.9,1034.9
5.32,8106.9,6086.5,12863.3,14812.2,481.6,2190.8,5642.8,1048
5.40,8106.9,6086.5,12863.3,14812.2,481.6,2190.8,5642.8,1048
5.51,8068,6006.6,12953,14854.2,470.9,2185.9,5646,1050.5
5.61,8022.6,5912.4,13047.2,14919.4,464.4,2181.3,5651.9,1054.4
5.71,7969,5821.1,13132.4,14982.4,458.5,2174,5651.9,1054.4
5.81,7918.6,5741.8,13212.3,15038.7,455.7,2172.5,5653.5,1056
5.92,7878.9,5677,13335.2,15084.6,454.5,2171.5,5661.2,1060
6.01,7853.9,5622.7,13407.9,15118.2,453.7,2168.7,5660.9,1060
6.10,7831.6,5562.5,13500.7,15222.5,451.9,2165.7,5641,1048.6
6.21,7800.3,5483.7,13590,15292.6,448.8,2161.6,5611.3,1032.5
6.31,7758.1,5413.9,13652.5,15346.5,445.7,2155.8,5588.8,1020.4
6.41,7722.1,5371.9,13684.2,15376.6,444,2154,5570.1,1011
6.51,7702.4,5360.7,13703.6,15394.3,439.1,2152,5549.8,1002.2
6.60,7696.3,5353.7,13720.1,15411.9,437.3,2149.7,5529.7,992.7
6.71,7683.7,5310.2,13744.7,15435.5,437.1,2149,5512.4,983.5
6.81,7642.9,5280.5,13770.6,15456.9,438.6,2148.8,5488.5,971.6
6.90,7624.2,5248,13816.9,15496.6,439.6,2147.6,5464,959.7
7.00,7614.2,5235.6,13852.8,15513.6,439.4,2148.3,5449.7,952.7
7.10,7610.7,5239.1,13840.1,15510.6,439.2,2150.8,5453,955
7.21,7610.4,5244.4,13831.7,15501.3,440.6,2153.7,5456.9,959.4
7.30,7609.2,5241.2,13831.1,15496,443.6,2157.1,5459.2,961.7
7.41,7606.6,5234.2,13832.6,15493.9,446.9,2160,5449.6,961.7
7.50,7607.7,5232.7,13841,15492.2,443.5,2162,5440.3,958.3
7.60,7607.6,5225.7,13863.3,15497.5,439.8,2165.6,5431.7,955.4
7.72,7586.3,5184.6,13905.6,15523.2,435.5,2166.1,5436,959.3
7.80,7549.1,5122.7,13957,15562.8,432.4,2166.9,5452.4,970
7.91,7513.3,5061.7,14003.8,15594.7,430.4,2168.8,5456.4,974.1
8.01,7477.5,5002.5,14056.3,15624.9,430.1,2171.2,5456.4,974.1
8.10,7477.5,5002.5,14056.3,15624.9,430.1,2171.2,5456.4,974.1
8.20,7394.7,4866.4,14267.1,15721.4,432.4,2177.4,5426.9,960.6
8.32,7362.6,4786.1,14293.8,15769.3,433.9,2188.4,5419.9,957.7
8.40,7362.6,4786.1,14293.8,15769.3,433.9,2188.4,5419.9,957.7
8.50,7361.2,4828.4,14209.9,15740.9,447.8,2207.1,5431.7,970.6
8.62,7377.9,4863.7,14169.3,15701.6,456,2215.7,5443.7,980.1
8.71,7377.9,4863.7,14169.3,15701.6,456,2215.7,5443.7,980.1
8.80,7393.7,4886.3,14150.7,15681.2,463.3,2222.5,5442.1,981.9
8.92,7390.5,4871.7,14183.7,15716.1,472,2230.6,5375.9,947.3
9.01,7390.5,4871.7,14183.7,15716.1,472,2230.6,5375.9,947.3
9.10,7378.1,4860.5,14218.1,15743.1,473.1,2231.1,5346.4,931.5
9.21,7375.9,4858.1,14300.7,15784.2,481.5,2236.8,5288.9,899.5
9.31,7375.9,4858.1,14300.7,15784.2,481.5,2236.8,5288.9,899.5
9.40,7376.5,4850.5,14315.4,15807.1,486.7,2238.5,5260.4,883
9.51,7381.4,4860.1,14313.3,15822.5,489.9,2238.5,5238.9,870.9
9.61,7396.2,4891,14309.5,15822.1,491.5,2235.6,5200.9,850.9
9.71,7415.3,4919.1,14301.2,15820.4,490.9,2230.2,5176.2,837.3
9.80,7428.3,4940.2,14272.8,15814.3,490.9,2229.8,5172.4,835.8
9.90,7440.8,5006.1,14238.3,15786.6,491.6,2229.7,5181.6,842.6
10.01,7459.5,5023.4,14210.6,15755.7,492.3,2229.6,5199.5,853.8
10.10,7480.6,5031.8,14191.8,15730.3,493.2,2228.9,5212.1,862.5
10.21,7476.6,5018.9,14197.1,15713.8,493.1,2228.3,5217.9,867
10.30,7464.3,4998.4,14203.7,15711.7,492.2,2229.5,5223.7,871.2
10.41,7449,4974.8,14217.4,15714.4,492.2,2232.2,5238.5,879.6
10.50,7433.4,4961.4,14227.5,15721.3,492.6,2234.1,5253.3,891.7
10.61,7416.8,4945.2,14223.9,15736.3,491.8,2235.4,5258.1,897.2
10.70,7416.8,4945.2,14223.9,15736.3,491.8,2235.4,5258.1,897.2
10.80,7398.6,4933,14232,15759.7,490.9,2239.6,5287.2,916.8
10.91,7378.4,4894.6,14260.9,15779.8,489,2241.9,5299.8,925.4
11.02,7378.4,4894.6,14260.9,15779.8,489,2241.9,5299.8,925.4
11.11,7327.3,4832.1,14275.7,15795.6,484.4,2254.6,5354.2,960.8
11.21,7303.8,4804,14267.9,15805.1,484,2255.8,5394.3,985.5
11.31,7281.4,4787.9,14277.7,15817.4,483.4,2255.8,5403.3,990.6
11.40,7281.4,4787.9,14277.7,15817.4,483.4,2255.8,5403.3,990.6
11.50,7218.1,4743.7,14191.8,15783.2,474.2,2258.7,5493.2,1040.9
11.64,7181.1,4704.1,14169.6,15779.3,455.2,2260.2,5571,1084.9
11.70,7181.1,4704.1,14169.6,15779.3,455.2,2260.2,5571,1084.9
11.82,7075.6,4628.8,14101.3,15744.4,433.1,2270.4,5731.2,1176.8
11.94,7032.1,4616.9,14046.1,15711.9,430.1,2282.2,5853.6,1255.2
12.01,7032.1,4616.9,14046.1,15711.9,430.1,2282.2,5853.6,1255.2
12.11,7004,4616.9,13989.7,15689.5,430.1,2301.1,5939.1,1336.1
12.20,6967.8,4613.8,13924.2,15665.8,437.7,2337.3,5971.4,1381.6
12.31,6916.3,4589.6,13853.2,15641.2,444.3,2392.4,6016.7,1440.4
12.42,6867.7,4568.9,13764.3,15603.2,456.1,2523.9,6073.3,1507.5
12.52,6825.4,4577.8,13653.9,15551.8,471.1,2604.7,6131.1,1576.1
12.66,6768.2,4639.3,13205.8,15373.7,557,2789.5,6250.7,1716.6
12.72,6768.2,4639.3,13205.8,15373.7,557,2789.5,6250.7,1716.6
12.81,6734.4,4659.2,13084.1,15278.7,597.3,2883.8,6306,1785.1
12.93,6697.2,4662.4,12972.9,15195.5,639.1,2982,6337.4,1841.3
13.02,6653,4592.9,12893.7,15137.1,688.3,3186.5,6395.2,1914
13.11,6578.5,4505.9,12826.6,15024.8,745.4,3293.3,6442.9,1986.7
13.22,6496.2,4442.6,12763.7,14978.2,802.6,3396,6475.4,2038.4
13.31,6427.8,4399,12710.3,14946.6,856.9,3484.7,6469.4,2078.2
13.40,6321.2,4367.6,12705.7,14938.1,908.7,3567.1,6453.5,2101.7
13.52,6287.3,4343.6,12693.6,14922.9,961.2,3649.4,6405.4,2115.3
13.62,6256.1,4316.4,12675.8,14910.1,1009.9,3720.8,6316.8,2101.9
13.70,6207.3,4262.8,12647.3,14893.8,1093.4,3829.1,6306.1,2122.1
13.82,6154.6,4198.5,12624.3,14880.5,1134.2,3870.2,6316.6,2141.7
13.90,6123.4,4146.6,12632.1,14885.2,1171.4,3890,6316.5,2141.7
14.00,6096,4108.4,12649.5,14893.1,1194.7,3894.3,6301.7,2134.9
14.10,6067.6,4069.5,12706.4,14914.7,1209.5,3894.3,6265.3,2109.7
14.20,6029.5,4010.6,12780.9,14962.9,1219.7,3893.9,6228.7,2084.4
14.32,5989.4,3943.6,12853.6,15018,1228.3,3894.2,6202,2066.4
14.42,5948.1,3873.5,12912.5,15066.3,1235.8,3893,6186.9,2055.4
14.51,5911.4,3772.4,12966.5,15106.5,1239.2,3885.3,6190,2054.8
14.61,5886.8,3737.9,13009.9,15145.3,1241.1,3872.5,6196.8,2054.4
14.70,5873.5,3742.5,13033,15171.3,1235.6,3856.9,6187.2,2043.7
14.81,5885.2,3757.5,13057.7,15184.5,1234.8,3844.3,6161.6,2021.4
14.92,5905.4,3773.4,13082.3,15197.7,1237.5,3838.5,6138.4,2000.5
15.01,5905.4,3773.4,13082.3,15197.7,1237.5,3838.5,6138.4,2000.5
15.11,5935.7,3803.7,13072.6,15198,1245.9,3813,6094.1,1959.8
15.22,5953.4,3821.9,13095.4,15190.1,1241.5,3793.8,6072.6,1940.2
15.30,5953.4,3821.9,13095.4,15190.1,1241.5,3793.8,6072.6,1940.2
15.41,5975.2,3835.6,13113.3,15220.1,1230.9,3781.6,6051.8,1918.4
15.51,5977.9,3833.8,13124.8,15234.8,1229.5,3780.2,6051.8,1917.5
15.62,5977.9,3833.8,13124.8,15234.8,1229.5,3780.2,6051.8,1917.5
15.70,5966.7,3805.2,13140.5,15257,1227.3,3787.8,6068.5,1925.7
15.81,5945.3,3771.9,13142.5,15254.1,1236,3789.1,6095.5,1944.2
15.91,5926.6,3749.7,13119.2,15231.7,1242.7,3793.6,6119.8,1961.7
16.01,5913.5,3743.1,13095.1,15212.6,1249.8,3799.8,6136.1,1973.6
16.10,5913.5,3743.1,13095.1,15212.6,1249.8,3799.8,6136.1,1973.6
16.21,5893.1,3715.7,13082,15200.1,1270,3810.8,6152.9,1985.7
16.30,5884.9,3696.8,13094.2,15203.7,1281.7,3819.3,6142.9,1982.2
16.41,5872.4,3661.1,13131.4,15221.4,1292.6,3826,6125.2,1973.8
16.50,5872.4,3661.1,13131.4,15221.4,1292.6,3826,6125.2,1973.8
16.60,5837.2,3582,13227.4,15277.4,1304.9,3824.3,6085.4,1940.8
16.70,5796.7,3531.9,13281.3,15307.2,1309.9,3822.7,6061.2,1932.4
16.82,5769.8,3481.3,13331.2,15337.5,1319.2,3822,6055.9,1926.3
