Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,4417.7,1940.8,8319.4,8648.1,2280.4,6535.6,11109.5,8911.8
0.12,4550,2136.7,8221.9,8510.7,2354.2,6573.6,10983.1,8814.7
0.22,4593.4,2188.7,8215.4,8508.8,2379.5,6573.1,10944.3,8737.4
0.30,4593.4,2188.7,8215.4,8508.8,2379.5,6573.1,10944.3,8737.4
0.41,4624.9,2223,8207.5,8510,2396.2,6569.7,10910.2,8706.2
0.51,4681.1,2363.5,8178.2,8518.9,2394.6,6562.6,10847.9,8656.2
0.62,4709.2,2402.1,8146,8512.9,2388.5,6555.6,10834.7,8644
0.70,4709.2,2402.1,8146,8512.9,2388.5,6555.6,10834.7,8644
0.81,4753.8,2452.4,8055.4,8476.4,2371.4,6554,10852.3,8684.1
0.92,4771.9,2484.4,7998.5,8438.7,2373.7,6556.7,10876.4,8710
1.00,4771.9,2484.4,7998.5,8438.7,2373.7,6556.7,10876.4,8710
1.11,4789,2516.9,7917.9,8412.5,2373.5,6552,10894.2,8732
1.20,4797,2529.1,7900.2,8389.6,2365.7,6539,10936.1,8749.9
1.31,4799.7,2531.5,7885.2,8371,2357.4,6525.7,10953.9,8769.6
1.40,4804.4,2535.5,7871.9,8352.9,2349.9,6512.9,10969.8,8784.2
1.52,4792.4,2519.8,7901.4,8336.6,2318.4,6446.8,11025.5,8818.9
1.60,4792.4,2519.8,7901.4,8336.6,2318.4,6446.8,11025.5,8818.9
1.71,4766.1,2480.7,7935.1,8358.1,2293.6,6424.2,11047.2,8840
1.81,4742,2444.7,8010.9,8392.9,2266.6,6403,11052.5,8827.5
1.90,4720.6,2409.7,8050.4,8433.4,2244.1,6377.6,11059.7,8827.8
2.02,4703.5,2380.6,8094.8,8460.8,2222.2,6362.3,11086.8,8858.7
2.10,4701.2,2394.9,8073.4,8449.9,2201.9,6360.3,11128.8,8896
2.20,4705.1,2423.1,7905.7,8419.1,2185,6363.1,11195.1,8976.3
2.30,4709.4,2453.7,7783.9,8293.6,2168.3,6388.3,11280.2,9075.9
2.40,4706.5,2462.7,7694.2,8240.9,2136.5,6394.9,11368,9172.6
2.51,4701.2,2448.6,7639.9,8203.6,2118,6397.7,11447.7,9252.6
2.62,4689.5,2424.2,7620.4,8182.9,2102,6400.8,11508.6,9311.6
2.71,4689,2410.2,7624.8,8176.9,2093,6406.9,11560.3,9349.8
2.81,4692.4,2413.9,7613.5,8166,2091.1,6416,11545.2,9358
2.90,4712.2,2440.8,7565.2,8137.5,2091.9,6436.6,11509.2,9339.7
3.01,4766.2,2519.2,7492.2,8099.7,2091.8,6452.3,11445.1,9313.8
