Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,4395.5,813.3,7791.6,10071.8,1315.6,6010.5,11602,9803.2
0.11,4409.4,823.4,7819,10083.2,1325.5,6016.9,11605.5,9809.5
0.23,4470.5,895.1,7844.3,10071.9,1376.4,6033.5,11440.2,9661.3
0.30,4490.5,907.9,7864.4,10082.9,1384.2,6028.8,11405.9,9626.6
0.41,4505.6,918.2,7876.4,10098.9,1384.9,6030.7,11369.5,9593.3
0.51,4505.6,918.2,7876.4,10098.9,1384.9,6030.7,11369.5,9593.3
0.70,4619.3,1076.5,7734.3,9999.5,1486.6,6192.2,11168.8,9495
0.81,4623.5,1084.5,7720.2,9986.6,1485.9,6191.9,11195.7,9525.9
0.90,4623.5,1084.5,7720.2,9986.6,1485.9,6191.9,11195.7,9525.9
1.01,4623.5,1084.5,7720.2,9986.6,1485.9,6191.9,11195.7,9525.9
1.11,4611.3,1044.2,7714.9,9984.5,1477.1,6192.4,11224.1,9569.7
1.21,4611.3,1044.2,7714.9,9984.5,1477.1,6192.4,11224.1,9569.7
1.30,4611.3,1044.2,7714.9,9984.5,1477.1,6192.4,11224.1,9569.7
1.41,4579,1030.9,7722.6,9993,1471.9,6200.7,11247.3,9624.3
1.50,4561.1,1028.6,7712.3,9993,1475,6205.4,11250.8,9632.6
1.61,4561.1,1028.6,7712.3,9993,1475,6205.4,11250.8,9632.6
1.70,4561.1,1028.6,7712.3,9993,1475,6205.4,11250.8,9632.6
1.81,4548.2,1044.6,7699.6,9981.4,1479.4,6210.7,11236.2,9626.5
1.90,4555.5,1061.5,7687.8,9967.5,1485.1,6212.6,11221.1,9618.8
2.01,4555.5,1061.5,7687.8,9967.5,1485.1,6212.6,11221.1,9618.8
2.11,4586,1080.7,7687.5,9952.3,1483.2,6205.2,11205.1,9606.4
2.20,4586,1080.7,7687.5,9952.3,1483.2,6205.2,11205.1,9606.4
2.31,4582.3,1078.4,7700.8,9961.3,1473.9,6192.9,11215.5,9610.5
2.40,4582.3,1078.4,7700.8,9961.3,1473.9,6192.9,11215.5,9610.5
2.51,4582.3,1078.4,7700.8,9961.3,1473.9,6192.9,11215.5,9610.5
2.60,4576,1072.6,7715.8,9973.9,1468.5,6184,11222.9,9612.3
2.70,4576,1072.6,7715.8,9973.9,1468.5,6184,11222.9,9612.3
2.81,4576,1072.6,7715.8,9973.9,1468.5,6184,11222.9,9612.3
2.91,4569.6,1060.7,7760.1,10012.9,1438.3,6127.1,11240.8,9596.3
3.00,4562.7,1051.7,7794.9,10031.3,1427.2,6112.1,11258.9,9599.3
3.11,4562.7,1051.7,7794.9,10031.3,1427.2,6112.1,11258.9,9599.3
3.21,4562.7,1051.7,7794.9,10031.3,1427.2,6112.1,11258.9,9599.3
3.31,4562.7,1051.7,7794.9,10031.3,1427.2,6112.1,11258.9,9599.3
3.42,4562.7,1051.7,7794.9,10031.3,1427.2,6112.1,11258.9,9599.3
3.50,4566.2,1052.5,7805.2,10040,1426.6,6082.3,11258.9,9591.9
3.60,4566.2,1052.5,7805.2,10040,1426.6,6082.3,11258.9,9591.9
3.72,4578.9,1076.8,7811.2,10035.4,1429.1,6074.9,11244.8,9575.7
3.80,4613.2,1110,7815.2,10031.2,1442.1,6067.6,11210.2,9504.6
3.92,4613.2,1110,7815.2,10031.2,1442.1,6067.6,11210.2,9504.6
4.01,4613.2,1110,7815.2,10031.2,1442.1,6067.6,11210.2,9504.6
4.10,4613.2,1110,7815.2,10031.2,1442.1,6067.6,11210.2,9504.6
4.21,4633.6,1129.1,7814.9,10025.9,1444.6,6063.4,11193.7,9485.6
4.30,4649.4,1140.3,7817.6,10023.8,1440.1,6050.2,11193.3,9478.1
4.41,4649.4,1140.3,7817.6,10023.8,1440.1,6050.2,11193.3,9478.1
4.50,4663.2,1145.2,7836,10033.6,1420.8,5994.2,11218.7,9479.9
4.60,4668.1,1147.2,7875.7,10059.3,1400.9,5969.4,11233.6,9472.8
4.70,4668.9,1148.5,7890.5,10072.6,1395.6,5963.7,11236.5,9465.7
4.81,4683.1,1163.6,7902.5,10085.2,1377.7,5933.5,11237.4,9459.3
4.91,4683.1,1163.6,7902.5,10085.2,1377.7,5933.5,11237.4,9459.3
5.00,4689.7,1173.9,7884.3,10068.2,1371.2,5916.3,11258.3,9474.5
5.10,4689.7,1173.9,7884.3,10068.2,1371.2,5916.3,11258.3,9474.5
5.21,4689.7,1173.9,7884.3,10068.2,1371.2,5916.3,11258.3,9474.5
5.30,4691.2,1175.6,7883.9,10065.7,1361.6,5899.4,11271,9483.2
5.41,4691.2,1175.6,7883.9,10065.7,1361.6,5899.4,11271,9483.2
5.50,4691.2,1175.6,7883.9,10065.7,1361.6,5899.4,11271,9483.2
5.61,4691.2,1175.6,7883.9,10065.7,1361.6,5899.4,11271,9483.2
5.71,4691.2,1175.6,7883.9,10065.7,1361.6,5899.4,11271,9483.2
5.81,4691.2,1175.6,7883.9,10065.7,1361.6,5899.4,11271,9483.2
5.91,4691.2,1175.6,7883.9,10065.7,1361.6,5899.4,11271,9483.2
6.00,4690,1173.5,7892.7,10069.9,1348.6,5879.1,11283.6,9497.4
6.11,4690,1173.5,7892.7,10069.9,1348.6,5879.1,11283.6,9497.4
6.20,4690,1173.5,7892.7,10069.9,1348.6,5879.1,11283.6,9497.4
6.32,4690,1173.5,7892.7,10069.9,1348.6,5879.1,11283.6,9497.4
6.40,4688.4,1171.4,7905,10077.4,1337.8,5859.7,11294,9501.5
6.50,4688.4,1171.4,7905,10077.4,1337.8,5859.7,11294,9501.5
6.60,4688.4,1171.4,7905,10077.4,1337.8,5859.7,11294,9501.5
6.71,4685.4,1165.4,7946.9,10099.3,1321.5,5834.5,11318.2,9514.3
6.80,4713.3,1199.7,7955,10111.3,1316,5830.2,11307.3,9499.1
6.91,4713.3,1199.7,7955,10111.3,1316,5830.2,11307.3,9499.1
7.00,4713.3,1199.7,7955,10111.3,1316,5830.2,11307.3,9499.1
7.10,4713.3,1199.7,7955,10111.3,1316,5830.2,11307.3,9499.1
7.21,4713.3,1199.7,7955,10111.3,1316,5830.2,11307.3,9499.1
7.32,4731.3,1215.6,7941.6,10106.3,1321.9,5839.4,11309,9498.7
7.41,4731.3,1215.6,7941.6,10106.3,1321.9,5839.4,11309,9498.7
7.50,4731.3,1215.6,7941.6,10106.3,1321.9,5839.4,11309,9498.7
7.61,4765.7,1265.8,7877.6,10051.7,1338.5,5854.6,11303.7,9493.8
7.70,4765.7,1265.8,7877.6,10051.7,1338.5,5854.6,11303.7,9493.8
7.80,4769.8,1280.2,7850.2,9999.8,1344.4,5853.1,11302.4,9495.5
7.91,4769.8,1280.2,7850.2,9999.8,1344.4,5853.1,11302.4,9495.5
8.01,4769.8,1280.2,7850.2,9999.8,1344.4,5853.1,11302.4,9495.5
8.11,4769.8,1280.2,7850.2,9999.8,1344.4,5853.1,11302.4,9495.5
8.22,4777.1,1311.8,7777.2,9956.7,1355.8,5853.7,11291.3,9502.6
8.30,4777.1,1311.8,7777.2,9956.7,1355.8,5853.7,11291.3,9502.6
8.40,4785.7,1326.8,7770.4,9951.2,1371.5,5864.9,11277.1,9477.9
8.52,4798.3,1340.2,7770.4,9952.9,1382.1,5868.9,11257.6,9459.8
8.60,4798.3,1340.2,7770.4,9952.9,1382.1,5868.9,11257.6,9459.8
8.71,4806.9,1346.7,7785.3,9962,1388.5,5864.6,11235.1,9441.9
8.80,4806.9,1346.7,7785.3,9962,1388.5,5864.6,11235.1,9441.9
8.91,4806.9,1346.7,7785.3,9962,1388.5,5864.6,11235.1,9441.9
9.00,4810.3,1346.7,7810.7,9981.8,1385.6,5857.7,11217.6,9420.1
9.12,4810.3,1346.7,7810.7,9981.8,1385.6,5857.7,11217.6,9420.1
9.20,4810.3,1346.7,7810.7,9981.8,1385.6,5857.7,11217.6,9420.1
9.30,4807.9,1345.9,7838.2,10005.1,1378.4,5840.5,11202.4,9397.8
9.42,4802,1337.3,7874.6,10035.5,1368.2,5818.9,11194.4,9378.6
9.50,4802,1337.3,7874.6,10035.5,1368.2,5818.9,11194.4,9378.6
9.61,4787.3,1319.4,7912.3,10064.9,1353.7,5776.6,11191,9363
9.70,4787.3,1319.4,7912.3,10064.9,1353.7,5776.6,11191,9363
9.80,4787.3,1319.4,7912.3,10064.9,1353.7,5776.6,11191,9363
9.91,4787.3,1319.4,7912.3,10064.9,1353.7,5776.6,11191,9363
10.01,4787.3,1319.4,7912.3,10064.9,1353.7,5776.6,11191,9363
10.11,4787.3,1319.4,7912.3,10064.9,1353.7,5776.6,11191,9363
10.21,4787.3,1319.4,7912.3,10064.9,1353.7,5776.6,11191,9363
10.31,4787.3,1319.4,7912.3,10064.9,1353.7,5776.6,11191,9363
10.41,4787.3,1319.4,7912.3,10064.9,1353.7,5776.6,11191,9363
10.50,4787.3,1319.4,7912.3,10064.9,1353.7,5776.6,11191,9363
10.61,4787.3,1319.4,7912.3,10064.9,1353.7,5776.6,11191,9363
10.70,4787.3,1319.4,7912.3,10064.9,1353.7,5776.6,11191,9363
10.80,4769.1,1301.8,7943.5,10090.1,1344.8,5768.7,11190.1,9354.6
10.91,4769.1,1301.8,7943.5,10090.1,1344.8,5768.7,11190.1,9354.6
11.00,4754.9,1289.4,7963.8,10111.4,1344.8,5766.1,11187.8,9348.9
11.11,4743.2,1278.3,7978,10126,1352.3,5762,11184.1,9344.8
11.21,4743.2,1278.3,7978,10126,1352.3,5762,11184.1,9344.8
11.31,4710.6,1241.3,8124.2,10212.1,1373.3,5746.4,11095.9,9281.3
11.41,4710.6,1241.3,8124.2,10212.1,1373.3,5746.4,11095.9,9281.3
11.50,4710.6,1241.3,8124.2,10212.1,1373.3,5746.4,11095.9,9281.3
11.61,4703.4,1231.6,8170.8,10250,1376.3,5738.6,11071.2,9254.8
11.70,4694,1220,8221.9,10292.5,1377.3,5727.9,11046.3,9192.9
11.82,4690.7,1194.9,8271.4,10333.7,1376.9,5718.2,11030.5,9176.9
11.91,4669.8,1146.3,8332.1,10409.2,1371.7,5703,11031.5,9164.5
12.01,4669.8,1146.3,8332.1,10409.2,1371.7,5703,11031.5,9164.5
12.10,4669.8,1146.3,8332.1,10409.2,1371.7,5703,11031.5,9164.5
12.20,4650.3,1114.1,8353,10431.2,1361.4,5695.1,11042.2,9172.4
12.31,4621.5,1080,8363.6,10450.4,1352.5,5710.7,11057.2,9191.2
12.40,4621.5,1080,8363.6,10450.4,1352.5,5710.7,11057.2,9191.2
12.51,4621.5,1080,8363.6,10450.4,1352.5,5710.7,11057.2,9191.2
12.60,4599.8,1055.7,8367.4,10447.9,1368.5,5730.4,11063.9,9197.5
12.70,4589,1045.9,8357.9,10440.1,1391.7,5752.7,11057,9197.5
12.82,4631,1071.9,8377.6,10435.9,1449.4,5798.9,10967,9123.8
12.90,4631,1071.9,8377.6,10435.9,1449.4,5798.9,10967,9123.8
13.00,4631,1071.9,8377.6,10435.9,1449.4,5798.9,10967,9123.8
13.10,4631,1071.9,8377.6,10435.9,1449.4,5798.9,10967,9123.8
13.20,4631,1071.9,8377.6,10435.9,1449.4,5798.9,10967,9123.8
13.31,4631,1071.9,8377.6,10435.9,1449.4,5798.9,10967,9123.8
13.41,4631,1071.9,8377.6,10435.9,1449.4,5798.9,10967,9123.8
13.50,4663.4,1089.5,8394.1,10442.1,1474.1,5821.4,10889.7,9054.2
13.61,4663.4,1089.5,8394.1,10442.1,1474.1,5821.4,10889.7,9054.2
13.71,4663.4,1089.5,8394.1,10442.1,1474.1,5821.4,10889.7,9054.2
13.80,4663.4,1089.5,8394.1,10442.1,1474.1,5821.4,10889.7,9054.2
13.91,4663.4,1089.5,8394.1,10442.1,1474.1,5821.4,10889.7,9054.2
14.00,4663.4,1089.5,8394.1,10442.1,1474.1,5821.4,10889.7,9054.2
14.11,4663.4,1089.5,8394.1,10442.1,1474.1,5821.4,10889.7,9054.2
14.21,4663.4,1089.5,8394.1,10442.1,1474.1,5821.4,10889.7,9054.2
14.30,4702.4,1117.9,8411.1,10451.4,1496,5844.2,10804.8,8979.7
14.40,4734.3,1148.1,8426.8,10462,1518,5894.7,10714.6,8903
14.50,4734.3,1148.1,8426.8,10462,1518,5894.7,10714.6,8903
14.61,4734.3,1148.1,8426.8,10462,1518,5894.7,10714.6,8903
14.71,4734.3,1148.1,8426.8,10462,1518,5894.7,10714.6,8903
14.80,4734.3,1148.1,8426.8,10462,1518,5894.7,10714.6,8903
14.91,4734.3,1148.1,8426.8,10462,1518,5894.7,10714.6,8903
15.01,4760.8,1167.8,8439.1,10470.4,1541.8,5924.2,10556.1,8834.9
15.11,4760.8,1167.8,8439.1,10470.4,1541.8,5924.2,10556.1,8834.9
15.21,4760.8,1167.8,8439.1,10470.4,1541.8,5924.2,10556.1,8834.9
15.30,4760.8,1167.8,8439.1,10470.4,1541.8,5924.2,10556.1,8834.9
15.41,4760.8,1167.8,8439.1,10470.4,1541.8,5924.2,10556.1,8834.9
15.53,4855,1278.8,8435.3,10461.9,1717.3,6052.3,10290.8,8552.1
15.62,4953.9,1386.6,8343.6,10409.4,1824.9,6200.8,10103.4,8402.1
15.70,4953.9,1386.6,8343.6,10409.4,1824.9,6200.8,10103.4,8402.1
15.81,4953.9,1386.6,8343.6,10409.4,1824.9,6200.8,10103.4,8402.1
15.91,5016.9,1457.7,8297.2,10370.5,1878,6248.2,10009.3,8325.5
16.01,5016.9,1457.7,8297.2,10370.5,1878,6248.2,10009.3,8325.5
16.11,5016.9,1457.7,8297.2,10370.5,1878,6248.2,10009.3,8325.5
16.21,5281.7,1756.4,7990.6,10099.7,2256.7,6599,9474,7942.9
16.30,5342.2,1881.5,7851.7,9989.1,2318,6644.5,9479,7960.2
16.40,5342.2,1881.5,7851.7,9989.1,2318,6644.5,9479,7960.2
16.51,5342.2,1881.5,7851.7,9989.1,2318,6644.5,9479,7960.2
16.60,5372.3,1916,7804.7,9939.1,2333.9,6661.2,9476.4,7963.5
16.70,5372.3,1916,7804.7,9939.1,2333.9,6661.2,9476.4,7963.5
16.80,5419.1,1958,7745.7,9848.7,2362.8,6684.5,9455.6,7952.6
16.91,5419.1,1958,7745.7,9848.7,2362.8,6684.5,9455.6,7952.6
17.01,5419.1,1958,7745.7,9848.7,2362.8,6684.5,9455.6,7952.6
17.10,5422.1,1952.8,7764.7,9856.6,2361.5,6682.2,9444,7941.8
17.21,5422.1,1952.8,7764.7,9856.6,2361.5,6682.2,9444,7941.8
17.31,5422.1,1952.8,7764.7,9856.6,2361.5,6682.2,9444,7941.8
17.42,5408,1932.7,7778.6,9870.7,2359.1,6690.1,9454.2,7948.1
17.51,5393.4,1915.1,7783.8,9874.4,2367.4,6707.5,9456.9,7950.7
17.60,5387.8,1909.4,7785.3,9873.5,2421.9,6747.1,9416.5,7923.7
17.70,5389.3,1914,7795.6,9888.3,2444.2,6773.3,9342.5,7886.1
17.81,5389.3,1914,7795.6,9888.3,2444.2,6773.3,9342.5,7886.1
17.90,5360.5,1884.1,7837.7,9921.2,2450.3,6767.3,9322.5,7855.3
18.01,5360.5,1884.1,7837.7,9921.2,2450.3,6767.3,9322.5,7855.3
18.10,5360.5,1884.1,7837.7,9921.2,2450.3,6767.3,9322.5,7855.3
18.21,5360.5,1884.1,7837.7,9921.2,2450.3,6767.3,9322.5,7855.3
18.30,5360.5,1884.1,7837.7,9921.2,2450.3,6767.3,9322.5,7855.3
18.42,5336.2,1826.2,7870.2,9946,2446.7,6763.9,9324,7855.4
18.51,5311.2,1801.5,7928.8,9973.5,2442.7,6761,9328.3,7856
18.61,5290.4,1778,7955.9,9997.8,2435,6753.3,9333.2,7855.3
18.70,5290.4,1778,7955.9,9997.8,2435,6753.3,9333.2,7855.3
18.81,5290.4,1778,7955.9,9997.8,2435,6753.3,9333.2,7855.3
18.91,5290.4,1778,7955.9,9997.8,2435,6753.3,9333.2,7855.3
19.01,5290.4,1778,7955.9,9997.8,2435,6753.3,9333.2,7855.3
19.11,5290.4,1778,7955.9,9997.8,2435,6753.3,9333.2,7855.3
19.20,5251.9,1728.3,8016.6,10045.4,2424.6,6743.3,9338.3,7851.1
19.30,5251.9,1728.3,8016.6,10045.4,2424.6,6743.3,9338.3,7851.1
19.40,5251.9,1728.3,8016.6,10045.4,2424.6,6743.3,9338.3,7851.1
19.51,5251.9,1728.3,8016.6,10045.4,2424.6,6743.3,9338.3,7851.1
19.61,5251.9,1728.3,8016.6,10045.4,2424.6,6743.3,9338.3,7851.1
19.72,4935.6,1370.2,8420.2,10395.9,2289.5,6618.7,9439.3,7909.2
19.80,4935.6,1370.2,8420.2,10395.9,2289.5,6618.7,9439.3,7909.2
19.90,4935.6,1370.2,8420.2,10395.9,2289.5,6618.7,9439.3,7909.2
20.01,4935.6,1370.2,8420.2,10395.9,2289.5,6618.7,9439.3,7909.2
20.11,4935.6,1370.2,8420.2,10395.9,2289.5,6618.7,9439.3,7909.2
20.21,4935.6,1370.2,8420.2,10395.9,2289.5,6618.7,9439.3,7909.2
