Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,7531.9,1453.4,17339,16072.5,3098.1,9177.3,23602.4,12277.9
0.10,7519.1,1346.9,17339,15995.3,3240.5,9454.6,23372,12294.5
0.20,7504.5,1285.6,17361.7,15944,3339.6,9630.7,23197.3,12281.4
0.32,7480.8,1212.5,17450.2,15944,3370.7,9750.2,23127.3,12268.7
0.41,7446.2,1194.9,17522.3,15948.1,3349.9,9721.6,23111.4,12271.7
0.52,7420.3,1194.9,17550.3,15985.9,3294.1,9622.9,23146.2,12277
0.61,7376.6,1169.4,17575.5,16024.5,3019.4,9456.8,23311.6,12320.6
0.70,7292.6,1129,17614.2,16077,2863.2,9339.1,23571.3,12407.2
0.82,7219.4,1145.8,17710.4,16150.5,2816.1,9277.7,23696.4,12439.1
0.91,7210.6,1209.5,17793.2,16341.6,2820.5,9260.3,23543.1,12248.6
1.00,7210.6,1209.5,17793.2,16341.6,2820.5,9260.3,23543.1,12248.6
1.11,7269.9,1268.8,18075,16648.4,2814.5,9142,23063.7,11956.6
1.21,7269.9,1268.8,18211.3,16766.3,2791.3,8969,22928.9,11892.7
1.32,7266,1263.6,18342.1,16869.5,2737.3,8667.4,23032.5,11892.7
1.43,7225.2,1222.8,18538.2,16994.9,2575.2,8226,23336.1,11894.8
1.50,7120.8,1126.1,18698.6,17137.7,2321.7,7811.5,23835.6,12009.1
1.60,7120.8,1126.1,18698.6,17137.7,2321.7,7811.5,23835.6,12009.1
1.74,6809,840.3,18929.6,17372.5,1591.3,6792.4,24659,12320.3
1.80,6695.8,779.2,19001.7,17485,1405.8,6580.3,24891.9,12412.4
1.90,6439,710.5,19193,17590,1238.2,6389.6,25055.8,12489.7
2.03,6288.5,622.6,19362,17645,1090,6230.7,25212.4,12572.6
2.10,6288.5,622.6,19362,17645,1090,6230.7,25212.4,12572.6
2.20,5910.8,386.9,19562.2,17655.3,844.1,5716.6,25634.4,12846.6
2.34,5786.7,310.5,19687.3,17678.4,740.5,5536.4,25772.8,13126.5
2.41,5786.7,310.5,19687.3,17678.4,740.5,5536.4,25772.8,13126.5
2.51,5713,197.4,19825.5,17743.8,571.3,5365.9,25811.1,13260.5
2.61,5713,197.4,19825.5,17714.9,536.4,5387.5,25801.5,13306.6
2.70,5713,197.4,19825.5,17714.9,536.4,5387.5,25801.5,13306.6
2.81,5785,243.5,19705.8,17661.6,562.9,5462.9,25727.2,13337.7
2.92,5943.2,441.9,19379.4,17437,541.8,5631.7,25679.1,13456
3.01,5943.2,441.9,19379.4,17437,541.8,5631.7,25679.1,13456
3.10,6007.3,505.5,19190.3,17380.2,525.5,5736,25653.2,13520.4
3.22,6204,695.1,19008,17227.8,572.8,5928.1,25394.7,13551.6
3.30,6204,695.1,19008,17227.8,572.8,5928.1,25394.7,13551.6
3.40,6338.4,768.6,18924.8,17151.1,591.1,6003,25273.7,13555.3
3.51,6444.5,811.7,18875.4,17076.1,601.4,6086,25244.2,13590.4
3.60,6509.1,839.5,18835.9,17020.1,601.6,6267.7,25280.8,13663.3
3.70,6572.1,875,18746.7,16953.4,628.8,6397.9,25311.5,13720.1
3.80,6674.1,910.4,18646.9,16916.2,655,6557.4,25316.4,13793
3.90,6819.3,949,18572,16906.3,686.8,6713.4,25235.1,13820.6
4.00,6976.9,1005.2,18491.2,16896.6,726.2,6830.4,25145.3,13789.4
4.11,7140.8,1088.3,18370.4,16856.7,769.1,6877.6,25054.9,13753.2
4.20,7270.3,1158,18281.3,16790.1,801,6944.1,24903,13735.1
4.32,7326.8,1208.2,18315.7,16770,804.8,6876.4,24884.6,13770.3
4.41,7350.4,1174.2,18402,16755.2,758.7,6829.9,25051.8,13857.3
4.51,7275.3,1070.1,18466.6,16814.8,713.4,6772.6,25205.5,13930.1
4.61,7192.9,1012.4,18518,16857,682.6,6724.9,25367,14012.6
4.73,7137.7,968.7,18573.8,16913.4,622,6678.5,25485.7,14066.2
4.80,7111.4,924.1,18654.4,16977,584.6,6610.6,25595.4,14099.2
4.92,7094.4,899.9,18781.4,17047.7,538.3,6396,25703.2,14122.5
5.03,7080.8,860.8,18948.1,17133.2,485.8,6267.2,25814.1,14143.9
5.10,7080.8,860.8,18948.1,17133.2,485.8,6267.2,25814.1,14143.9
5.20,6946.1,763.2,19229.6,17310.4,397.1,6106,26082.5,14242.3
5.33,6915.5,745,19311.6,17353.5,371,6053.4,26191,14310.1
5.40,6889.1,730.4,19417.6,17373.2,345.5,5985.8,26235.2,14351
5.50,6877.4,718.9,19582.2,17509.7,319,5879.2,26239.9,14308.9
5.64,6875.1,699.8,19751.5,17596.7,286.4,5625.2,26221,14266.5
5.74,6861.1,670.4,19900,17676,196.3,5508.1,26209.2,14248.9
5.81,6813.1,618.3,20013.9,17734.7,150.2,5436,26319.4,14272.3
5.92,6752.9,562.9,20109.1,17785.8,113,5381.4,26350.8,14299.6
6.00,6752.9,562.9,20109.1,17785.8,113,5381.4,26350.8,14299.6
6.11,6725.2,518.3,20334.3,17910.6,50.1,5272.4,26317,14275
6.25,6747.9,523.2,20420.2,17935.7,28.5,5232.1,26210.2,14210.4
6.30,6747.9,523.2,20420.2,17935.7,28.5,5232.1,26210.2,14210.4
6.41,6760.9,507.4,20458.6,17958.3,17.4,5216.6,26093.2,14132
6.51,6755.3,515.1,20379.1,17977.8,12.7,5264.7,25949.9,14069.9
6.61,6755.3,515.1,20379.1,17977.8,12.7,5264.7,25949.9,14069.9
6.71,6765.1,560.2,20286.8,17966.2,16.2,5323.7,25836.3,14027.7
6.82,6856.5,692.6,20143.5,17914.6,76.1,5446.7,25570,13922
6.94,6898.9,764,20116,17921,105.6,5580.9,25421,13779.8
7.01,6898.9,764,20116,17921,105.6,5580.9,25421,13779.8
7.11,6930.9,837.4,20075.9,17962.2,138.1,5688.6,25324.9,13732.2
7.24,6956.5,1002.4,19826.4,18019.7,255.5,5900.6,25081.6,13603
7.32,6956.5,1002.4,19826.4,18019.7,255.5,5900.6,25081.6,13603
7.40,6971.6,1084.2,19672,17994.1,383.6,6045.9,25019,13520.8
7.50,6985.4,1157.2,19538,17969.7,520.4,6164.8,25002.9,13444.2
7.60,6992.2,1216.3,19381,17977.1,634.7,6356.6,24978.8,13353.8
7.70,7003.9,1280.3,19311.3,18008,743.2,6462.2,24919.3,13246.8
7.82,7017.7,1341.4,19230,18087.4,963.9,6565.5,24851,13144.9
7.91,7029.5,1454.7,19151.4,18118.2,1074,6670,24804.1,13046.7
8.01,7031.1,1507.2,19073.5,18145.8,1188.7,6792.8,24783.8,12968.3
8.10,7026.4,1554.7,18996.5,18156.6,1309,6907.7,24733.9,12882
8.20,7030.7,1567.7,18913.9,18157.7,1425.5,7005.9,24662.8,12776.9
8.31,7030.7,1567.7,18827.7,18145.8,1527.4,7149.9,24621.4,12693.4
8.40,7009.6,1559.3,18745.7,18135.4,1616.1,7205.5,24587.1,12622
8.52,6947.8,1546.7,18677.8,18133.9,1685.8,7244.1,24602.6,12532
8.63,6834.2,1519.7,18632.9,18144,1744.5,7270.7,24630.3,12478.3
8.71,6789.2,1479.8,18631.8,18159.8,1791.6,7270.7,24631.4,12451.5
8.80,6745.1,1427.8,18653.1,18177.6,1780.8,7252.2,24667.3,12451.5
8.93,6690.2,1362.5,18700.4,18188.9,1703.5,7057.3,24788.6,12489.8
9.00,6690.2,1362.5,18700.4,18188.9,1703.5,7057.3,24788.6,12489.8
9.11,6578.8,1198.3,18862,18259.5,1522.1,6842.5,25180,12684.4
9.22,6544.4,1129.9,18946.6,18321.2,1438.8,6745.3,25298.8,12742.6
9.30,6544.4,1129.9,18946.6,18321.2,1438.8,6745.3,25298.8,12742.6
9.41,6497.9,973.7,19133,18439.4,1316,6565.6,25447.5,12788
9.51,6461.1,909.3,19203.6,18471.5,1264,6498.5,25543.6,12839.1
