Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,16263.1,11908.1,6102.8,8347.3,14917.4,22288.6,7090,3350.5
0.10,16424.6,12010.9,5987.8,8252.3,14897.7,22267.6,7043.4,3345.9
0.21,16518.3,12084.9,5979.8,8187.8,14730,22174.1,7042,3365.2
0.30,16540.4,11993,6399.6,8243.4,14400.5,22086.2,7087,3499.8
0.41,16529.1,11789.8,6564.2,8434.8,14075.5,21943.8,7330.1,3664
0.51,16466.5,11651.2,6622.8,8629.1,13858.1,21894.4,7412.8,3783.5
0.62,16365.5,11595.6,6595.1,8689.9,13700.5,21892.2,7469.3,3870.5
0.73,16393.5,11703,6512.6,8714.9,13715.5,21905.4,7478,3908.4
0.80,16417.1,11759.5,6438.2,8560.7,13720.9,21918.3,7483.5,3919.8
0.90,16399.7,11746,6412.7,8540.1,13686.8,21927.6,7515.3,3955.3
1.01,16350.7,11703.6,6427.1,8564.1,13667.6,21939.4,7537,4007.4
1.10,16320,11681.5,6419.4,8569.9,13645.8,21969.7,7554.8,4038.2
1.21,16309.8,11681.5,6385.3,8541.8,13637.9,21978.4,7559.3,4070.2
1.30,16309.8,11681.5,6385.3,8541.8,13637.9,21978.4,7559.3,4070.2
1.40,16288.5,11601.6,6395.4,8532.4,13592.7,22003.4,7586.4,4175.6
1.50,16288.5,11559.5,6382.9,8517.7,13549.2,22016.2,7600.6,4213.4
1.63,16352.9,11547.2,6375.9,8494.4,13391.7,22026.1,7620.2,4270.6
1.71,16352.9,11547.2,6375.9,8494.4,13391.7,22026.1,7620.2,4270.6
1.81,16747.1,11567,6178.8,8288.5,13102,22121.3,7712.7,4508.6
1.94,17055,11614.3,5972.8,8083.5,12936.1,22150,7879.3,4680.8
2.00,17055,11614.3,5972.8,8083.5,12936.1,22150,7879.3,4680.8
2.11,17807.2,11760.6,5523.4,7557,12614.9,22142.8,8023.8,4972.2
2.24,18241.8,11891.1,5412,7351.7,12401.7,22055.5,8100.8,5090.5
2.31,18241.8,11891.1,5412,7351.7,12401.7,22055.5,8100.8,5090.5
2.42,18687.3,11877.3,5388.9,7231.2,12116.1,21890.1,8202.4,5206.3
2.52,19453.1,11822,5536.5,7122.9,11439.4,21298.6,8386.6,5445.8
2.61,19453.1,11822,5536.5,7122.9,11439.4,21298.6,8386.6,5445.8
2.70,19775.9,11852,5546.7,7089.3,10891.1,21241.1,8386.6,5522.1
2.83,20374.9,11992.8,5535,6965.4,10363.9,21283.2,8311.1,5603.3
2.90,20374.9,11992.8,5535,6965.4,10363.9,21283.2,8311.1,5603.3
3.02,20668.8,12069.2,5543.7,6911.1,10102.8,21309.8,8225.2,5660.5
3.10,20951.7,12142.9,5546.3,6858.6,9870.4,21316.3,8156.9,5680.7
3.20,21212.6,12214.2,5541.1,6768.3,9681.5,21314.6,8096.8,5692.4
3.31,21400.3,12266.8,5554,6762,9544.6,21300.8,8035.1,5694.8
3.42,21484.8,12295.9,5628.9,6786.2,9459.3,21287.2,7974.3,5664.2
3.51,21502.3,12299,5755,6855.9,9410.4,21291.8,7750.1,5565.9
3.60,21535,12303.3,5905.7,6964.6,9386.9,21315.7,7594.8,5432
3.71,21507.7,12306.3,6201.1,7095.3,9398.5,21369.4,7445.4,5288.3
3.81,21507.7,12306.3,6201.1,7095.3,9398.5,21369.4,7445.4,5288.3
3.91,21150.6,12295.4,6261.4,7291.1,9585.6,21847.4,7145.4,5032.5
4.00,20957.7,12297.3,6251,7319.8,9732.4,22053.3,6999,4928.6
4.10,20801.3,12333.6,6193,7343.2,9868.2,22206.1,6866.7,4841.7
4.22,20677.6,12355.1,6143.9,7340.5,9967.9,22258,6771,4776.6
4.31,20584.4,12355.1,6129,7332.2,10047.6,22262.3,6742.1,4738.2
4.41,20514.4,12348.9,6118,7325.3,10117.1,22176.3,6736.3,4719.1
4.51,20455.2,12332.8,6114,7326.4,10188.4,22138.8,6772.4,4683.2
4.62,20394,12309.7,6102.3,7330.8,10272.5,22109.2,6827.5,4683.1
4.70,20338.8,12284.8,6102.3,7330.8,10393,22072.4,6867,4681.7
4.81,20283.1,12252.7,6128.9,7342.2,10447.9,22044.2,6912.9,4668.3
4.92,20245.1,12230,6132.7,7347.7,10507.9,22033.7,6960.4,4650.8
5.00,20225.1,12220.4,6123.4,7344.1,10565.3,22032.6,6970.5,4631.8
5.12,20218.9,12225.8,6114.5,7331.3,10610.3,22028.3,6987.1,4619.9
5.21,20203.3,12222.9,6119.1,7315.8,10640.3,22017.2,7024.2,4624.9
5.32,20203.3,12222.9,6119.1,7315.8,10640.3,22017.2,7024.2,4624.9
5.41,20136.2,12157.7,6161.6,7356.8,10659.5,21983.2,7081.5,4659.7
5.53,20103.8,12129.6,6191.5,7389.8,10654.6,21967.7,7103.3,4677.5
5.60,20103.8,12129.6,6191.5,7389.8,10654.6,21967.7,7103.3,4677.5
5.70,20045.7,12069.6,6251.4,7451.1,10620.8,21916.2,7164.8,4721.5
5.81,20005.4,12032.7,6280.3,7473.2,10608.1,21914.8,7206.4,4754.5
5.91,20005.4,12032.7,6280.3,7473.2,10608.1,21914.8,7206.4,4754.5
6.01,19972.7,12017.4,6290.3,7474.2,10614.9,21920.9,7224.2,4781.6
6.10,19950.5,12012.8,6283.9,7458.2,10632.1,21965.1,7212.9,4772.5
6.20,19950.5,12012.8,6283.9,7458.2,10632.1,21965.1,7212.9,4772.5
6.30,19939.9,11989.4,6304.9,7474.7,10636.6,21984.1,7210.8,4769.7
6.40,19923.4,11953.4,6318.6,7499,10644.9,21973.9,7182.5,4745
6.50,19923.4,11953.4,6318.6,7499,10644.9,21973.9,7182.5,4745
6.60,19924.2,11941.7,6336.2,7504.2,10638.2,21954.6,7185,4741.3
6.70,19922.1,11923.5,6357,7512.5,10625.4,21941.5,7199.8,4752.7
6.81,19912.4,11896,6379,7525.4,10595,21938.4,7221.4,4773
6.90,19891.5,11855.7,6409.4,7548.7,10577.1,21935.6,7248.6,4800.6
7.01,19854.3,11754.2,6449.6,7585.6,10559.1,21932.6,7279.1,4833.7
7.10,19811.3,11696.9,6536.6,7622.8,10540.8,21926.5,7306.8,4864.7
7.21,19765.1,11644.5,6579.1,7663.9,10524.6,21930.6,7326.1,4888.2
7.31,19717,11609.1,6606.6,7699.1,10517.9,21936.5,7328.1,4899.8
7.42,19710.6,11600.7,6620.7,7722.4,10527,21940.2,7306.5,4887.6
7.50,19711.5,11604.7,6629.5,7731.5,10547.4,21927.2,7270.3,4850.7
7.60,19707.4,11591.3,6655.9,7737.8,10561.8,21891.2,7246.7,4802.5
7.71,19691.3,11550.8,6713,7759.6,10550.6,21857.3,7251.8,4821.3
7.81,19652.3,11493.1,6760.6,7850.6,10496.5,21837.5,7288.1,4860.7
7.91,19603.1,11443.4,6796.2,7880.9,10483.8,21844.6,7323.9,4895.9
8.01,19555.4,11402,6827.5,7912.4,10479.4,21859.7,7359.9,4920.8
8.10,19508.6,11359.8,6851.1,7935.1,10485.6,21876.8,7360.2,4931.7
8.22,19467.1,11315,6899.2,7955.3,10494.8,21886.8,7360.2,4931.7
8.30,19431.9,11271,6932.7,7977.6,10503.1,21880.3,7355.6,4931.5
8.40,19406.3,11241.1,6962.1,8001.6,10513.8,21846.7,7343.7,4918.2
8.51,19379.4,11225.3,6976.3,8023.7,10530.1,21821.8,7323.4,4885.4
8.63,19339.3,11235.5,6975.5,8046.9,10576.2,21778.8,7297.6,4823.8
8.71,19283.7,11279.2,6962.9,8069.4,10686,21719.3,7271.1,4727.1
8.84,19197.6,11322,6939.7,8083.8,11003.6,21652.3,7267.3,4626.9
8.91,19197.6,11322,6939.7,8083.8,11003.6,21652.3,7267.3,4626.9
9.00,18994,11400.3,6900.8,8102,11270.7,21533.5,7288.3,4503.7
9.11,18994,11400.3,6900.8,8102,11270.7,21533.5,7288.3,4503.7
9.20,18874.1,11414.9,6874.5,8110.6,11398.2,21482.5,7318,4431.2
9.30,18741.3,11425.6,6853.6,8133,11529.8,21469.1,7336.1,4368.9
9.42,18564.6,11525.5,6760.8,8156.4,11826.1,21395.7,7296.6,4163.7
9.53,18564.6,11525.5,6760.8,8156.4,11826.1,21395.7,7296.6,4163.7
9.61,18524.4,11612.7,6722.2,8150.5,11972.2,21343.5,7192.3,4034.7
9.72,18414.7,11796.8,6694.5,8155.6,12225.5,21224.6,7122.4,3820
9.80,18414.7,11796.8,6694.5,8155.6,12225.5,21224.6,7122.4,3820
9.91,18317.2,11867.5,6695.2,8179.3,12406.7,21120.9,7126.9,3750.5
10.00,18207.5,11912.9,6709.1,8227.5,12462.1,21111.5,7135.8,3709.4
10.12,18095.5,11927,6729.1,8327.4,12468.3,21124.2,7118.5,3694.8
10.20,17991.5,11920.9,6744.8,8363.1,12468.3,21201.7,7101.7,3694.8
