Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,10826.7,4086.2,16688.1,19837.4,3770.8,14252,12346.4,9662.1
0.10,11373,4663.8,18438.7,21356.6,3078.5,11923.3,11306.9,8331.7
0.21,11706.9,5036.1,19385.4,22180.2,2844.4,11052.4,10659.4,7535.8
0.30,12079.2,5470.1,20392.6,23051.2,2594.3,10144.7,9894.9,6593.7
0.42,12516.3,5937.4,21343.7,23940.3,2330.5,9311,9056.7,5632
0.52,12966.1,6410.9,22152.3,24738.6,2093.4,8614.2,7625.4,4787.4
0.60,13404.6,7227.2,22813.6,25430.6,1910.6,8171.7,7080.8,4048.9
0.71,13791.3,7477.2,23158.1,25882.8,1806.9,7883.8,6820.4,3532.8
0.83,14044.1,7683.4,23205.8,25979.9,1775.8,7822.1,6642.7,3345.9
0.93,14221.2,7790.7,23155.6,26037.4,1762,7726.4,6626.3,3216.3
1.02,14289,7897.6,23189.7,26018.3,1743,7622.9,6580.6,3163.6
1.13,14347.8,8052.1,23295.6,26062.1,1726.4,7523.2,6435.5,2992.9
1.22,14450.3,8167.2,23446.1,26192.8,1695.3,7436.3,6268.9,2842.3
1.30,14557.7,8210.8,23624,26389.7,1657.3,7323.9,6182.3,2782
1.42,14579.2,8210.8,23642.2,26564.2,1623.3,7270.1,6163.2,2730.6
1.53,14560.8,8222.5,23624.3,26650.1,1615.1,7324.8,6143.5,2740.1
1.63,14557.8,8261.7,23563.4,26633.4,1639.4,7386.3,6139.7,2751.3
1.70,14595.3,8312.4,23461.4,26580.6,1670.2,7462.5,6133.1,2755.1
1.82,14658.7,8349.6,23336.2,26486.2,1700.5,7558.1,6133.2,2768.7
1.95,14718.9,8367.1,23195.2,26346.1,1741.1,7636.6,6148.4,2798.6
2.02,14758.6,8322.8,23084.4,26096.2,1827.4,7768.6,6179.8,2826.5
2.14,14746.3,8046.2,23169.6,26091.9,1855.6,7790.4,6182.4,2830.6
2.21,14746.3,8046.2,23169.6,26091.9,1855.6,7790.4,6182.4,2830.6
2.31,14708.9,7959.3,23286.5,26162.5,1856.6,7757.5,6180,2830.9
2.44,14723.8,7915.8,23539,26327.1,1819.8,7571.6,6100.1,2769.9
2.53,14723.8,7915.8,23539,26327.1,1819.8,7571.6,6100.1,2769.9
2.62,14771.7,7970.9,23634.9,26427.1,1793,7468.2,6014.4,2549.7
2.76,14866.8,8178.4,23774.5,26662.6,1719.9,7258.5,5862.5,2356.5
2.80,14866.8,8178.4,23774.5,26662.6,1719.9,7258.5,5862.5,2356.5
2.90,14890.8,8282.6,23797.4,26764,1689.7,7235.4,5820.3,2306.6
3.02,14912.7,8393.4,23769.6,26817.3,1674,7224.6,5787.5,2261.4
3.10,14941.9,8520.5,23709.7,26834.5,1661.7,7194.6,5745.2,2210.7
3.22,14972.7,8626.1,23676.3,26846.7,1648.7,7138.8,5693,2143.4
