Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,8575.7,490.5,4700.1,7420.6,12875.9,24891.8,17068.1,15270.2
0.14,8409.8,481,4782.2,7519.3,12538,24751.5,17336.4,15597.2
0.20,8409.8,481,4782.2,7519.3,12538,24751.5,17336.4,15597.2
0.33,8427.6,526.8,5015.1,7740.9,12056.3,24246.2,17505.3,15828.8
0.45,8464.8,555.1,5168.4,7853.6,11822.5,24062,17536.1,15881.5
0.52,8464.8,555.1,5168.4,7853.6,11822.5,24062,17536.1,15881.5
0.61,8489.2,576.1,5273.5,7919.9,11615.6,23911.7,17561.8,15926.9
0.71,8484.6,583.1,5318,7940.7,11429,23789.2,17612.4,16006.2
0.82,8454.8,580.1,5319.5,7933.8,11244.3,23685.4,17706.2,16333.4
0.90,8417.6,572.2,5283.4,7911.5,11050.2,23593,17844.1,16555.3
1.03,8380.1,562.8,5249.2,7886,10673.5,23308.1,18155.5,16780.6
1.10,8330.3,542.5,5230.5,7849.3,10652.7,23288.1,18281,16966.8
1.20,8247.5,514.9,5207.8,7816.6,10652.7,23288.1,18301.4,16992.2
1.30,8151.6,488.2,5144.9,7796.8,10836.1,23483,18301.4,16992.2
1.41,8058.6,461.7,5068.7,7745.2,11105,23824.4,18213.5,16908.1
1.51,7987.8,431,4930.9,7687.5,11441,24231.5,18027.7,16744
1.60,7927.8,393.6,4751.3,7581,11844.7,25086.2,17795.6,16541.8
1.70,7877,362.9,4581.5,7436,12275,25530.4,17541.7,16307.8
1.84,7845.3,326.2,4406.4,7298,12703,25995.4,17292.8,16059.1
1.90,7822.6,308.6,4200.3,6983,13147.7,26445.5,17068.4,15830.4
2.02,7795.2,282.9,3701.5,6774.9,14028.5,26859.4,16872.2,15614.8
2.12,7745.7,248.2,3505.4,6580.8,14431,27237.7,16657.3,15407.5
2.21,7670.7,219.4,3379.2,6437.6,14805.6,27572.8,16457.3,15215.8
2.31,7670.7,219.4,3379.2,6437.6,14805.6,27572.8,16457.3,15215.8
2.41,7577.3,193.7,3235.9,6272.1,15519.9,28397.9,16059.4,14604.9
2.55,7554.9,181.3,3176.9,6208.2,15867.2,28605.4,15642.3,14378
2.64,7514.3,169.7,3128.4,6160.4,16147.5,28674.5,15497,14189.8
2.75,7474.5,159.8,3101.4,6150.3,16278.4,28686,15442.8,14077.8
2.80,7474.5,159.8,3101.4,6150.3,16278.4,28686,15442.8,14077.8
2.92,7394.9,154.8,3145.1,6166,16390.3,28416.1,15382.5,13964.3
