Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,8528.1,3472.2,13696.5,21329.8,4123,13989.5,14303.2,10725.5
0.10,8528.1,3472.2,13696.5,21329.8,4123,13989.5,14303.2,10725.5
0.23,8678.3,3561,13713.7,21281.3,4155.1,14059.5,14049.4,10612.3
0.31,8674.1,3534.1,13742.8,21334.2,4152,14073.3,14006.5,10585.9
0.41,8689.5,3515,13717.8,21331.3,4166.7,14124.6,13961.9,10563.9
0.51,8689.5,3515,13717.8,21331.3,4166.7,14124.6,13961.9,10563.9
0.60,8753.8,3564.5,13634.3,21251.7,4202.3,14211.1,13902.2,10538.9
0.72,8952.8,3822.7,13491.6,21014.1,4250.8,14359.4,13745.4,10445
0.82,9011.9,3970.9,13488.3,20997.4,4258.1,14346.3,13662.6,10379.6
0.90,9011.9,3970.9,13488.3,20997.4,4258.1,14346.3,13662.6,10379.6
1.01,9098.4,4058.4,13555,21018.3,4251.4,14261.2,13547.5,10251.6
1.14,9132.2,4104.3,13586,21053.6,4238.7,14226.5,13500.4,10190.3
1.21,9132.2,4104.3,13586,21053.6,4238.7,14226.5,13500.4,10190.3
1.32,9173.7,4177.4,13616.3,21074.8,4232.6,14214.9,13429.7,10111.6
1.42,9253.7,4303.3,13725.9,21139.1,4223.6,14145.5,13257.8,9889.3
1.51,9253.7,4303.3,13725.9,21139.1,4223.6,14145.5,13257.8,9889.3
1.61,9243,4275.1,13827.4,21349.8,4200.5,14065.7,13226.2,9872.5
1.71,9114.2,4095.4,14008,21633,4143.2,13928.7,13276.5,9902.1
1.80,9114.2,4095.4,14008,21633,4143.2,13928.7,13276.5,9902.1
1.91,9031.6,4028.8,14059.6,21742.9,4118.8,13888,13322.3,9935.2
2.00,8969.4,4000.7,14092,21816.8,4097.5,13748.1,13352.3,9947.3
2.11,8956.4,4018.9,14120.3,21856,4079.8,13640.9,13356,9931.5
2.20,8984.9,4053.5,14181.2,21912.8,4054.1,13540.4,13353.2,9904.8
2.32,9005.6,4074.2,14254.1,21996,4024,13459,13352.8,9876.7
2.40,8996.6,4077.6,14302.9,22057.9,3998.7,13383.3,13373.4,9864.1
2.51,8975.4,4083.4,14309.2,22098,3945.3,13307.8,13417.3,9877.5
2.60,8955,4080.5,14319.7,22133,3918.2,13155.8,13469.4,9901.8
2.71,8932,4063.8,14343.6,22160.4,3895.6,13088.3,13532.5,9937.2
2.81,8906.6,4059.7,14355.3,22191.7,3878.5,13037.8,13595.3,9979.1
2.92,8892.4,4074.4,14355.1,22203,3866.7,13010.1,13638.3,10007.1
3.01,8888.1,4077.3,14355.1,22205.7,3862.2,13001.5,13665.1,10046.5
3.12,8888.1,4105.1,14330.7,22205.7,3862.2,13003.4,13677.5,10058.1
3.21,8890,4177.9,14264.9,22167.9,3867.2,13008.3,13675.1,10064.5
3.30,8925.7,4297.7,14170.9,22070.6,3879.4,13032.3,13661.1,10056.9
3.40,9089.4,4434.9,14079.4,21953.4,3895.2,13047.7,13624.1,10018.8
3.52,9169.4,4560.1,13967.4,21868.9,3916.5,13063.2,13575.1,9966.8
3.60,9245.7,4657.2,13953.6,21817.1,3916.5,13064.9,13531.1,9930.5
3.71,9301.1,4711.1,13953.6,21775,3910.6,13055.3,13505.6,9913.2
3.81,9332.7,4727.3,13956.5,21750.5,3898.3,13039.7,13490.8,9904.5
3.91,9356.9,4737,13977.6,21744,3890.4,13028.6,13488.4,9904.5
