L1,L2,L3,L4,R1,R2,R3,R4
2081.8,5265.7,24781.8,18983.6,4597.7,7762.2,26666.5,16883.6
2035.7,5201.6,24599.4,18852.1,4576.4,7711.6,26920.6,17007.8
2035.7,5201.6,24599.4,18852.1,4576.4,7711.6,26920.6,17007.8
1884.9,4966.8,24295.2,18642.2,4267.8,7375.6,27863.8,17880.2
1796.1,4831.4,24130.8,18537.2,4094.8,6946.6,28441.1,18198.9
1715.3,4733.1,23916.4,18402.7,3970.4,6821.1,29002.7,18477.4
1715.3,4733.1,23916.4,18402.7,3970.4,6821.1,29002.7,18477.4
1586.3,4585.3,23351.8,18027.9,3841.9,6753.6,30083.3,19070.4
1586.3,4585.3,23351.8,18027.9,3841.9,6753.6,30083.3,19070.4
1506.3,4483.4,23073,17836.8,3836.3,6744.9,30606.3,19427
1354.5,4184,22593,17499,3860,6842.4,31607.8,20250.1
1281.1,4081.9,22320,17283.5,3898.9,6965.2,32108.1,20673.9
1281.1,4081.9,22320,17283.5,3898.9,6965.2,32108.1,20673.9
1117,3886.6,21459,16807.9,4037.9,7071.7,33062.4,21480.5
1117,3886.6,21459,16807.9,4037.9,7071.7,33062.4,21480.5
1083.5,3864.1,21226.2,16596.4,4222.1,7258.1,33212.9,21686.2
1083.5,3864.1,21068.4,16392.4,4464.2,7607.4,33129.1,21777.1
1073.2,3860.6,20962,16234.8,4656.3,7887.3,32984.4,21820.8
1082.7,3883.8,20913.9,16131.8,4876.6,8196.2,32648.1,21837.9
1110,3945.3,20862.6,16079.4,5200.5,9062.1,32169,21769.1
1162.9,4040.5,20778.2,16004,5570.3,9559.9,31458.4,21584.4
1235.8,4128.2,20693.8,15898.9,5920.4,10000.4,30777.2,21291.2
1313.2,4214.4,20644.2,15807.7,6215,10419.9,30142.4,20851
1395.3,4273.9,20653.6,15718.9,6566.4,10885.4,29705.5,20841.6
1395.3,4273.9,20653.6,15718.9,6566.4,10885.4,29705.5,20841.6
1395.3,4293.5,20596,15713,6673.9,11067.4,29599.2,20832.8
1423.5,4350.3,20509.2,15673.7,6964.3,11506.2,29416.1,20763.8
1423.5,4350.3,20509.2,15673.7,6964.3,11506.2,29416.1,20763.8
1561.2,4525,20435.1,15485.3,7359,12013.3,28673.4,20375.7
1641.5,4725.3,20435.3,15398.3,7566.2,12178,28107.4,20114.5
1736.6,4829.3,20518.2,15359.7,7691,12388.4,27436.7,19829.1
1844.2,4907.4,20654.7,15377.3,7739.1,12422,26942.9,19682.5
1955.1,4948.4,20766.1,15462.5,7639.8,12451.3,26493,19566.3
1953.1,4972.1,20882.7,15556,7572.7,12505.8,26319.4,19503.9
1949.7,4983,21022.7,15678.3,7517.2,12396.6,26050.2,19436.5
1931.8,4972.1,21153.5,15790,7422.1,12165.3,26076.9,19414.4
1904,4947.3,21244.2,15876.5,7264.3,11967.7,26290.4,19457
1869.1,4913.7,21317.2,15955.9,6953.1,11806,26574.5,19567.6
1833.3,4880.2,21415.7,16016.9,6869.3,11675.2,26778.7,19690
1803.1,4840.6,21457.4,16070,6826.6,11692.4,26889,19791.5
1784.4,4817.4,21518.4,16120.4,6905.8,12057.5,26727.4,19796.2
1797,4836.5,21600.8,16158.1,7016.2,12231,26323.5,19710.2
1820,4865.8,21681,16204.8,7094.4,12376.6,25989,19637.3
1825.6,4877.8,21742.2,16283.1,7132.3,12453.9,25778.2,19592.5
1804.8,4866.6,21792.2,16370.7,7099.4,12397.7,25740.7,19593.5
1767.4,4833.2,21854.7,16464.8,6996.5,12282,25757,19637.9
1722.2,4786.3,21900.6,16558.1,6868.4,12079.6,25886.1,19690.5
1722.2,4786.3,21900.6,16558.1,6868.4,12079.6,25886.1,19690.5
1622.3,4658.7,22011.4,16730.6,6731,11782.7,26079.7,19672.2
1588.4,4642.4,22050.4,16798.9,6716.2,11759.4,26135.7,19635.5
1570.8,4635.6,22086.7,16861.2,6725.7,11780.3,26190.9,19613.1
1556.1,4632.6,22141.8,16910.2,6744.5,11787.4,26215.8,19556
1552.9,4644.9,22234.3,16972.2,6761.2,11777.6,26112.4,19447.4
1552.9,4644.9,22234.3,16972.2,6761.2,11777.6,26112.4,19447.4
1556.4,4659.6,22427.6,17114.6,6725.2,11485.8,25999.6,19265.9
1556.1,4659.6,22519.3,17196,6674.9,11271.9,26107.3,19231.9
1556.1,4659.6,22519.3,17196,6674.9,11271.9,26107.3,19231.9
1550.8,4643.9,22562.6,17263.8,6565.3,10974.7,26384.8,19231.9
1520.6,4595,22586.3,17349,6310,10638.1,26885.1,19298.4
1514.1,4587.1,22609.9,17380.3,6227.7,10596.4,26988.1,19268.2
1514.1,4587.1,22609.9,17380.3,6227.7,10596.4,26988.1,19268.2
1523.4,4612.3,22733,17518.5,6287.4,10792.4,26834,19089.3
1523.4,4612.3,22733,17518.5,6287.4,10792.4,26834,19089.3
1541.8,4632.7,22808.5,17569.1,6324.4,10776,26651.4,18991.8
1585,4661.6,23071.3,17694.6,6274.1,10661.2,26449,18851.6
1585,4661.6,23071.3,17694.6,6274.1,10661.2,26449,18851.6
1597.5,4664.1,23164.4,17763.5,6212.7,10557.1,26525.4,18835.6
1598.8,4652.8,23245,17823.1,6129.1,10428.2,26671.8,18832.7
1585,4619.2,23304.4,17878,5983.8,10239.5,26963.9,18848.8
1585,4619.2,23304.4,17878,5983.8,10239.5,26963.9,18848.8
1575.8,4598.9,23310.4,17868,5940.2,10178,27126,18901.9
1553.6,4584.4,23398.1,17931,5896.9,10221,27282.7,18895.4
1553.6,4584.4,23398.1,17931,5896.9,10221,27282.7,18895.4
1551.1,4601.6,23451.7,17971.2,5928.7,10253.3,26986.2,18821.1
1588.1,4652.1,23658.1,18092,6033.5,10334.7,26556.4,18557.5
1588.1,4652.1,23658.1,18092,6033.5,10334.7,26556.4,18557.5
1621.6,4685,23787.9,18131.6,6059.5,10360.4,26345.7,18347.5
1660.9,4729.1,23807.9,18140.5,6069.2,10361.1,26218.1,18274.7
1660.9,4729.1,23807.9,18140.5,6069.2,10361.1,26218.1,18274.7
1711.7,4762.9,23804.2,18172.2,5961.7,10195.1,26482.4,18336.9
1713.1,4766.7,23780.6,18162.4,5887.3,10084.8,26704.5,18420.3
1709.4,4761.3,23738.7,18136.4,5788.7,9940.3,26998.1,18522.4
1712.5,4757.7,23677.4,18102.5,5712.6,9896.4,27191.6,18605.9
1744,4771.9,23609,18045.8,5770.3,9958.8,27191.9,18628.3
1788.6,4817.8,23552.5,17973.2,5834,10159.4,27057.3,18605.4
1840.4,4939.2,23522.7,17882.2,5882.3,10208.3,26931.4,18571.8
1888.1,4994.3,23515,17820.8,5914.2,10247.9,26808.1,18523.1
1933.2,5042.8,23526.7,17781.4,5939.2,10298.6,26710,18478.8
1976.5,5089.5,23527.8,17751.9,5967.8,10339.9,26633.9,18446.6
2025.6,5141.7,23488.2,17699,5990.3,10360,26544.2,18417.9
2090.2,5201.7,23457.5,17556,6000.2,10343.4,26460,18384.2
2151.9,5260.1,23421.7,17486.6,5983.3,10181.9,26411.9,18366
2225,5320.2,23376.9,17410.8,5930.9,10088.9,26624.3,18392.7
2272.8,5346.7,23346.9,17358.9,5864.1,10020.1,26792.6,18444.2
2293,5358.1,23312.6,17317.8,5806.6,9996.2,26914.7,18518.7
2317.3,5380.3,23278.6,17264.7,5846.5,10055.7,26935.2,18505.5
2355.2,5415.3,23262.1,17215.9,5943,10191.1,26756.5,18430.7
2396.2,5453.9,23264.3,17181.6,6028,10293,26480,18352.6
2430.7,5485.1,23280.2,17165,6078.6,10385.7,26294.6,18278.9
2430.7,5485.1,23298.6,17168,6117.7,10371.3,26206.9,18250.2
2429.9,5478.8,23318.5,17191,6112,10342.9,26239.2,18258.9
2429.9,5478.8,23318.5,17191,6112,10342.9,26239.2,18258.9
2321.5,5363.5,23289,17284.4,6090.3,10313.9,26453.9,18326.8
2321.5,5363.5,23289,17284.4,6090.3,10313.9,26453.9,18326.8
2268.9,5257.3,23245,17294.9,6079.1,10306.4,26536.8,18373.5
2182.3,5168.6,23179,17293.2,6060.4,10241,26713.7,18505.8
2140.9,5119.9,23149.2,17303.7,5989.8,10193.4,26856.1,18596.8
2140.9,5119.9,23149.2,17303.7,5989.8,10193.4,26856.1,18596.8
2094.4,5055.1,23126.5,17313,5961.7,10181.7,26995.7,18696.3
1939.8,4887.6,23089.4,17387.8,5951.2,10233.4,27182.1,18884.5
1939.8,4887.6,23089.4,17387.8,5951.2,10233.4,27182.1,18884.5
1853.3,4811.1,23059.6,17423.5,5967,10295.6,27205.8,18964.4
1694.1,4667.6,22978.3,17472.3,5961.4,10272.5,27406,19233.8
1694.1,4667.6,22978.3,17472.3,5961.4,10272.5,27406,19233.8
1621.4,4601.2,22925.1,17485.1,5882.4,10165.8,27633,19370.6
1488.1,4480.8,22735,17496.3,5685.7,9893.3,28314.7,19697.1
1488.1,4480.8,22735,17496.3,5685.7,9893.3,28314.7,19697.1
1444.1,4445.4,22711.6,17495.7,5602.3,9803.3,28509.8,19795
1424.3,4429.3,22711.6,17499.2,5486.1,9737,28613.1,19839.2
1420.4,4425.9,22731.3,17499.2,5434.5,9676.2,28672.9,19839.2
1420.4,4425.9,22786,17553.3,5362.1,9483,28789.3,19839.3
1413.1,4417.3,22872.7,17627.6,5285.3,9348.8,29024.7,19874.7
1396.8,4371,22951.4,17678.8,5176.4,9174,29245.5,19947.5
1377.3,4326.7,22973.2,17672,5081.2,9014.2,29501,20014.5
1347.8,4283.8,22935.1,17636.4,5007.3,8880.7,29709.3,20106.8
1320.1,4239.4,22905.8,17590.5,4933.4,8747.8,29942.8,20211.6
1291.9,4194,22850.2,17545.7,4835.7,8575.4,30239.5,20331.3
1262.8,4139.3,22772.2,17504.4,4717.3,8160.3,30583.6,20480.5
1229.5,4081.9,22744.3,17465.9,4583.7,8063,30995,20632.4
1229.5,4081.9,22744.3,17465.9,4583.7,8063,30995,20632.4
