L1,L2,L3,L4,R1,R2,R3,R4
16417.3,20244.5,14296.6,8352.1,13057.5,23044.4,7852.8,5490.4
16583.8,20513.4,14216.6,8251.9,13004.9,23005.7,7802.3,5418.9
16734.5,20755.9,14134,8205.7,12950,22966.5,7758.1,5305.2
16994.9,21138.3,13995.4,8143.6,12809.3,22911.7,7709.8,5324.9
16994.9,21138.3,13995.4,8143.6,12809.3,22911.7,7709.8,5324.9
17005.3,21243.8,13976.4,8143.6,12739.7,22856.9,7707.6,5365.3
17001.6,21290.1,14022.3,8210.6,12456.3,22694.8,7732.1,5494
17001.6,21290.1,14022.3,8210.6,12456.3,22694.8,7732.1,5494
16978.9,21277.5,14092.5,8276.3,12370.2,22588.9,7792.6,5527.1
16966.4,21273.7,14161.6,8338.4,12311.6,22459.2,7801.7,5544.3
16978.4,21298,14371.8,8412.7,12274.3,22332.4,7789.9,5511.9
17015.6,21339.8,14452.9,8470.1,12287.6,22226.5,7758.7,5438.3
17051.4,21363.3,14519,8507.8,12302.5,22214.7,7724.3,5351.3
17077.5,21357.3,14597.2,8554.3,12339.6,22214.7,7697.8,5238.6
17087.6,21347.8,14654.3,8587.3,12380.1,22231.6,7675.4,5148.4
17093.1,21328.5,14724.5,8623.9,12432.6,22302.4,7621.8,5047.5
17095.4,21293.7,14840.7,8699.6,12466.1,22350.5,7583.5,4972.8
17138.6,21278,14957.5,8766.1,12492.1,22369.9,7532.1,4895.9
17195.5,21287.1,15060.8,8818.2,12491,22350.5,7481.7,4800.3
17229.3,21284.9,15174.1,8887.4,12477.4,22329.1,7448.9,4727.8
17242.8,21249.7,15301.5,8972.7,12453.9,22324.8,7408.5,4596.9
17255.8,21201.5,15440.3,9067.5,12432.4,22329.7,7357.6,4526.4
17271.3,21172.3,15636.3,9148.7,12426.1,22353.7,7307.7,4453.5
17272,21117.5,15675.9,9204.1,12444.7,22421.2,7247.1,4396.1
17278.1,21098.8,15699.5,9223.3,12478,22526.6,7191,4370.1
17289.1,21089.2,15695.3,9234,12514.3,22659.1,7149.3,4354
17296.3,21064.9,15685.1,9233.3,12539.7,22666.6,7116.1,4343.6
17295.1,21021.7,15679.7,9215.3,12551.7,22650.1,7099,4336.4
17284.5,20951,15700.6,9188.4,12481.4,22633,7113.5,4357.5
17254.3,20852.4,15760.6,9189.6,12437.4,22602.3,7137.1,4409.9
17215.1,20745.4,15821.1,9260.2,12375.2,22541.1,7156.4,4462.5
17215.1,20745.4,15821.1,9260.2,12375.2,22541.1,7156.4,4462.5
17166.3,20628.9,15888.5,9311.3,12316,22505.6,7197.2,4533.3
17089.3,20520.5,15934,9353.2,12260,22465.8,7229,4626.3
16998.1,20330.6,15991.7,9358.3,12205.3,22522.2,7256.4,4753.4
16985.6,20277.1,15963.8,9339.8,12205.3,22597.4,7251.4,4763.8
16985.6,20277.1,15918.7,9297.9,12236.1,22642.4,7214.1,4763.8
17002.9,20274,15898.3,9254.8,12268.1,22677.5,7194.7,4731.2
17030.7,20281.5,15886.4,9226.3,12296.7,22701.7,7191.1,4723.9
17055.7,20281.1,15881.7,9210.5,12319.7,22682.4,7189.2,4710.9
17055.7,20281.1,15881.7,9210.5,12319.7,22682.4,7189.2,4710.9
17126.5,20297,15923.5,9197.8,12296.6,22584.4,7185.9,4660.5
17126.5,20297,15923.5,9197.8,12296.6,22584.4,7185.9,4660.5
17178.2,20322.2,15939.9,9188.7,12291.2,22586.1,7175.8,4625.8
17288.6,20351.9,15958.1,9162.9,12264.5,22570.9,7123.7,4565
17288.6,20351.9,15958.1,9162.9,12264.5,22570.9,7123.7,4565
17327.3,20356,15975.8,9178.1,12244.8,22553.8,7115.5,4555.3
17377.5,20371.2,16010.9,9196,12182.2,22460.3,7130.6,4557.1
17404.6,20371.8,16020.5,9195.4,12153.5,22451.2,7144.8,4567.5
17404.6,20371.8,16020.5,9195.4,12153.5,22451.2,7144.8,4567.5
17434.4,20377.9,16015.6,9187.9,12140,22423,7144.8,4574.2
17515.5,20358.4,16012.9,9129.8,12072.7,22324,7177.7,4592.2
17515.5,20358.4,16012.9,9129.8,12072.7,22324,7177.7,4592.2
17494.4,20308.1,16015.5,9122.7,12072.7,22324,7215.3,4648.4
17455.2,20249.7,16004.8,9121.2,12078.1,22332.1,7226.3,4691
17424.4,20201.3,15974,9106.5,12096.2,22407.9,7235.6,4710.2
17427.5,20163.2,15941.1,9075.1,12124.3,22458.7,7230.9,4708.5
17448.9,20164.2,15895.6,9038.6,12170,22507.4,7212.6,4689.1
17453.2,20174.1,15838.3,8990.3,12217.3,22540.8,7201.3,4682.1
17448.5,20166.5,15801.3,8961.5,12249.7,22557.7,7204.3,4689.9
17415.5,20136.7,15796.9,8968,12276.7,22568.5,7214.7,4708.7
17356,20033.8,15840.7,8999.1,12311.4,22595.5,7232.9,4729.4
17307.7,19974.5,15855.3,9022.6,12353.9,22675.6,7249.2,4742.2
17248.3,19909.8,15878.6,9043.3,12454.2,22734.8,7258.2,4756.7
17184.8,19850.1,15888.6,9069.5,12502.2,22776.7,7265.8,4768.4
17123.5,19797.4,15891.8,9087.2,12541.8,22798.3,7270.1,4777.5
17053.1,19737.7,15893.2,9110.7,12580.3,22803.8,7288.2,4783.8
16989,19683.7,15905.4,9132.9,12622.4,22809.8,7303.5,4792.7
16932.8,19637,15928.6,9160.2,12664.1,22822.1,7307.3,4783.1
16904,19615.6,15937.3,9169.2,12706.2,22806,7301,4748.4
16903.6,19616.8,15935.5,9159.8,12742,22783.1,7310.3,4711
16911.6,19634.1,15932.8,9154.3,12767.6,22752.9,7333.3,4689.2
16927,19664.3,15922,9144.3,12793.6,22714.2,7357.7,4667.1
16945.5,19688.5,15906.1,9133.2,12814.2,22693.9,7378.6,4638.2
16942.5,19695.8,15882.3,9123.8,12840.5,22687.6,7395.3,4626
16940.7,19704.1,15837.4,9110.2,12965.2,22699.2,7395.3,4597.7
16954.2,19732.8,15755.3,9076.4,13061.5,22783.8,7379.3,4530.5
17017.5,19804.5,15632.3,8999.7,13153.1,22830.8,7340.3,4444.5
17117.9,19923.1,15503.2,8895.8,13239.5,22875.4,7304.4,4364.4
17117.9,19923.1,15503.2,8895.8,13239.5,22875.4,7304.4,4364.4
17340.8,20408.1,15269.5,8719.3,13375.2,22934.1,7222.6,4185.8
17467.8,20565.7,15175.6,8638.1,13400.1,22958,7178.1,4119.6
17467.8,20565.7,15175.6,8638.1,13400.1,22958,7178.1,4119.6
17675.6,20850.1,15074.3,8557.9,13401.1,22957.2,7098.4,4032.9
17675.6,20850.1,15074.3,8557.9,13401.1,22957.2,7098.4,4032.9
17887,21121.6,14966.2,8462.6,13375.4,22948.3,6974.4,3986.7
17981.7,21246.2,14865,8424.8,13406.3,22984.8,6928.5,3948.8
18055.2,21357.2,14804.3,8372.5,13466.3,23037.3,6881.7,3885.2
18116.7,21447.3,14767.2,8332,13516.4,23104.5,6832.1,3814.5
18165.4,21530.6,14734.4,8311.4,13549,23169,6772.8,3734.5
18221.1,21619.8,14700.9,8248.3,13585.3,23263.1,6719.2,3661.6
18221.1,21619.8,14700.9,8248.3,13585.3,23263.1,6719.2,3661.6
18366.8,21804.4,14603.8,8154,13719.1,23378,6607.8,3392.4
18366.8,21804.4,14603.8,8154,13719.1,23378,6607.8,3392.4
18423.9,21897.7,14543,8099.3,13828,23478.3,6551.7,3295.2
18557.1,22139,14302.7,7946.9,14174.8,23731.1,6419.3,3031.6
18557.1,22139,14302.7,7946.9,14174.8,23731.1,6419.3,3031.6
18620.6,22302.7,14134.1,7854.4,14396.9,23853,6356.6,2884.2
18773,23074,13395.1,7605.4,15269.8,24149.5,6206.7,2479.9
18897.2,23467,13063.2,7431.4,15613.4,24171.1,6112.4,2220.1
18897.2,23467,13063.2,7431.4,15613.4,24171.1,6112.4,2220.1
19033.2,23885.3,12769.5,7279.1,15954.5,24175.7,5999.2,1941.5
19237.2,24295.6,12487.2,7151.7,16247.7,24175.7,5922.6,1678
19312.5,24662.2,12196.9,7016.9,16455.1,24127.8,5863,1438.1
19344.6,24992.8,11939.4,6896.6,16606,24036.1,5809.8,1246.9
19316.3,25486.7,11632.5,6838.7,16863.5,23908.1,5727.3,987.5
19316.3,25486.7,11632.5,6838.7,16863.5,23908.1,5727.3,987.5
19279.2,25637.3,11550.5,6838.7,16921.8,23845.9,5746.8,985.1
19001,25686,11602.2,6974.1,16882,23528.3,5976.8,1078.8
19001,25686,11602.2,6974.1,16882,23528.3,5976.8,1078.8
18675.5,25580.6,11791.5,7224.8,16497.3,23289.8,6203.9,1270.2
18250.2,25310.5,12061.6,7542.3,16167,22980.5,6534.2,1995.9
18250.2,25310.5,12061.6,7542.3,16167,22980.5,6534.2,1995.9
17163.2,24362,13378.1,8370.7,15346.3,21848.2,7402.3,3024
16533.7,23674.6,13875,8885,14915,21528.5,7887,3568.2
15964.7,22943.8,14317.2,9315.5,14542.4,21330,8287.3,4062.1
15385.9,21410.5,14762.6,9678,14186.1,21248.2,8630.9,4555.8
14841.6,20635.7,15159.3,10018.3,13865.2,21265.1,8943.6,5043.4
14395.5,19925.9,15450.2,10265.8,13673.9,21312.3,9177.1,5448.1
13970.7,19241.5,15718.4,10455.1,13595.1,21698.1,9372.1,5816.7
13544.3,18573.4,15996.1,10829.3,13526.4,21868.7,9562.1,6210.5
13131.7,17950.5,16208.7,10999.5,13353.2,21948.3,9779.2,6603.2
13131.7,17950.5,16208.7,10999.5,13353.2,21948.3,9779.2,6603.2
12357.8,16825.2,16602.5,11347.5,13237.6,21916.7,10200.3,7164.3
12357.8,16825.2,16602.5,11347.5,13237.6,21916.7,10200.3,7164.3
12357.8,16825.2,16602.5,11347.5,13237.6,21916.7,10200.3,7164.3
11585.7,15830,17100.7,11754.8,13440.5,22157.5,10468.5,7354.5
11585.7,15830,17100.7,11754.8,13440.5,22157.5,10468.5,7354.5
11387.1,15644.2,17250.7,11918.6,13886.7,22815.4,10093.7,6833
11269.9,15535.4,17249.1,11970.4,14120.1,23122.6,9800.3,6603.2
11218.4,15487.5,17223.2,11931.8,14321.3,23337.1,9520,6435.6
11250.1,15486.3,17184.8,11817,14476.8,23480.3,9337.4,6339.9
11360.8,15478.5,17089.8,11647.8,14741.9,23662.6,9220.3,6283
11488.5,15494.1,16940.3,11487.7,14858.5,23818,9121.4,6245.3
11595.7,15596,16807.3,11299,14946.1,23990.8,8995.9,6216.9
11727.6,15543.8,16703.1,11133.4,15026.9,24175.2,8903.1,6203
11757.2,15496.5,16604,11024.6,15157.8,24392.8,8827,6220.5
11770.8,15461.8,16367.4,10907.4,15319.2,24660.2,8748,6209.7
11781.2,15422.1,16201.3,10788.8,15478.3,24977.5,8655.9,6190.7
11800.7,15420.2,16004.8,10646.3,15632.5,25345.8,8538.2,6170
11881.1,15450.7,15796.4,10467.1,15786.8,25751.4,8394.9,6122.1
11881.1,15450.7,15796.4,10467.1,15786.8,25751.4,8394.9,6122.1
11991.9,15485.5,15586.2,10276.7,15925.8,26522.9,8225.3,6073.9
12114,15528.6,15380.1,10073.2,16056.1,26809.8,8063.9,6043.5
12258.6,15566.5,15186.8,9850.1,16157,27047.7,7843,6040.2
12258.6,15566.5,15186.8,9850.1,16157,27047.7,7843,6040.2
12566.4,15670,14705.3,9348.6,16331.4,27494.4,7781.1,6163.4
12808.2,15818.5,14466.8,9000.3,16386.4,27696.9,7705.1,6217.9
