L1,L2,L3,L4,R1,R2,R3,R4
8568.9,8469,29190.8,19008.6,12488.7,9229.1,16120.3,5778.4
8819,8510.1,29852.2,19197,12522.1,9610.3,15121.7,5165.8
8819,8510.1,29852.2,19197,12522.1,9610.3,15121.7,5165.8
8963,8545.5,30082.8,19281.4,12574.8,9851.9,14534.8,4814.5
9116.1,8576.7,30372.7,19397.6,12809.5,10139.8,13925.7,4437.8
9198.9,8571,30602.9,19521.7,13025.3,10402.6,13374.8,4095.9
9228.3,8510.2,31198.9,19567,13203.8,10621.8,12853.4,3800.7
9295.8,8535.5,31407,19775.5,13364.9,10977.9,12275.1,3486.3
9393.3,8553.8,31565.1,19893.2,13488.2,11105.1,11795,3159.4
9393.3,8553.8,31689.1,20028.8,13611.4,11224.1,11545.1,2957.1
9381.6,8527.2,31646.9,20148.6,13738.4,11348.3,11511.8,2903.1
9255.8,8485.8,31470.2,20225.2,13862.5,11450.7,11513.2,2977.9
9080.2,8440,31292,20299.4,13949.5,11517,11620.3,3088.9
8877.5,8374.2,31133.2,20399.9,13997.8,11568.3,11756.2,3213.8
8621.6,8285,30905.1,20518.3,14064.5,11611,11925.1,3370.2
8335.1,8183,30689,20553.4,14190,11588.7,12137.1,3542.4
8113.3,8115.3,30494.1,20506.1,14207.2,11536.6,12331.4,3674.6
8003.5,8094,30392.9,20493.6,14212.9,11529.4,12534.2,3745
7961.4,8093.5,30390.3,20492.8,14212.9,11529.4,12523.4,3747.7
7935.5,8098.3,30203.6,20492.8,14303.1,11597,12519.9,3732.8
7887.4,8087.5,29893,20390,14515.1,11755.7,12580.4,3752.2
7789.9,8049,29430.4,20163.5,14852.9,12288.4,12754.4,3850.8
7638.2,7984,28946.2,19821,15269.3,12595.3,12918.6,3995.6
7638.2,7984,28946.2,19821,15269.3,12595.3,12918.6,3995.6
7330.2,7745.3,27868.2,18958.9,16145.7,13173.9,13366.8,4338.3
7205.3,7675.3,27440,18606.3,16524,13415.1,13545.2,4481.1
7086.4,7612,27109.3,18290.6,16848.5,13619.6,13706.9,4606.3
6989.5,7570.1,26774.4,17989.6,17373.5,13810.2,13868.8,4725.1
6960.6,7562.1,26460.5,17679.3,17670.1,14269.6,13978.6,4847.3
6990.4,7593.7,26119.5,17347.3,18040.1,14545.6,14011.9,4851.9
7053,7645.2,25663.2,16923.6,18467.7,14841.4,14066.1,4934.7
7145.3,7691.7,24574,16382.1,18894.3,15120.9,14185.9,5029.3
7254.7,7722.8,23956.1,15781.5,19279.2,15347.2,14364.4,5213.5
7361.7,7733,23453,15189.1,19575.5,15507.3,14639.5,5401.8
7466.3,7732.2,23069.4,14714.7,19773.9,15596.8,14893.5,5575.5
7466.3,7732.2,23069.4,14714.7,19773.9,15596.8,14893.5,5575.5
7567.6,7734,22605.7,14042,19913.5,15625.5,15562.3,5889.3
7567.6,7734,22605.7,14042,19913.5,15625.5,15562.3,5889.3
7595.5,7748.3,22429.2,13640.9,19914.8,15560.7,15732.9,6025.4
7692.7,7829.6,22310.9,13463.9,19609.4,15399.9,15971.5,6210.5
7775.5,7891.5,22325.5,13461.6,19505.9,15345.9,16021.8,6237
7775.5,7891.5,22325.5,13461.6,19505.9,15345.9,16021.8,6237
7968.6,8052.8,22134.8,13393.9,19376.7,15264.5,16268.7,6393.7
8019.3,8083.7,22026.4,13346.8,19334.6,15246.5,16382.9,6504.7
8019.3,8083.7,22026.4,13346.8,19334.6,15246.5,16382.9,6504.7
8046.1,8106.2,22004.8,13346.8,19268.9,15193.1,16417.7,6562.1
8062.2,8125.2,22102.1,13421.2,19147.3,15091.7,16401.9,6559.6
8060.8,8131.1,22389.1,13590.5,18937.8,14926,16401.9,6546.3
8087.3,8145.2,22833.2,13812.9,18626.6,14734.6,16360.4,6464.4
8167.8,8218.6,23652,14505.6,17655.6,14219.5,16065.1,6218.4
8167.8,8218.6,23652,14505.6,17655.6,14219.5,16065.1,6218.4
8213.2,8260.4,23949.5,14840.9,17388.5,14066.1,15956.7,6112.8
8258.7,8336.2,24391.5,15306,16954.5,13826.1,15777.2,6006
8258.7,8336.2,24391.5,15306,16954.5,13826.1,15777.2,6006
8259.7,8381.2,24548.5,15446.4,16776.4,13730.4,15749.9,5988.1
8271,8424.2,24690.3,15560.1,16614,13645.1,15728.5,5969.9
8341.7,8516.8,25061.8,15724,16283.9,13365,15680.9,5950.4
8341.7,8516.8,25061.8,15724,16283.9,13365,15680.9,5950.4
8385.8,8559.5,25212.3,15838.8,16127.4,13285.1,15650.6,5925.9
8439.6,8598.7,25307.3,15937.1,15994.3,13228,15619.4,5886.9
8506.9,8639,25328.8,15996.8,15895.7,13196.7,15619.4,5867
8558.5,8693.4,25338.4,16034.5,15839.5,13177.5,15633.3,5867
8598,8711.1,25258.4,16043.9,15813.9,13173.6,15702.7,5890.9
8627.6,8719.3,25088.5,15988.9,15845.8,13195.1,15829.1,5967.2
8631.4,8719.3,24908.5,15856.3,15896.2,13250.3,15982.9,6088
8631.4,8709.8,24784.1,15714.7,15943.3,13283.4,16103.6,6282.2
8606.7,8688.4,24699.3,15619.4,15986.3,13319.2,16176.3,6349.3
8584.4,8666.6,24622.7,15493.3,16017,13339.5,16247.3,6416.9
8560.1,8640.8,24551,15453.9,16035.3,13361.4,16320.8,6491
8509,8600.1,24498.5,15406.6,16055.9,13379.5,16410.9,6571.7
8418.6,8548.9,24421.6,15405.7,16070.7,13398.2,16486.9,6641.3
8319.4,8503.1,24404.7,15425.8,16074.2,13412.6,16545.4,6694.4
8234,8458,24404.7,15450.1,16065.7,13456.7,16586.4,6749.2
8155.2,8417.2,24381.8,15470.1,16066.9,13494.2,16638.7,6811.6
8064.5,8376.5,24319.6,15480.1,16082.4,13532.8,16704.1,6892.3
7983.6,8340.2,24252.3,15463.6,16100.3,13572.3,16779.8,6964.3
7983.6,8340.2,24252.3,15463.6,16100.3,13572.3,16779.8,6964.3
7834,8273,24175.7,15454.4,16147.9,13654.1,16918.6,7071.6
7773.1,8242.7,24174,15467.6,16156.5,13684,16936,7106.1
7732.8,8207.9,24160.8,15466.3,16169.1,13740.2,16958.4,7134
7704.5,8202.4,24123.8,15455.7,16192,13770.9,16991.7,7166.5
7699.5,8201.4,24082.6,15419.6,16213.4,13793.1,17025.4,7203.5
7696.2,8204.9,23981.3,15376,16226.5,13807.9,17056.4,7277
7701.1,8201.9,23925.3,15323.4,16238.7,13808,17103.8,7315.7
7692.3,8184.4,23881.9,15268.3,16276.6,13810.1,17157.9,7358.8
7665.7,8162,23844.3,15234.3,16294.1,13807.2,17208,7401.9
7665.7,8162,23844.3,15234.3,16294.1,13807.2,17208,7401.9
7627.8,8137.4,23802.8,15206.8,16311,13798.7,17262.1,7444.6
7541.5,8083.1,23737.6,15187.1,16340.3,13779.3,17372.1,7525.3
7541.5,8083.1,23737.6,15187.1,16340.3,13779.3,17372.1,7525.3
7471.6,8047.4,23731.7,15173.6,16349,13750.2,17434.7,7551.8
7470.5,8037.6,23728.8,15150.6,16342.7,13722.4,17459.2,7567.7
7470.5,8037.6,23728.8,15150.6,16342.7,13722.4,17459.2,7567.7
7487.1,8023.4,23727.4,15121,16321.1,13703.2,17495.4,7593.9
7449.6,7991,23691.2,15071.1,16280.3,13639.3,17606.1,7684
7449.6,7991,23691.2,15071.1,16280.3,13639.3,17606.1,7684
7383.3,7956.7,23658.8,15067.3,16259.6,13589.3,17862.9,7777.5
7146,7842.8,23700.5,15240.4,15982,13424.5,18177.2,8012.7
7146,7842.8,23700.5,15240.4,15982,13424.5,18177.2,8012.7
7033.3,7730.3,23749.6,15373.5,15836.3,13319.6,18338.3,8130.8
6971.9,7698.5,23800.4,15442.4,15475.8,12919.3,18680,8513.3
6971.9,7698.5,23800.4,15442.4,15475.8,12919.3,18680,8513.3
6986,7698.5,23788,15411.6,15281.3,12795.8,18871,8667.5
7080.4,7715.6,23758.4,15292.5,15115.7,12705.1,19099.1,8855.5
7260.3,7751.4,23659.2,15058,14957,12614.3,19339.4,9061.2
7504.9,7800.3,23504.6,14747.9,14776.8,12504,19603.8,9294.3
7794.6,7858.1,23388.2,14449.3,14573.6,12366.4,19857.3,9487.1
8127.3,7933,23368.4,14207.9,14370.3,12227.9,20027.6,9600
8529.9,8042.2,23437.3,13989.4,13803.4,11836.2,20096,9633.2
9032.1,8193.2,23650.2,13768.5,13470.2,11615.6,20093.2,9633.2
9623.8,8383.1,23815,13533,13156.2,11429,20086.5,9617.7
10293.7,8609.6,23989.7,13296.9,12884.1,11279.3,20006.7,9542.3
11035.8,8871.6,24189.5,13085.5,12628.8,11136.9,19818.8,9383.5
11769,9157.9,24433.4,12934.6,12392.7,10983.9,19533.3,9156.5
12486.6,9440,24750.3,12822.2,12156,10819.9,19210.2,8901.9
13233,9724.6,25107.5,12682.8,11898.5,10484.8,18501.9,8628.4
14017.1,10006.3,25470.9,12526.4,11675.6,10347.3,18045.8,8314.8
14017.1,10006.3,25470.9,12526.4,11675.6,10347.3,18045.8,8314.8
15490.2,10893.3,26325.3,12423.4,11281.4,10077.6,16861.8,7471.6
16140.4,11178.2,26795.1,12389,10985.6,9945.3,16212.8,6428.9
16686.7,11437.7,27261.3,12409.6,10948.6,9879.1,15578.2,5903.7
17149.6,11668.2,27965,12479.6,10948.6,9879.1,14937.8,5366.4
17545.3,11859,28065.4,12543,11047.6,10056.6,14319.4,4875
17863.9,11996.3,28065.4,12543,11299.3,10301.1,13784.6,4464.4
18079.7,12077.7,28024.9,12533.9,11645,10582.1,13378.7,4154.4
18178.3,12118.1,27931.7,12450.5,12026,10858.4,13053.6,3891.4
18193.3,12133.4,27836,12280.5,12400.6,11113.3,12773.6,3661.1
18217.3,12140.4,27743.9,12233.6,12750.8,11352.6,12555.7,3478.1
18217.3,12140.4,27743.9,12233.6,12750.8,11352.6,12555.7,3478.1
18125.6,12147.1,27495.4,12175.4,13362.3,12114.1,12260.9,3224.5
18059.1,12158,27281.5,12055.7,13678.4,12370.9,12124,3117.5
18035.3,12175.3,27010,11865.6,14319.2,12610.2,12016.5,3045.2
18029.6,12183.2,26733.9,11679.2,14607.9,12830.8,11997.4,3036.7
17986.6,12164.1,26442.4,11518.6,14867,13007.2,11999.9,3051.8
17881.7,12112.2,25902.8,11370.3,15059.2,13128,12081.6,3132.2
17722.7,11966.3,25769,11269.2,15171.9,13182.4,12356.1,3247.2
17561.3,11907.5,25744.1,11239.7,15187.9,13162.8,12461.1,3344.9
17561.3,11907.5,25744.1,11239.7,15187.9,13162.8,12461.1,3344.9
17290.1,11848.8,25820.8,11284.5,15095.1,12894.8,12626.2,3546
17190.6,11829.2,25956.2,11394.8,14911.4,12714.1,12712.4,3615.4
17190.6,11829.2,25956.2,11394.8,14911.4,12714.1,12712.4,3615.4
17009,11812.5,26273.9,11732.3,14454,12370,12887.3,3753.8
16842.9,11806.5,26409,11918,14013.3,12198.2,12987.4,3840.2
16842.9,11806.5,26409,11918,14013.3,12198.2,12987.4,3840.2
16606.7,11772.6,26609.3,12270.7,13674,11809.1,13240.8,4053.5
16506.2,11757.3,26646.1,12401.1,13571.3,11726.5,13358,4154.5
16506.2,11757.3,26646.1,12401.1,13571.3,11726.5,13358,4154.5
16427.6,11740.5,26637.5,12462,13502.6,11676.4,13470,4253.1
16304.9,11693.5,26552.5,12477.1,13418.9,11619.5,13729.3,4474.5
16304.9,11693.5,26552.5,12477.1,13418.9,11619.5,13729.3,4474.5
16248,11663.6,26485.1,12470.4,13418.9,11617.7,13854,4573.9
16055,11576.3,26316.8,12433.2,13441.9,11628.4,14089.6,4769
16055,11576.3,26316.8,12433.2,13441.9,11628.4,14089.6,4769
15994,11525.1,26233.1,12409.9,13475.2,11639.3,14206.7,4858.9
15966.4,11460.3,26158.8,12369.5,13521.4,11636.6,14301.5,4930.7
15972.3,11443.4,26106.2,12311.3,13521.4,11633.2,14467.7,4994.8
15969.8,11426.8,26098.5,12229.4,13507.5,11601.8,14535.2,5093.2
15962.4,11412.3,26098.5,12224.6,13469.1,11552,14579,5117.5
15955.7,11400.7,26126.5,12241,13427.5,11463.7,14618.1,5136.4
15960.6,11402.2,26160.4,12246.7,13388.6,11420.7,14645.6,5148.5
15993,11416.6,26198.8,12227.7,13353,11379.9,14659,5151.6
16053.9,11436.2,26203.7,12187.1,13324.6,11336.8,14666.1,5151.5
16119.9,11444.9,26205.8,12137.1,13300.1,11283.4,14694.3,5169
16159.7,11438.5,26236.1,12113.5,13262.1,11213.2,14744.4,5201.9
16160.9,11421.2,26305,12147.3,13193.8,11143.1,14788.7,5227.5
16120.1,11406.6,26384.9,12222.2,13119.7,11030.8,14805.3,5245.5
16063.1,11387.9,26453,12295.6,12997.5,11012.4,14823,5258.6
15999.1,11371.4,26497.4,12359.2,12952.1,10996.5,14851.1,5279.5
15951.6,11373,26505.1,12372.3,12916.5,10988.7,14871.1,5291.6
15968.6,11379.8,26505.1,12372.3,12898.8,10988.7,14868.1,5296.8
15969.3,11379.8,26497.9,12379.1,12890.6,11000.1,14887.6,5324.5
15957.7,11373.4,26474.7,12384.5,12890.4,11032,14927,5369.5
15918.2,11356.8,26382.2,12391.9,12913,11113.5,14965.2,5413.8
15857,11307.7,26319.5,12409.1,12942.3,11142,15009.2,5459.9
15789.7,11279.5,26263.4,12416.4,12981.7,11164.9,15109,5542.9
15708.1,11245.4,26255,12427.3,13022,11165.8,15132.3,5551.7
15627.8,11210.2,26255,12429.3,13048.6,11165.8,15132.3,5551.7
15552.4,11174.2,26326.5,12477.8,13069,11149.3,15102.3,5516.2
15471.1,11141.8,26426.6,12585.8,13105.2,11142.8,15039.9,5454.6
15382,11114.8,26518.3,12695.2,13138.1,11162.7,14947.5,5371.1
15296.8,11085.4,26577.3,12805.2,13218.3,11247.7,14825.9,5266.8
15213.9,11054.3,26578.8,12890.4,13360.8,11342.6,14685.6,5148.9
15114.1,11019.8,26523.8,12931.1,13561.7,11475.8,14535.1,5022.6
15002.3,10979.7,26490.5,12910.2,13838.3,11680.8,14356.9,4875.8
14885.6,10932.3,26405.5,12885,14252.8,11970.1,14127.3,4702
14745.5,10862.9,25931.4,12814,14819.8,12335.6,13909.7,4552.1
14554.9,10760.7,25556.8,12497.6,15492.2,12759,13766.3,4454.4
14554.9,10760.7,25556.8,12497.6,15492.2,12759,13766.3,4454.4
14316.2,10636.7,25179.3,12326.1,16136.1,13549.6,13676.4,4389.9
13822,10381.2,24491.2,11992.6,17890.7,14309.3,13470.2,4229.7
13633,10271.8,24186.4,11811.7,18431.6,14681.4,13317.3,4109
13633,10271.8,24186.4,11811.7,18431.6,14681.4,13317.3,4109
13293.7,10014.1,23766.5,11563.9,19376,15379,12990.4,3739.3
13147.1,9925.2,23546.6,11449.2,19797.8,15680.1,12780.4,3647.7
13147.1,9925.2,23546.6,11449.2,19797.8,15680.1,12780.4,3647.7
12837.3,9729.4,23058,11133.8,20521.4,16368.3,12688.3,3573.2
12837.3,9729.4,23058,11133.8,20521.4,16368.3,12688.3,3573.2
12790.6,9664.5,22827.7,10932.5,20856.1,16543.1,12597.2,3514.6
12790.6,9634.5,22489.9,10702.4,21159.6,16654.4,12519.4,3469.3
12843.2,9617.8,22411.7,10487.5,21367.6,16706.7,12442.7,3403.6
12871.8,9594.2,22294.9,10325,21460.6,16733.1,12443.1,3392
12856.9,9553.7,22244,10176.9,21430.4,16682.3,12538.3,3445.2
12929.5,9521.2,22467,10086.1,20992.2,16361.7,12799.9,3574.8
12929.5,9521.2,22467,10086.1,20992.2,16361.7,12799.9,3574.8
13049.4,9543.2,22644.7,10128.1,20789.9,16257.4,12849.8,3577.4
13328.8,9596.8,22930.5,10186.1,20425,16069.5,12891.3,3567.6
13328.8,9596.8,22930.5,10186.1,20425,16069.5,12891.3,3567.6
13491.9,9627.8,23016.5,10184.2,20264.4,15999.7,12954.3,3584.6
13679.9,9670.8,23051.1,10183.9,20141.9,15933.5,13040.7,3625.5
13679.9,9670.8,23051.1,10183.9,20141.9,15933.5,13040.7,3625.5
13945,9790.4,22941,10068.6,19955,15832.4,13252.9,3868.2
14045.3,9824,22746.5,9936.4,19890.2,15781.2,13402.9,3987.5
14159.9,9854.5,22689.3,9790.1,19718.2,15700.4,13559.7,4091
14255.2,9881.2,22674.9,9685.5,19553.4,15580.3,13863.2,4212.2
14312,9887.5,22676.1,9662.2,19336.5,15440.8,14066.9,4352.4
