L1,L2,L3,L4,R1,R2,R3,R4
2200.5,16778.7,12655.9,15805.5,3620.5,19084.8,15608.1,25025
2200.5,16735.4,12711.3,15819.1,3625.4,19075.6,15642.9,24974.6
2198.1,16584.5,12832,15846.4,3634.8,19081.4,15690.4,24966.6
2211.9,16359.4,12989.7,15868.2,3647.9,19112.7,15720.4,24892.4
2211.9,16359.4,12989.7,15868.2,3647.9,19112.7,15720.4,24892.4
2296.2,15882.1,13289.5,15798.4,3704,19133.6,15849.5,24667
2373.1,15581.9,13409.7,15699.8,3955.1,19018.6,16178.8,24478.7
2435.9,15277.4,13515.3,15564.5,4079.2,18968.8,16491.4,24340.7
2435.9,15277.4,13515.3,15564.5,4079.2,18968.8,16491.4,24340.7
2494.7,14636.4,13756.1,15369.5,4288.9,18785.4,17161.6,24154.1
2503,14297.8,13885.9,15321.8,4378.5,18675.8,17521.2,24103.8
2503,14297.8,13885.9,15321.8,4378.5,18675.8,17521.2,24103.8
2522.7,13644.2,14080.5,15196.9,4547.2,18553.9,18272.4,24129
2542.6,13339.7,14080.5,15075.2,4640.4,18537.4,18666.1,24199.3
2542.6,13339.7,14080.5,15075.2,4640.4,18537.4,18666.1,24199.3
2604.4,12794.1,13991.5,14682.3,4842.6,18594.4,19384.1,24398.1
2648.1,12574.5,13904.5,14434.9,4949.7,18642.8,19714.9,24492.6
2648.1,12574.5,13904.5,14434.9,4949.7,18642.8,19714.9,24492.6
2704,12403.3,13794.6,14151.3,5060.4,18700.4,20304.3,24588.7
2765.7,12368.5,13619,13866.9,5273.3,18760.9,20531.2,24682.5
2831,12386.9,13403.4,13600.7,5363.2,18817,20738.6,24720.4
2886.6,12385.7,13192.1,13388.1,5390.7,19036.6,20824.4,24743
2936.4,12360.4,12982.9,13187.4,5416.9,19222.2,20824.4,25061
2963.8,12362.6,12782.7,12990.8,5406.1,19407.9,20746.3,25326.1
2960.1,12368.9,12605,12799.3,5398.7,19567.5,20709.1,25560
2933.9,12348.6,12044.4,12380.4,5392.2,19869.8,20801.9,26025.3
2933.9,12348.6,12044.4,12380.4,5392.2,19869.8,20801.9,26025.3
2934.8,12363.9,11901.2,12206.4,5397.3,19950.6,20830.9,26172.3
2953.7,12412.2,11800.4,12076.8,5413.9,19974.6,20886.7,26217.5
2987.9,12508.5,11747.3,11991.3,5442,19974.4,20896.3,26217.5
3035,12600,11742,11963.9,5491.4,19947.1,20866.3,26154.2
3078.1,12741,11742,11963.9,5507.1,19887.7,20796.9,25995.6
3139,12932.5,11766.9,11986,5519.9,19811.6,20702.6,25760.3
3229.9,13177.4,11813.1,12029.3,5523.5,19727.7,20589.3,25462.8
3338.5,13412.7,11908.2,12110.3,5523.5,19630.7,20424.7,25116
3440.7,13548.4,12071.2,12243,5527.4,19478.4,20245.6,24743.1
3530.1,13505.6,12307.6,12424.1,5547.2,19446.6,20061.8,24395.6
3618.5,13407.7,12609.5,12618.1,5565.8,19362.8,19653.1,24048.9
3699.9,13123.3,13440.3,12829.8,5564.4,19252,19435.1,23672.2
3763.7,12992.9,13958.6,13122.8,5551.9,19173.5,19180.4,23263.8
3763.7,12992.9,13958.6,13122.8,5551.9,19173.5,19180.4,23263.8
3795.7,12699.9,15005,13831.7,5600.9,19167.2,18465.3,21983.7
3766.7,12504.2,15561.4,14600.1,5639.1,19370.1,18033.5,21473.8
3765.8,12399.7,16114.6,14991.9,5645.7,19386.8,17593.2,20960.8
3838.7,12415.9,16644.2,15355.2,5637.7,19325,17160.7,20518.4
3915.9,12538.7,17091.1,15701.4,5597.5,19256.7,16838.9,20130.8
3955.9,12705.2,17451,16025.3,5526.7,19122.6,16639,19842
3970,12844.2,17753.9,16346.8,5426.2,18902.4,16558.7,19682.1
3986.1,12925.9,18009.2,16619.8,5300.6,18587.1,16558.7,19646.9
3986.1,12925.9,18009.2,16619.8,5300.6,18587.1,16558.7,19646.9
3997.7,12973.4,18168.2,16768.9,5025.8,17518.3,16741.6,19731.8
4008.6,13097.5,17975.7,16746,4895.7,17163.9,16972.7,19934.6
4058.3,13393.6,17623.4,16566,4773.9,16817.7,17204.2,20209.5
4138.6,13933.8,17146.6,16303.6,4512.8,16518.4,17389.4,20465.9
4229.2,14680.8,16557.5,16001.1,4398.2,16251,17585.2,20734.1
4229.2,14680.8,16557.5,16001.1,4398.2,16251,17585.2,20734.1
4446.3,16376.4,15187.9,15149.6,4202,15355.5,18233.9,21380.3
4583.3,18082.6,14522.3,14676.9,4085.5,15074.2,18445.3,21681.7
4583.3,18082.6,14522.3,14676.9,4085.5,15074.2,18445.3,21681.7
4762.9,18924.2,13923.6,14259.4,3973,14899.3,18657.6,22081.2
5081.6,20049.1,12795,13575.7,3844.4,14736.9,19095.5,22528.5
5169,20310,12395.4,13318,3820.2,14658.4,19257.2,22747.8
5169,20310,12395.4,13318,3820.2,14658.4,19257.2,22747.8
5209.9,20395.7,11836.7,13013.5,3818.2,14858.1,19441.4,23037.8
5250,20401.9,11740.2,12843.1,3900.4,14988.8,19479.9,23102.5
5250,20401.9,11740.2,12843.1,3900.4,14988.8,19479.9,23102.5
5273.4,20360.9,11766.8,12670,3995.1,15162.7,19438.1,23104.3
5273.4,20360.9,11766.8,12670,3995.1,15162.7,19438.1,23104.3
5262.8,20229.1,11948.3,12670,4027.4,15162.7,19321.8,23012.3
5223.3,19974.3,12226.7,12784.3,4050.7,15155.2,19245.4,22857.3
5151.1,19583.9,12592.2,13012.1,4071.9,15113.8,19241.7,22695.2
5063.1,19071.8,13013.2,13324.9,4092.3,14985.3,19231.1,22534.6
4972.2,18494.8,13463.7,14017.4,4107.5,14884.7,19228.7,22364.5
4883.8,17896.9,13931.8,14377.3,4120.5,14791.8,19228.3,22187.5
4800.9,17335.6,14360.5,14720.1,4132.6,14735.6,19235.2,22036.7
4719,16831.9,14719.9,14993.9,4149.6,14727,19254.8,21912.8
4654.1,16078.1,15224,15205.2,4203,14727,19264.9,21659.8
4622.1,15838.7,15352.3,15351.3,4246,14785,19200.2,21574.3
4605.9,15627.5,15407.3,15430.9,4287.9,15009.6,19148,21550.8
4578,15470.5,15439.2,15470.9,4330.9,15144.4,19092.8,21550.8
4543.4,15326,15472.3,15483.4,4371.2,15272.4,19037.6,21572.9
4537.5,15178.1,15509.6,15462.6,4403.5,15391.5,18983,21598.8
4557.2,15059.7,15545.8,15428.4,4435.2,15519.8,18914.8,21621.9
4593.6,14993,15531.4,15368.3,4471.2,15685.7,18823.8,21657.1
4645.6,14993,15475.8,15272.2,4507.6,15861.5,18703.4,21692.9
4713.9,15000.5,15391.5,15119.6,4542.3,16291.3,18568.8,21710.4
4810.5,15085.7,15263.8,14953.3,4580.5,16522.6,18361.8,21706.3
4923.3,15221,15122.1,14774.8,4615.8,16719.1,18130.5,21690.2
5039.9,15377.1,14994.7,14618.8,4659.8,16867.2,17894.2,21654.2
5153,15539.7,14880.9,14505.8,4666.2,16977.7,17667,21600.5
5264.7,15705.9,14878,14446.2,4667.3,17059,17457.4,21524.2
5388.1,15887.3,14873.1,14408.5,4668.2,17117.7,17265.8,21430.9
5504.4,16033.6,14903.1,14372,4657.7,17137.2,17084.6,21320.9
5681.5,16142.6,14956.7,14381,4635.8,17134.7,16925.6,21197.6
5749.3,16276.9,15022.1,14420.5,4613.9,17143.3,16802.8,20984.3
5814.6,16344.8,15075.5,14472.6,4593.7,17143.4,16690.8,20866
5885.7,16422.6,15129.9,14507.2,4578.6,17141.9,16424.5,20731.6
5957.7,16497.2,15183.1,14530.9,4563.8,17145.2,16307.5,20592.3
6013,16537.3,15246.7,14561.7,4552.4,17145.2,16196.1,20456.7
6044.6,16537.3,15331.5,14607.9,4529.8,17066.1,16098.8,20344.4
6044.6,16537.3,15331.5,14607.9,4529.8,17066.1,16098.8,20344.4
6114.1,16540.2,15522.4,14749.1,4535.7,17037,15988,20171.2
6131.7,16499.3,15657.6,14800.3,4545.8,17037,15945,20128.3
6118.4,16411.7,15707.5,14850.8,4562.9,17056.2,15949.6,20128.3
6087.5,16302.5,15734.5,14878.2,4584,17085.8,15978.3,20130.5
6050.1,16185.7,15741.7,14884.5,4609,17120.2,16009.7,20156.9
6050.1,16185.7,15741.7,14884.5,4609,17120.2,16009.7,20156.9
5943.4,15853.5,15746,14870.4,4666.2,17267.6,16114.5,20258.4
5880.3,15692.7,15739.8,14848.7,4694.3,17347.5,16172.7,20331.5
5829.8,15558.3,15718.4,14823.2,4727.3,17439.7,16221.8,20431.3
5829.8,15558.3,15718.4,14823.2,4727.3,17439.7,16221.8,20431.3
5783.7,15371.3,15595.6,14677.8,4852.7,17668.1,16274.1,20645.6
5783.7,15371.3,15595.6,14677.8,4852.7,17668.1,16274.1,20645.6
5783.7,15310.4,15492.9,14559.5,4896.3,17809.7,16274.8,20857.2
5787.2,15311,15082.7,14277,4998.3,18266.2,16270.2,21027.8
5787.2,15311,15082.7,14277,4998.3,18266.2,16270.2,21027.8
5792.3,15379.3,14903.1,14095.8,5053.4,18370.4,16194.3,21086
5806.6,15609.1,14686.8,13853.5,5115.4,18473.4,16119.7,21138.1
5799.1,15676.5,14637.4,13823.1,5128.7,18501.6,16105.5,21138.1
5799.1,15676.5,14637.4,13823.1,5128.7,18501.6,16105.5,21138.1
5773.4,15742.9,14616.6,13825.1,5137,18522.4,16075,21123
5747.9,15821.9,14610.6,13839.4,5138.3,18528.7,16019.1,21071.6
5732.7,15917.6,14614,13863.3,5138.3,18523.5,15949.8,21003.7
5727.9,16024.7,14631.9,13914.8,5119.7,18513.8,15877.6,20930
5760.2,16266.9,14657.8,14013.7,5105.7,18503.4,15701.2,20747.9
5760.2,16266.9,14657.8,14013.7,5105.7,18503.4,15701.2,20747.9
5786.5,16374.8,14676.1,14041.3,5097.4,18486,15606.9,20646.5
5802.4,16453.1,14725.5,14100,5086.4,18440.7,15526.5,20536
5802.4,16490.8,14881.7,14188.1,5074.1,18379.3,15464.7,20417.4
5784.6,16502.6,14994.9,14299.2,5063,18271.3,15411.1,20293.9
5745.3,16510.3,15105,14435,5056.9,18227.3,15355.1,20173.2
5708.9,16513.8,15221.6,14697.9,5049.2,18173.5,15302.2,19963.9
5671.8,16454.1,15377.2,14836.8,5033.4,18124,15271.2,19887.9
5634.3,16326.7,15529.3,14964.9,5021.7,18091.2,15260.4,19840.9
5602,16208.7,15645.5,15061.8,5018.8,18075.2,15260.4,19813.6
5579.7,16087.5,15739.7,15141.4,5016.9,18068.9,15278.3,19799.7
5550,15959.4,15815.8,15207.7,5015.5,18028.6,15313.4,19793.6
5506.1,15823.1,15874.9,15251.9,5014.2,18017.3,15373.2,19809.6
5451.4,15661.1,15931.4,15302,5018.2,17993.9,15454.7,19840.2
5393.7,15484.9,15996.6,15337.4,5029.6,17986.5,15526.6,19875.6
5345.5,15315.5,16113.4,15354,5045.4,17988.1,15585,19921.5
5308.9,15161.7,16171.6,15356.3,5059.7,17995.1,15625.7,19957.9
5308.9,15161.7,16171.6,15356.3,5059.7,17995.1,15625.7,19957.9
5242.3,15015.5,16216.2,15374.3,5078.4,18007.1,15657.9,19989.3
5174.3,14789.4,16289.6,15414.2,5112.1,18079.3,15705.8,20050.5
5142.1,14698.8,16330.3,15448.2,5116.6,18060.6,15741.3,20083
5102.3,14610.1,16371.2,15473.6,5104.5,18018.8,15793.1,20118.1
5053.7,14503.7,16414.1,15507.1,5090.9,17975.2,15875.5,20169.8
5012,14397.2,16457.4,15544.7,5083.6,17939.7,15946.3,20223.1
4983.4,14308.2,16490.9,15571.4,5078.2,17909.5,16004.3,20285.1
4965.5,14201.3,16531.8,15603.2,5073,17869.3,16031.8,20283.8
4965.5,14201.3,16531.8,15603.2,5073,17869.3,16031.8,20283.8
4928.2,14211.9,16554.1,15645.3,5064.4,17898.3,16010,20275.8
4912.2,14232.3,16548.5,15663.6,5061.7,17926.5,16005.8,20280.2
4905.1,14268.6,16548.9,15692,5066.4,17949.3,15947.5,20263.6
4907.2,14325.5,16547.8,15716.1,5073.6,17961.3,15894.3,20228.9
4907.2,14325.5,16547.8,15716.1,5073.6,17961.3,15894.3,20228.9
4914.1,14383.5,16550.5,15736.7,5080.5,17958.9,15840.7,20194.7
