L1,L2,L3,L4,R1,R2,R3,R4
10059.7,11514.3,16614.2,19255.3,6461.1,11376.7,21708.7,11978.9
10059.7,11514.3,16614.2,19333.7,6321.7,11130.7,21941,11992.3
10054,11636.2,16597.3,19347.6,6246.4,10948.7,22297,11981.8
10082.1,11675.8,16403.9,19256.9,6236.5,10893.7,22482.9,12003.5
10094.6,11686.4,16286.5,19144.4,6249.5,10918,22626.5,12067.4
10080.8,11704.8,16192.1,19047.6,6263.3,10935.8,22872.9,12135
10100.8,11774.6,16112.2,18939,6243.8,10854.8,23012.4,12189
10164.2,11874,16073.6,18866.9,6171.2,10641.6,23224.5,12229.2
10240.3,11995.1,16073.6,18866.9,5835.6,10343.4,23535.6,12269.6
10358,12161.6,16106.9,18881.3,5569.1,9914.7,23715.4,12316.5
10436.1,12278,16148.6,18914.2,5428.7,9696.9,23715.4,12367.8
10458.1,12341.9,16208.4,18975.6,5428.9,9722.5,23660,12349.3
10446.3,12360.4,16293.5,19127.2,5444.1,10147.7,23253.6,12311.5
10426.3,12358.5,16452.6,19388.9,5558.2,10487,22529.3,12097.8
10338.9,12333.5,16875.6,19789.1,5555.1,10775.4,21816.7,11752.9
10309.8,12283.9,16930.8,19850.5,5553.3,10989.8,21835.7,11646.7
10252.7,12161.6,16962.8,19911.1,5701.5,11325.8,21726.4,11601.3
10125.1,11982.3,16966.1,19954.9,5913,11608.3,21419.9,11597.1
9980.5,11815.3,16967.5,19959.4,6035.5,11888,21133.4,11623.2
9889.2,11647.3,16982.9,19965.3,6121.8,11956,20956.7,11620.6
9890.6,11630.6,17002,19969.8,6156.3,12047.6,20826.3,11581.4
9942.1,11608.8,17014.7,19960.8,6210,12200.9,20713.4,11538.2
9954.8,11538.3,17034.1,19948.4,6310.2,12481.3,20597.4,11502.3
9894.9,11424.9,17034.2,19962.4,6516.5,13003.8,20175,11463.3
9788.8,11267.4,16973.6,19964.7,6822.4,13328.9,19859,11410.2
9723.3,11163.7,16903.3,19901.5,7003.8,13489,19678.1,11334
9723.3,11163.7,16903.3,19901.5,7003.8,13489,19678.1,11334
9670.3,11077.9,16609.4,19749,7105.5,13024.1,19789,11253.3
9730.4,11076.6,16408.2,19585.6,7039.4,12953.1,20318.2,11405
9828.6,11104.8,16252.1,19302.8,7026.2,12953.1,20593.9,11569.5
10045.1,11231.7,16172.6,18728.3,7217.1,13181.6,20549.9,11618.7
10154.6,11304.5,16168.5,18683.6,7316.6,13476.9,20208.3,11584.6
10154.6,11304.5,16168.5,18683.6,7316.6,13476.9,20208.3,11584.6
10315.6,11412.2,16181.9,18597,7558.1,13961,19446,11311.4
10315.6,11412.2,16181.9,18597,7558.1,13961,19446,11311.4
10315.6,11412.2,16181.9,18584.1,7742.1,14296.1,19065.7,11252.4
10250.4,11265,16203.8,18651.4,8085.2,14884.7,18470.3,11180.8
10250.4,11265,16203.8,18651.4,8085.2,14884.7,18470.3,11180.8
10154,11180.9,16227.2,18706.4,8236.2,15129.8,18217.3,11140.9
9949,11009.4,16284.1,18810,8510,15799.9,17767.9,11092.3
9949,11009.4,16284.1,18810,8510,15799.9,17767.9,11092.3
9853.7,10936.2,16283.9,18836.1,8783.4,16030,17560.4,11074.6
9801.4,10896,16256.7,18818.2,8932.7,16269,17109.8,11049
9785.6,10875.3,16202,18757.1,9091.1,16509.4,16884.3,11024.8
9786.2,10860.7,16146.4,18673.5,9250.5,16745.3,16671.4,11001.4
9793,10843.9,16086.8,18583.6,9399.5,16956.5,16485.8,10977.9
9798.7,10823.3,16028.9,18495.4,9522.5,17122.2,16346.2,10962.2
9802.1,10802.5,15969,18411.3,9604.6,17288.3,16283,10962.2
9800.4,10778.3,15904.9,18325.2,9649.5,17338,16266.5,10968.6
9786.7,10757,15838.6,18235.1,9685.2,17320.3,16277,11004.6
9785.1,10757,15788,18157.3,9690.3,17256.1,16338.5,11046.7
9785.1,10767.3,15763.5,18111.8,9665.4,17211.4,16394.8,11060.7
9799.6,10801.7,15745.1,18108.9,9646.9,17169.4,16426.1,11049.9
9834.8,10847.1,15715.8,18102.9,9628.4,17151,16442.3,11038.3
9879.5,10893,15675.2,18077.1,9645.4,17178.3,16453,11032
9912.5,10938,15639.8,18034,9667.2,17198.1,16452.3,11033.1
9927.7,10949.1,15615.1,17991.6,9686.9,17207.7,16451.1,11035.3
9928.9,10953.4,15600.1,17969,9702,17216.7,16451.7,11034.5
9934.2,10965.3,15585.7,17951.4,9715.3,17224.6,16449.4,11033.6
9956.6,10975.6,15561.6,17913,9733.2,17225.9,16446.9,11036.2
9970.3,10980.6,15543.6,17854.6,9741.6,17219.2,16452.3,11036.3
