Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,2453.5,-3.4,19103.8,21429.7,2.9,1805.9,27796.9,12501.1
0.11,2589,-3.6,19055.6,21786.5,3.6,2133.6,27502,11942.2
0.22,2644.5,-3.7,18912.1,21906.5,3,2218.9,27454,11884.9
0.33,2733.2,-3.8,18706.1,21911,3.3,2294.5,27464.1,11903.7
0.40,2859.6,-3.9,18490.3,21814.9,3.8,2578.5,27516.2,11951.7
0.52,3016.1,-4,18284.4,21726.9,4.8,2762,27480.5,11968
0.60,3016.1,-4,18284.4,21726.9,4.8,2762,27480.5,11968
0.70,3214.2,-4.1,18153,21684.7,5.2,2913.7,27377.3,11934.6
0.83,3621.1,-3.8,18054.6,21701.7,4.5,3113.1,27001.6,11722.9
0.90,3621.1,-3.8,18054.6,21701.7,4.5,3113.1,27001.6,11722.9
1.01,3773.4,-3.6,18084.8,21807.8,3.5,3122.4,26808.6,11595.9
1.12,3892.7,-3.5,18451.8,22029.7,3.6,2898.5,26619,11513.2
1.21,3892.7,-3.5,18451.8,22029.7,3.6,2898.5,26619,11513.2
1.31,3826.9,-3.3,18561.8,22086.6,2.8,2823.6,26565.8,11508.3
1.42,3771.3,-3.1,18641.7,22127.5,2.9,2736.8,26535,11524.7
1.51,3734,-3,18685.5,22144.3,3.5,2667.1,26518.7,11548.3
1.60,3723.9,-2.9,18688.5,22144.8,3.5,2630.3,26493.5,11629.4
1.71,3723.9,-2.9,18681.6,22130.1,3.7,2659.9,26458.7,11663.8
1.81,3783.4,-2.8,18621,22091.7,3.3,2882.2,26386.8,11698.3
1.93,3914.6,-2.7,18508.6,22043.7,2.6,3010.2,26286.8,11691.9
2.01,4083.5,-2.7,18424.3,22055,1.5,3093.8,26149.3,11652.6
2.10,4083.5,-2.7,18424.3,22055,1.5,3093.8,26149.3,11652.6
2.21,4343,-2.6,18379.7,22107.2,1.7,3152.7,25679.8,11571.7
2.30,4389.7,-2.5,18423.7,22131.4,1.6,3108.7,25607.3,11560.7
2.40,4420.1,-2.2,18501,22153.8,1.5,3051.4,25555.7,11565.1
2.50,4433.7,-2.1,18584.6,22151,1.5,2886.5,25523,11589.6
2.62,4433.8,-2.1,18676.2,22135.3,1.8,2815.9,25480.9,11633.9
2.71,4436.5,-1.8,18782.2,22145.1,1.9,2757.2,25363.4,11668.3
2.81,4490.9,-1.5,18891.2,22172,1.2,2711.4,25211.2,11657.5
2.94,4600.3,-1.2,18984.8,22233.8,1.3,2676.9,24973,11628.4
3.01,4739.3,-1.2,19045.8,22336.3,0.9,2664.5,24697.1,11572
3.14,4910.8,-1.2,19062.3,22431.5,-0.3,2737.6,24452,11411.9
3.23,5077.7,-1.1,19047.3,22511.7,-0.6,2777.2,24260.8,11337
3.30,5077.7,-1.1,19047.3,22511.7,-0.6,2777.2,24260.8,11337
3.41,5362.8,-0.8,18954.7,22612.9,-0.8,2884.8,24032,11205
3.52,5459.9,-0.8,18932,22647.2,0.1,2993.4,23961,11135.3
3.60,5459.9,-0.8,18932,22647.2,0.1,2993.4,23961,11135.3
3.71,5559.8,-1.1,18792.8,22672.5,-0.5,3268.7,23870.2,11035
3.83,5597.8,-1.3,18679.6,22664.1,-1,3673.7,23874,10986.2
3.91,5597.8,-1.3,18679.6,22664.1,-1,3673.7,23874,10986.2
4.00,5636.5,-1.4,18534,22644.5,-1.1,3897.8,23874,10936.2
4.12,5736.7,-1.5,18267.9,22636.4,-4,4275,23896.2,10825
4.20,5736.7,-1.5,18267.9,22636.4,-4,4275,23896.2,10825
4.30,5780.8,-1.7,18181.5,22663,-5,4462.5,23887.2,10748.8
4.43,5851.7,-2.1,17848.5,22683.5,-4.8,5020.3,23956.2,10620
4.52,5851.7,-2.1,17848.5,22683.5,-4.8,5020.3,23956.2,10620
4.61,5825.6,-2.4,17767.3,22638.9,-4.8,5137.3,24090.9,10610.5
4.71,5736.6,-2.6,17728.1,22561.1,-4.7,5197,24276.3,10623.1
4.80,5622.5,-2.5,17708.5,22495.9,-3.9,5218.9,24459.2,10639.2
4.91,5504.7,-2.6,17689.6,22444.6,-2.8,5227.9,24616.5,10657.1
