Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,15606.8,5962.4,7327.2,9853.1,7384.3,19629.1,13574.4,5021.9
0.11,15604.1,5961.2,7373.1,9899.5,7372.1,19596,13554.7,5005.9
0.20,15552,5955,7426.4,9957.8,7366,19578.3,13540.9,4999.3
0.31,15503.6,5943.2,7501.8,10006.6,7366.4,19561.7,13539.4,4999.3
0.40,15503.6,5943.2,7501.8,10006.6,7366.4,19561.7,13539.4,4999.3
0.51,15403.3,5913.2,7575.8,10066.7,7366.9,19527.9,13553.6,5006.5
0.60,15345.6,5877.5,7623.6,10104.6,7363.8,19498.4,13577.9,5014.3
0.71,15302.3,5845.7,7651.3,10134.4,7357.3,19452.8,13657,5024.2
0.82,15290.3,5836.8,7662.9,10138.8,7326.9,19387.8,13713.3,5036.8
0.90,15300.3,5847.9,7667.7,10126.9,7307.6,19250.1,13766,5048.5
1.01,15307.2,5854.2,7667.7,10109.8,7298.3,19220.9,13786,5053.4
1.10,15330.5,5951.9,7650.5,10107.5,7297.7,19207.8,13786,5053.4
1.24,15383.7,6039.2,7590.6,10074.2,7291.5,19191.7,13789.1,5028.2
1.31,15437.6,6131.8,7528.9,10045.6,7287.1,19173.5,13791.4,5013.4
1.42,15506.5,6238.3,7363.8,10011.3,7293.9,19174.8,13770.7,4994.9
1.54,15599.5,6350.2,7275.3,9956.8,7309.6,19183.9,13719,4970.4
1.60,15700.6,6452.3,7200.8,9898.8,7323.6,19184.8,13661.1,4940.4
1.73,15797.1,6550.5,7138.2,9827.6,7328.7,19169.1,13606.6,4906.7
1.81,15797.1,6550.5,7138.2,9827.6,7328.7,19169.1,13606.6,4906.7
1.91,15905.2,6658.9,7079.2,9790.7,7319.6,19124.5,13569.5,4873
2.02,16163.3,6878.8,6999.3,9730.4,7266.3,18972.1,13540.4,4812.7
2.17,16282,6966.1,6975.2,9708.9,7226.1,18874.1,13540.4,4791.5
2.21,16282,6966.1,6975.2,9708.9,7226.1,18874.1,13540.4,4791.5
2.34,16521.5,7128.7,6925.7,9647.1,7153.5,18621.1,13531.6,4756.1
2.41,16521.5,7128.7,6925.7,9647.1,7153.5,18621.1,13531.6,4756.1
2.51,16639.8,7199.9,6888.1,9606.2,7126.3,18554.3,13499.6,4733.8
2.61,16740.6,7251,6888.8,9579.2,7096,18471.6,13479.3,4712.9
2.71,16802,7292.5,6954.7,9582.3,7057.3,18366.2,13488.9,4703.7
2.82,16826.1,7254.1,7047,9621.2,7004.7,18274,13553.3,4710.4
2.92,16818.8,7218.7,7104.3,9678.4,6902.6,18100.2,13649.8,4727.6
3.01,16784.6,7185,7147.8,9715.3,6841.8,17986.7,13739.7,4751.2
3.10,16741.6,7145,7201.1,9752.3,6779.2,17873.5,13850.3,4785.4
3.20,16710.3,7107.4,7246.1,9789.7,6707.2,17764.9,14014.4,4836.6
3.31,16680.7,7086.5,7258.5,9817.7,6634.1,17658.9,14223.3,4899.5
3.40,16627.8,7074.6,7264.9,9823,6568.6,17554.5,14437.7,4964.8
3.50,16643,7090.3,7240.3,9825.9,6509,17441.4,14642.4,5026.6
3.60,16668.2,7114.6,7192.3,9798.6,6448.3,17223.9,14841.9,5080.3
3.70,16753.8,7176.4,6994.4,9753.6,6388.7,17141,15096.4,5112.4
3.81,16943.4,7333.5,6769,9656,6357.3,17107.5,15094,5125.3
3.90,17188,7588.3,6504.5,9475.3,6376.6,17112.1,15047.8,5124.7
4.00,17404.9,7830.4,6275.8,9081.8,6392.6,17115.1,15024.1,5123
4.11,17579.8,8037.2,6087.5,8939.8,6397.7,17096.1,15045.7,5128.4
4.21,17714.1,8326.5,5928.4,8815.8,6390.9,17003.8,15105.6,5142.3
4.33,17822.3,8444.2,5781.3,8702.8,6374.9,16943.6,15192.2,5187.5
4.43,17926.8,8559.5,5637.9,8591.7,6356.5,16884.9,15285.2,5213.5
4.51,18022.6,8658.7,5510.1,8495.9,6335.8,16825.1,15377,5238.8
4.60,18100.4,8737.5,5411.3,8423,6315.5,16786.7,15462.5,5258.7
4.72,18167.8,8814.3,5332.2,8371.3,6307.7,16781.8,15503.7,5263.1
4.80,18167.8,8814.3,5332.2,8371.3,6307.7,16781.8,15503.7,5263.1
4.90,18290.3,8942.5,5170.3,8298.1,6344,16844.8,15447,5238
5.00,18290.3,8942.5,5170.3,8298.1,6344,16844.8,15447,5238
5.10,18339.4,8993.1,5130.1,8266.8,6363.6,16876.4,15396.9,5222.8
5.22,18406.9,9034.1,5104.1,8215.8,6423.5,16966.2,15202.9,5197.7
5.32,18433.3,9047,5130,8209.4,6448.2,16990.5,15131.8,5175.6
5.43,18431.1,8987.1,5235.3,8222.7,6469.2,17001.6,15062.3,5159.2
5.51,18431.1,8987.1,5235.3,8222.7,6469.2,17001.6,15062.3,5159.2
5.62,18237.8,8727.9,5540.3,8428.1,6444.3,16884,15069.9,5152.7
5.71,18237.8,8727.9,5540.3,8428.1,6444.3,16884,15069.9,5152.7
5.80,18140.4,8545.7,5670.7,8549.3,6418.9,16859,15081.9,5150.9
5.92,17995.5,8422.4,5973.6,8735.3,6390.7,16834.5,15076.5,5126.3
6.01,17995.5,8422.4,5973.6,8735.3,6390.7,16834.5,15076.5,5126.3
6.12,17933.8,8357.5,6061.8,8811.1,6395.5,16834,15044.2,5110.7
6.21,17862.5,8309.8,6133.9,8887,6403.9,16845.8,14991.5,5090.4
6.30,17793.7,8247.7,6193.9,8951.4,6424.8,16901.1,14913.8,5059.4
6.41,17733,8195.7,6243.8,9040.7,6449,16937.9,14808.5,5024.8
6.51,17698.6,8149.7,6302.2,9085.9,6474.4,16974.1,14714.4,4989.2
6.63,17643.6,8058.1,6431.4,9186.2,6512.3,17019.6,14540.8,4912.9
6.72,17643.6,8058.1,6431.4,9186.2,6512.3,17019.6,14540.8,4912.9
6.80,17611.4,7998.3,6532.2,9264.3,6521.1,17019.6,14383.7,4871.8
6.90,17575.6,7929.7,6654.7,9357.2,6521.1,16963.6,14350.3,4835.9
7.01,17539.9,7860.4,6789.1,9450.2,6496.3,16909.8,14340.5,4808.9
7.10,17499.2,7786,7049.3,9537.7,6482.5,16868.7,14316.5,4789.3
7.21,17457.2,7709,7152.9,9616.6,6476.1,16847.8,14300.8,4770
7.30,17416,7577.4,7219.6,9680.2,6475,16842.7,14296.3,4756.6
7.41,17394.3,7543.4,7266.2,9715.5,6480.4,16848.4,14278.6,4730.7
7.51,17386.2,7517,7296.6,9738.8,6489.4,16852.6,14252.2,4719.3
7.60,17381.7,7496.2,7327.1,9751.9,6497.3,16847.8,14234,4708.7
7.71,17372.9,7486.6,7354.8,9771.8,6503.1,16824.3,14212.1,4694
7.80,17366,7472.3,7383.4,9791.8,6501.7,16783.5,14181.1,4673.6
7.91,17373.8,7470.4,7419.2,9820.4,6486.4,16732.2,14158,4656.4
8.02,17384.6,7468.7,7456.3,9852.7,6442.1,16689.2,14154.3,4648.6
8.10,17384.6,7468.7,7456.3,9852.7,6442.1,16689.2,14154.3,4648.6
8.21,17396.5,7480.9,7447.4,9884.4,6435.4,16679.6,14202.4,4652
8.31,17427.4,7527,7376,9864.4,6441.7,16716.3,14215.4,4659.8
8.41,17427.4,7527,7376,9864.4,6441.7,16716.3,14215.4,4659.8
8.50,17569.6,7674.7,7143.4,9741.8,6495.9,16836.8,14125.2,4653.1
8.61,17651.6,7758.9,7066.2,9603.9,6527.3,16872.3,14062.1,4643.7
8.71,17651.6,7758.9,7066.2,9603.9,6527.3,16872.3,14062.1,4643.7
8.80,17682.3,7799.6,7049,9589.9,6547.3,16893.5,14008.9,4631.2
8.91,17711,7877.4,7034.9,9550.7,6571.9,16931.6,13925.2,4600.6
9.00,17711,7877.4,7034.9,9550.7,6571.9,16931.6,13925.2,4600.6
9.11,17765.8,7926.1,6996.7,9503.2,6572.3,16914.3,13898.4,4590.9
9.22,17854.1,8061.3,6912.8,9456.5,6542.3,16850.9,13941.9,4593
9.31,17854.1,8061.3,6912.8,9456.5,6542.3,16850.9,13941.9,4593
9.41,17866.6,8100.9,6902.4,9466.3,6512,16790.6,13977.1,4596.4
9.50,17865.1,8141.2,6884.2,9470,6494.5,16754.2,14004.6,4595
9.61,17875.2,8193.8,6831.5,9450.4,6493.6,16770.4,14008.5,4594.4
9.70,17904.9,8257.9,6753.1,9404.8,6503.9,16794.3,13995.8,4593.8
9.81,17947.3,8330.4,6677.6,9349.3,6519.2,16812.3,13921.6,4589.7
9.90,17997.5,8403,6614.8,9291.6,6530.6,16824.8,13874.2,4579
10.02,18108.1,8460.3,6574.1,9246.7,6540.3,16825.3,13843.8,4569.3
10.11,18121.7,8486.6,6562.6,9224.2,6542.6,16820.6,13843.1,4569.3
10.20,18080.1,8468.4,6587.6,9237.3,6537.9,16815.2,13872,4572.8
10.30,18080.1,8468.4,6587.6,9237.3,6537.9,16815.2,13872,4572.8
10.41,17960.3,8366.3,6667.1,9332.6,6520.9,16767,13963.4,4601.5
10.51,17992.6,8405.1,6595,9331.6,6519.6,16753.4,13980.9,4616.9
10.61,18063.5,8452,6537.1,9282.6,6521.5,16753.3,13993.8,4625.2
10.70,18107.2,8449.5,6535.1,9228.6,6522.9,16764.4,14019.7,4637.4
10.80,18088.9,8378.7,6582.2,9206.6,6529.8,16793.1,14047.8,4646.1
10.90,18036.1,8314.1,6618,9253.1,6551.2,16870.4,14071.9,4658.4
11.02,17998.6,8258.6,6631.1,9262.6,6580.4,16870.4,14068,4662.7
11.11,17963.7,8209.3,6639,9263.7,6594.7,16868,14068,4667.8
11.20,17943.9,8166.3,6663.6,9271.6,6586.1,16832.7,14075.1,4677.7
11.33,17922.9,8121,6707.3,9291.6,6552.2,16756.9,14228.9,4694.4
11.40,17887.7,8068.6,6755.3,9319.9,6516.3,16676.5,14326.2,4720.5
11.50,17841,8017.8,6855.5,9357.6,6487,16621.5,14396.6,4742.8
11.61,17790.1,7970.8,6897.1,9399.1,6467.7,16559.8,14450,4760.4
11.71,17790.1,7970.8,6897.1,9399.1,6467.7,16559.8,14450,4760.4
11.80,17674.4,7889.6,6956.8,9470.3,6435.5,16522.8,14525.6,4785
11.91,17642.3,7879,6942.8,9486.8,6422.5,16514.1,14556.4,4796.2
12.02,17645.9,7892.1,6922.9,9473.5,6415.7,16504.4,14571,4809.1
12.11,17674.8,7918.9,6910.3,9455.1,6406.5,16487,14570.8,4810.1
12.22,17724.5,7934.7,6904.6,9432,6404.8,16478.6,14564.2,4809.6
12.30,17724.5,7934.7,6904.6,9432,6404.8,16478.6,14564.2,4809.6
12.40,17750.5,7934.7,6904.6,9421,6404.8,16485.8,14564.2,4809.6
12.51,17796,7992.9,6877,9409.9,6418,16502.1,14486.5,4782.7
12.61,17796,7992.9,6877,9409.9,6418,16502.1,14486.5,4782.7
12.71,17840.1,8040.4,6858.3,9401.9,6418.5,16501,14426,4759.6
12.82,17942.3,8157.7,6825.9,9394.5,6408.7,16498.9,14263.9,4709.5
12.94,18006.5,8222.1,6804,9382.3,6424.2,16517.9,14148.3,4677.4
13.01,18006.5,8222.1,6804,9382.3,6424.2,16517.9,14148.3,4677.4
13.12,18077.7,8283.5,6792.6,9363,6441.2,16515.8,14035,4633.5
13.23,18146.1,8340.2,6795.5,9352,6455.8,16494.4,13952.3,4590.9
13.31,18259.9,8386.9,6805.8,9368.5,6450.9,16463.8,13885.8,4551.4
13.43,18306.3,8421.9,6818.4,9381.2,6439.7,16425.3,13837.2,4513.6
13.52,18354.7,8472.9,6839.3,9397.4,6429.1,16386.3,13807.6,4481.4
13.62,18396.7,8486.4,6866.6,9414,6414.8,16295.7,13781,4425.3
13.70,18422.8,8487.2,6901,9438.3,6399.3,16244.8,13765.6,4406
13.83,18433.2,8489,6988.1,9465.5,6384.9,16193.7,13761.3,4392.8
13.92,18440.2,8481.7,7043.1,9495.2,6368.5,16136.5,13751.4,4385.4
14.01,18439,8464.7,7101,9532.2,6347.1,16076.5,13759.2,4380.6
14.10,18416.6,8437.6,7155.9,9575.8,6323.1,16027.5,13788.3,4379.4
14.21,18416.6,8437.6,7155.9,9575.8,6323.1,16027.5,13788.3,4379.4
14.31,18318.4,8363.6,7271.8,9673.6,6269.8,15943.8,13888.5,4380.5
14.40,18274.7,8320.1,7340.1,9725.3,6257.4,15931.6,13908.1,4379.1
14.51,18235.4,8266.5,7407.7,9778,6251,15912.1,13909.9,4375.4
14.62,18199.5,8214.6,7476.9,9828.5,6243.3,15881.7,13902.1,4368.1
14.71,18174.8,8173.6,7537.9,9871.4,6233.5,15859.2,13898.7,4361.6
14.80,18164.3,8153,7566.7,9896.3,6231.1,15850.4,13898.7,4359.2
14.91,18164.3,8153,7559.6,9896.3,6231.1,15861.6,13888.4,4355.3
15.01,18164.3,8153,7559.6,9896.3,6231.1,15861.6,13888.4,4355.3
15.11,18219.9,8239.1,7483.8,9873,6253.5,15929.5,13797.4,4315.3
15.22,18268.9,8287.8,7434.4,9839.8,6301,15972.7,13725,4296.5
15.33,18316.2,8337.9,7384.6,9803.6,6324.8,16009.9,13652.9,4277.2
15.40,18365,8386.6,7339,9768.3,6343,16038.7,13583.3,4258.2
15.51,18413.9,8425.2,7307.7,9713.8,6356,16071.3,13526.9,4241.8
