Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,12210.6,671.9,27584.5,27608.5,93.4,4446.8,10936.2,1669.6
0.11,12210.6,671.9,27584.5,27608.5,93.4,4446.8,10936.2,1669.6
0.21,12092.6,674.5,27440.2,27562.2,66.7,4566.9,11045.7,1771.9
0.30,12021.4,664.4,27338.9,27512.1,57.3,4621.4,11170,1858.1
0.43,11953.4,651.3,27203.7,27439,53.6,4674.5,11356,1977.9
0.53,11898.1,645.5,27027.4,27341,53.6,4748.9,11529.8,2094.7
0.62,11856.8,645.5,26692.8,27182.4,54.5,4862.1,11800.8,2403.5
0.74,11808.2,644.7,26190.5,26866.1,59.3,5095.2,12241.8,2639.5
0.87,11727.4,647.5,25742.6,26504.5,66.8,5173.1,12778.7,2831.1
0.95,11681.9,666,25431.7,26249.4,74.2,5240.6,13118.1,2942.3
1.01,11678.8,705.3,25172.2,26071.6,81,5298,13294.4,3022.5
1.14,11701.3,757.5,24925,25898.4,87.2,5349.7,13569.9,3093.8
1.25,11750,804.1,24528.4,25734.8,97.9,5394.5,13704.2,3161.2
1.30,11780.7,854.3,24369.6,25592.3,102.5,5433.5,13845.2,3228.2
1.43,11795.1,862.2,24222.5,25464,106.2,5489.6,14005,3300.1
1.55,11787.4,865.1,24105.3,25343,109.7,5506.1,14145.4,3369.4
1.60,11787.4,865.1,24105.3,25343,109.7,5506.1,14145.4,3369.4
1.72,11752.7,865.9,24025.1,25191.8,114.5,5514.3,14274.4,3438.2
1.82,11746.1,866.3,24025.1,25176,116.4,5505.8,14290.2,3450.7
1.91,11746.1,866.3,24025.1,25176,116.4,5505.8,14290.2,3450.7
2.01,11750,863.3,24120.6,25247.8,118.2,5473.9,14167.3,3399.1
2.15,11749.1,858.4,24198.1,25295.5,118,5449.7,14094.2,3330
2.21,11749.1,858.4,24198.1,25295.5,118,5449.7,14094.2,3330
2.30,11732.8,845.3,24345.4,25322.3,113,5430.3,14058.1,3314.8
2.41,11683.5,814.9,24411.6,25382.6,111.7,5423.9,14002.9,3297.2
2.52,11683.5,814.9,24411.6,25382.6,111.7,5423.9,14002.9,3297.2
2.61,11659.3,800,24424.3,25386.5,112.8,5427,14002.9,3297.8
2.71,11624.1,779.4,24436.5,25399.5,113.4,5435.7,14073,3316.5
2.80,11565.9,748.8,24462.3,25413.9,114.4,5451.4,14146.6,3346.5
2.90,11484.6,657.8,24506.6,25437.1,114.6,5450.6,14210.6,3375.7
3.01,11403.1,612.2,24565,25470.6,114.5,5441.7,14249,3394.1
3.10,11338.3,570.9,24633.7,25511.2,114.3,5424.1,14253.1,3396.1
3.21,11285.6,534.2,24731.6,25565.3,113.9,5401.1,14218.2,3378.4
3.30,11246.4,502.3,24839.7,25636.4,113,5380.1,14157,3344.7
3.40,11221.9,475.8,25048.6,25709.8,111.7,5343.9,14100.9,3312.9
3.50,11197.5,450.3,25129.1,25769.7,110.1,5329.4,14056.7,3281.9
3.61,11165,422.8,25190.3,25818.1,109.6,5319.9,14038,3261.6
3.71,11122.3,394,25238.4,25855.8,109.4,5314.5,14044,3256.1
3.81,11068.6,363.6,25280.9,25883.1,109.9,5308.9,14069.1,3265.4
3.91,11018.3,331,25337.8,25902,110.1,5296.2,14104.5,3273.1
4.00,10964.3,295.5,25420.2,25924.9,111.2,5275.1,14128.4,3266.9
4.11,10915.2,260.7,25521.8,25966.1,110.3,5220.4,14124.9,3247.5
4.22,10873.9,230.9,25620.4,26023,107,5192.4,14081.4,3223.9
4.30,10835.8,207.3,25710.1,26141.9,98.6,5167.9,14042.7,3195.2
4.40,10809.6,174.7,25787.1,26188.6,94.8,5144.6,13986,3160.3
4.52,10798.9,165.8,25905.2,26230,92,5122.4,13918.7,3121.3
4.61,10803.1,160.3,25961.6,26272.7,90.8,5105.7,13847.9,3090
4.71,10814.2,153.8,26014.9,26311.5,90.8,5083.1,13780.3,3054.7
4.84,10818.4,145.9,26074.8,26356.3,91.1,5071.1,13716,3019.7
4.91,10818.4,145.9,26074.8,26356.3,91.1,5071.1,13716,3019.7
5.00,10808.8,137,26141.2,26402.9,90.5,5061.1,13661.2,2988.7
5.11,10820.8,136.7,26195.8,26431.3,89.9,5044.5,13588.9,2943.2
5.20,10820.8,136.7,26195.8,26431.3,89.9,5044.5,13588.9,2943.2
5.32,10936.4,183.3,26171,26405.1,93.5,5028.9,13495.7,2864.2
