Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,3869,-10,5060.5,7332.7,1717,11221.6,40290.7,16994.7
0.13,3898.7,-10.3,5015.9,7323.7,1742.9,11273.9,40221.3,16991
0.20,3917.7,-10.2,4974,7294.4,1766.5,11309.1,40170.4,17004.1
0.31,3938.3,-10.2,4944.2,7270.5,1785.8,11333.9,40112.9,16997.9
0.41,3955.3,-10.1,4941.4,7281.1,1799.6,11352.3,40096.2,16996.2
0.51,3979.4,-10.2,4945.7,7291,1813.2,11374.6,40025.7,16961.3
0.60,4025.6,-10.4,4989,7340.6,1839.9,11483.6,39851.3,16879.4
0.73,4096.4,-10.4,5059.3,7434.7,1944,11569.2,39566.6,16755.6
0.82,4096.4,-10.4,5059.3,7434.7,1944,11569.2,39566.6,16755.6
0.91,4276.5,-10.2,5141.8,7568.7,2002.4,11661.1,39217.5,16609.1
1.02,4468.5,-10,5336.3,7885.8,2111.2,11829.5,38450.6,16297.5
1.10,4468.5,-10,5336.3,7885.8,2111.2,11829.5,38450.6,16297.5
1.20,4638.9,-10,5596.2,8351.6,2205.8,12036.8,37799.6,16022.3
1.30,4638.9,-10,5596.2,8351.6,2205.8,12036.8,37799.6,16022.3
1.41,4724.3,-9.8,5647.4,8481.3,2254.4,12095.4,37497.9,15895.2
1.51,4814.2,-9.6,5688.8,8595.2,2303,12155.9,36899.2,15775.7
1.63,5002.5,-9.2,5758.9,8814.3,2399.4,12270.6,36321.9,15415.3
1.71,5002.5,-9.2,5758.9,8814.3,2399.4,12270.6,36321.9,15415.3
1.80,5101.8,-9.4,5790.2,8925.8,2496.7,12337.2,36026.6,15296.9
1.90,5203.5,-9.4,5828.5,9044.3,2545.5,12407.3,35731.2,15173.3
2.00,5300.4,-9.2,5863.4,9165.9,2593,12551.3,35480.3,15074.4
2.10,5371.7,-9.2,5865.6,9248.6,2630.2,12611.3,35310.7,15020.4
2.21,5416.5,-9.2,5865.6,9291.5,2664.9,12653,35220.3,14997.7
