Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,8922.5,320.2,16277.4,18095.7,304.4,8727.3,21845.4,10919.8
0.12,8956.9,344,16255.3,18088.2,336.7,8834.3,21750.8,10890.9
0.21,8956.9,344,16255.3,18088.2,336.7,8834.3,21750.8,10890.9
0.32,9007.9,395.3,16167.5,18040.4,451.3,9114.3,21617.1,10845.8
0.44,9165.1,536.4,15766.1,17874.4,582.2,9437.5,21332.1,10743.2
0.50,9165.1,536.4,15766.1,17874.4,582.2,9437.5,21332.1,10743.2
0.61,9263.1,628.4,15596.7,17776.7,667.2,9662.5,21152.6,10669.2
0.74,9538,870.7,15205.1,17550.2,870.1,10116.9,20612.5,10419.9
0.86,9722.8,997.5,15050.9,17436,973.3,10516,20331.7,10275.3
0.90,9722.8,997.5,15050.9,17436,973.3,10516,20331.7,10275.3
1.00,10041.3,1115.7,14933.5,17343.9,1068.9,10688.4,20061,10131.7
1.11,10041.3,1115.7,14933.5,17343.9,1068.9,10688.4,20061,10131.7
1.21,10286.3,1311.4,14756.6,17205.5,1243.5,11001.7,19321.3,9719.7
1.30,10388.5,1389.9,14706.5,17152,1399.3,11147.6,19125.5,9611.3
1.40,10484.4,1519.6,14661,17081.7,1468.2,11275.8,18958.4,9516.7
1.51,10564.2,1564.9,14609.1,17047.1,1520.3,11373,18824.5,9437.3
1.61,10619.3,1591.6,14562.4,17025.9,1555.8,11485.7,18714.6,9366.6
1.71,10645.4,1597.6,14562.4,17025.9,1580.1,11522.9,18620.9,9304
1.80,10645.4,1597.6,14596.1,17029.6,1599.8,11550.5,18559.8,9259.2
1.91,10644.1,1584,14645.1,17059.2,1617.4,11569.6,18514,9222.8
2.01,10623.3,1558.6,14708.2,17097.7,1629.1,11569.6,18472.7,9190.9
2.11,10623.3,1558.6,14708.2,17097.7,1629.1,11569.6,18472.7,9190.9
2.21,10552.5,1481.1,14861.5,17197.5,1636.6,11522.3,18437.1,9160.2
2.30,10496.2,1423.2,14954.6,17250.2,1625.5,11482.1,18445.5,9155.3
2.42,10421.2,1353,15060.7,17313.8,1611.8,11444.6,18482.6,9164.3
2.53,10334.8,1282.2,15151.8,17376.2,1599.6,11410.8,18602,9183.8
2.61,10252.9,1218.7,15228.6,17425.7,1587.8,11378.8,18660.4,9211.6
2.71,10178.3,1162.8,15377.5,17474.3,1575.8,11346.7,18714.8,9259.4
2.83,10106.5,1110,15449.2,17521.2,1564.3,11315.6,18767.8,9282
2.91,10034.7,1008.7,15518,17566.2,1553.9,11249.1,18816.9,9302.4
3.01,9964.7,961.4,15586.4,17608.3,1543.9,11219.6,18858.8,9326.2
3.12,9894.6,917.4,15654.4,17651.6,1536.9,11199.9,18904.1,9345.4
3.20,9894.6,917.4,15654.4,17651.6,1536.9,11199.9,18904.1,9345.4
3.30,9767.2,843.2,15740.3,17737.9,1536.3,11189.5,18967,9375.3
3.41,9713.1,815.2,15753.8,17757.6,1538.2,11186.8,19005.6,9396.4
3.53,9666.7,793.5,15753.8,17763.2,1540.6,11182.2,19048.4,9423.4
3.60,9625.8,773.4,15752.3,17760.2,1543.2,11179.4,19096.5,9454.1
3.72,9587.1,754.3,15738.6,17746.3,1546,11175.1,19153.3,9489.7
3.80,9587.1,754.3,15738.6,17746.3,1546,11175.1,19153.3,9489.7
3.90,9552.8,739,15699.9,17729.4,1549.3,11174.9,19207.4,9524.1
4.04,9508.1,729.5,15646.9,17690.4,1561.7,11186.4,19290.4,9574.6
4.10,9508.1,729.5,15646.9,17690.4,1561.7,11186.4,19290.4,9574.6
4.22,9496.7,729.5,15626.5,17676,1574.6,11200.5,19290.6,9586.3
4.30,9483.8,729.6,15610.9,17664.3,1609.3,11226.5,19283,9586.7
4.40,9483.8,729.6,15610.9,17664.3,1609.3,11226.5,19283,9586.7
4.51,9484.9,740.1,15602.7,17660.3,1621.2,11233.3,19269.4,9579.7
4.60,9490.8,748.3,15594.7,17655,1633.8,11244.6,19244.1,9565.5
4.73,9519.2,774.8,15580.9,17644.8,1658.8,11278.4,19150.4,9517.9
4.80,9519.2,774.8,15580.9,17644.8,1658.8,11278.4,19150.4,9517.9
4.90,9544.8,794.6,15569.8,17638.4,1672,11311.2,19091.7,9489.7
5.01,9574,816.4,15546.5,17627.4,1685.8,11332.2,19038.3,9463.2
5.10,9603.4,837.2,15540.2,17619.4,1701.1,11356,18977.6,9432.3
5.20,9630.9,857,15540.3,17613.8,1718.6,11382.2,18907.5,9397.4
5.30,9657,876.2,15541.3,17614.5,1736.4,11406.6,18830.3,9359.9
5.42,9681.1,893.5,15543.7,17616.8,1766.4,11423.8,18748.9,9321.2
5.51,9699.1,905.6,15542.4,17618.4,1774.9,11443.1,18685.1,9291.9
5.60,9707.6,910.3,15540.3,17617,1780.2,11444.6,18639.3,9276.2
5.71,9707.6,910.3,15541.8,17614.4,1783.7,11443.7,18639.3,9271.6
5.80,9705.1,909.3,15541.8,17614.4,1786.2,11444.6,18645.2,9275.5
5.91,9698,907.4,15534.2,17613.9,1788.4,11446.2,18664.8,9287.5
6.01,9689.7,902.3,15518.4,17594.9,1791,11447.9,18687.7,9301.5
6.11,9679.5,897.5,15488.9,17585,1796.1,11452.1,18703.5,9313.3
6.21,9679.5,897.5,15488.9,17585,1796.1,11452.1,18703.5,9313.3
6.30,9654.1,885.7,15483,17580.8,1802.4,11444.9,18746.8,9341.6
6.42,9637.7,876.2,15480,17578.5,1800.5,11428.8,18784.1,9361.5
6.50,9637.7,876.2,15480,17578.5,1800.5,11428.8,18784.1,9361.5
6.61,9604.3,861.6,15470.3,17568.2,1795.1,11398.1,18865.1,9398.2
6.73,9592.1,859.6,15471.4,17567.5,1795.1,11388,18886.6,9405.1
6.81,9592.1,859.6,15471.4,17567.5,1795.1,11388,18886.6,9405.1
6.91,9588.5,864,15472.7,17569.8,1799.2,11389.4,18881.4,9400.5
7.00,9590.5,872,15463.8,17562.6,1803.1,11389.5,18874.7,9393.9
7.11,9590.5,872,15463.8,17562.6,1803.1,11389.5,18874.7,9393.9
7.20,9598.8,885.3,15449.6,17550.8,1806,11386.5,18870.1,9389
7.32,9628.5,921.9,15415.8,17534.3,1813.2,11385.8,18820.3,9344.5
