Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,7073.3,1943,12340.3,14989.6,2077.8,8959.3,16648.2,12745.3
0.11,7068.9,1952.3,12341.2,14987.4,2074.4,8975.2,16661.9,12770.7
0.22,7081.2,1979.8,12342.8,14994.3,2097.2,9090.6,16625.3,12760.5
0.32,7120.9,2029.9,12333,14995.8,2146.6,9162.3,16528.7,12600
0.41,7120.9,2029.9,12333,14995.8,2146.6,9162.3,16528.7,12600
0.50,7195.4,2101.9,12329,14986.6,2203.1,9219.7,16397.3,12476.8
0.60,7361.4,2272.5,12347.7,14972.1,2276,9254,16087.3,12273.7
0.71,7404.2,2290.5,12406.4,14974.5,2276,9245.4,16087.3,12253.2
0.82,7426.2,2292.6,12427.9,14983.9,2270.5,9183.5,16106.9,12253.2
0.90,7426.2,2292.6,12427.9,14983.9,2270.5,9183.5,16106.9,12253.2
1.00,7433.8,2286.7,12478.9,15014.2,2099.3,8876.8,16276,12359.3
1.13,7425.4,2278.9,12499.7,15031.4,2039.4,8781,16356.9,12423.7
1.20,7425.4,2278.9,12499.7,15031.4,2039.4,8781,16356.9,12423.7
1.32,7413,2278.9,12569.9,15092.3,1941,8630.1,16445.3,12497.1
1.43,7420.4,2288.1,12602.5,15117.2,1907,8578.4,16469.5,12518.5
1.50,7420.4,2288.1,12602.5,15117.2,1907,8578.4,16469.5,12518.5
1.61,7434.2,2296.6,12636.4,15138.2,1877.5,8507.1,16485.8,12538
1.72,7457.4,2303.8,12677.6,15176.4,1842.7,8468.8,16477.3,12557.9
1.80,7457.4,2303.8,12677.6,15176.4,1842.7,8468.8,16477.3,12557.9
1.91,7454.9,2309.1,12691.6,15195.7,1831,8446,16468,12582.2
2.01,7452.2,2310.3,12683.7,15204.9,1798,8418.5,16473,12617.8
2.12,7452.3,2322.5,12650.9,15200.3,1781.5,8397.6,16500.5,12666
2.21,7451.1,2333.2,12597.1,15168.6,1778.5,8397.1,16586.8,12717.3
2.31,7451.1,2353.7,12545.3,15124.4,1778.5,8424.6,16598.3,12751.5
2.41,7457.4,2383.1,12497,15070,1789.4,8472.5,16612.7,12763.7
2.51,7478,2416.9,12451.2,15018,1818.6,8529.6,16576.6,12763.1
2.62,7509.5,2446.3,12407.7,14973.4,1859.5,8584.5,16513.9,12725.8
2.70,7551,2485.1,12368.8,14926.5,1906.6,8646.4,16441.8,12675.4
2.80,7613.6,2550.3,12324.7,14873.5,1954.7,8709.1,16371.9,12622.2
2.91,7691,2633.4,12266.2,14815.8,1994.9,8799.3,16320.1,12573.8
3.00,7767.8,2718.7,12096.2,14750.1,2060.7,8837.2,16289.3,12538.7
3.11,7845.8,2807.9,12003.3,14670.9,2089.3,8866,16260.5,12503.7
3.21,7921.8,2900.1,11919.8,14581.9,2112.9,8888.1,16245.3,12477.8
3.31,7988.3,2983.6,11849.9,14432.1,2127.5,8896.9,16247.1,12462.5
3.41,8034.1,3044.1,11805.1,14392,2133.7,8896.5,16256.3,12457.7
3.52,8051.7,3074.1,11791.8,14389.6,2133.7,8893.5,16275.7,12463.2
3.61,8046.8,3073.6,11791.8,14392.4,2126.7,8830.9,16317.9,12465.6
3.71,8045.5,3079,11800.2,14404.3,2108.1,8792.2,16347.8,12458.4
3.80,8045.5,3079,11800.2,14404.3,2108.1,8792.2,16347.8,12458.4
3.90,8074.7,3129.7,11807.5,14398.4,2077.5,8746.8,16307.7,12423.9
4.01,8094.2,3146.2,11816.8,14410.5,2064.6,8734.4,16273.6,12395.6
4.12,8104.7,3152.5,11872.8,14439.1,2059.5,8717.6,16253.3,12372.7
4.23,8104.7,3152.5,11872.8,14439.1,2059.5,8717.6,16253.3,12372.7
4.31,8108.6,3137.8,11921.4,14476.6,2033.5,8647.5,16275.1,12371.5
4.43,8094.7,3099,11954.2,14497,2023.9,8641.9,16307.6,12395.8
4.51,8094.7,3099,11954.2,14497,2023.9,8641.9,16307.6,12395.8
4.60,8001.8,2985.4,12037,14577,2013.2,8641.2,16347.1,12442.5
4.72,7946,2928,12072.6,14616.4,2012.5,8641.9,16358.5,12464.8
4.81,7946,2928,12072.6,14616.4,2012.5,8641.9,16358.5,12464.8
4.91,7890.5,2875.1,12096.3,14650.3,2012.5,8683.2,16362,12486
5.02,7782.6,2808.2,12119.3,14699,2065.2,8794.4,16321.7,12471.2
5.11,7782.6,2808.2,12119.3,14699,2065.2,8794.4,16321.7,12471.2
