Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,9221.8,3494.9,12199.3,14182.4,7769.1,12024.1,12988.2,4416.1
0.11,9773.6,3908.9,11859,13753.6,8035.2,12111.7,12732.5,4159.3
0.21,10323.8,4344,11521.3,13331.6,8618.6,12236.5,12449.1,3903.7
0.31,10911,4847.3,11130.2,12940.3,8895.1,12390,12062.9,3637.5
0.40,11564.2,5440.3,10648.5,12506.9,9152.4,12742.4,11560.1,3399.7
0.52,12244.8,6073.6,10156.6,11527.5,9383.1,12882.8,11019.7,3190.2
0.61,12895.1,6675.5,9694.9,11064.6,9562.9,12973,10508.9,3007.7
0.71,13465.5,7188.2,9332,10689.8,9680,13030.7,9791,2863.4
0.81,13842.3,7519.7,9114.9,10467.9,9765.3,13085.6,9607.4,2769.3
0.92,14053.6,7757,8918.2,10292.7,9853.7,13135.1,9478.6,2697
1.01,14243.6,7933.1,8765.4,10148.4,9927.7,13172.6,9376.4,2616.2
1.12,14408.3,8104.8,8449,10009.7,10004.8,13244.7,9255.3,2561.4
1.24,14601,8299.6,8274.5,9852.2,10180.9,13277.9,9117.8,2498.8
1.30,14802,8653.5,8118.7,9688.5,10266,13310.2,8974.3,2433.9
1.40,14981.8,8781.6,7992.8,9542.8,10347.8,13348.3,8843.3,2377.3
1.54,15139,8889.1,7884.8,9409.9,10434.3,13385,8740.4,2336.2
1.61,15280.8,8988.4,7768.1,9284.5,10521.6,13427.8,8643.8,2306.7
1.72,15412.6,9068.1,7636.8,9147.8,10618.3,13529.8,8576.9,2292.4
1.84,15522.3,9077.9,7553.1,9006.3,10714.1,13566.8,8505.7,2270.6
1.90,15522.3,9077.9,7553.1,9006.3,10714.1,13566.8,8505.7,2270.6
2.00,15576,8983.5,7537.2,8906.6,10843.8,13601,8480.3,2287.5
2.13,15531.5,8834.7,7595.9,8912.2,10874.1,13592.8,8564,2326.6
2.21,15531.5,8834.7,7595.9,8912.2,10874.1,13592.8,8564,2326.6
2.30,15439.3,8686.6,7715.5,8930.7,10874.7,13565.8,8813.7,2373.6
2.43,15264.9,8403.7,7834,8979,10817,13401.7,9150.5,2486.4
2.50,15264.9,8403.7,7834,8979,10817,13401.7,9150.5,2486.4
2.61,15199.6,8298.8,7878.9,9010.5,10804.6,13379.4,9292.7,2598.6
2.71,15093.1,8138.8,7926.3,9017.4,10794.7,13329.2,9453.8,2661.7
2.80,15093.1,8138.8,7926.3,9017.4,10794.7,13329.2,9453.8,2661.7
2.90,15096.7,8029.3,7949.7,9010.6,10776.7,13286.9,9516.1,2681.5
3.01,15108,7997.6,7975.1,9009.4,10745.5,13232.9,9583,2703.2
3.11,15111.6,7972,7999.2,9015.2,10700.4,13094.2,9680.3,2736.6
3.21,15103.1,7948.1,8008.6,9014.8,10640.8,13009.2,9816.2,2783.7
3.31,15089,7925.2,8017.4,9011.1,10503.5,12917.5,9981.4,2833.3
3.40,15071.9,7901.3,8040.7,9005.6,10435.5,12835.6,10139.3,2877.9
3.53,15050.6,7871.2,8068.1,9009.7,10374.1,12764.6,10280.9,2915.2
3.61,15029.2,7844.1,8083.8,9027.3,10320.3,12713.6,10404.3,2950.5
3.70,15000.2,7816.4,8088.5,9035.6,10284,12686.6,10526.3,2987.5
3.81,14974.3,7797.3,8089.3,9040.5,10261.2,12643.2,10700.1,3029.1
3.90,14947.8,7779.4,8097.7,9048.7,10239.9,12633.6,10752.8,3052.4
4.00,14919.1,7761.8,8104.7,9062.2,10231.9,12618.9,10783.1,3071.9
4.10,14889,7744.5,8117.6,9076.4,10222.7,12588.5,10806.6,3090.4
4.20,14870.1,7735.4,8138.7,9093.6,10203.9,12542.3,10835,3093.5
4.31,14866.6,7732.4,8167.1,9106.1,10129.4,12500.3,10886.2,3102.9
4.41,14862.3,7716.3,8199.8,9126.4,10097.3,12437.8,10957.9,3119.4
4.51,14851.4,7701.4,8244.2,9150.1,10071.1,12410.6,11021.5,3134.6
4.61,14825.9,7672,8261,9173.4,10047.1,12384,11090.5,3157.7
4.72,14779.7,7631.3,8276.9,9199.3,10020.1,12362.8,11184.8,3194.9
4.81,14721.3,7592.2,8287,9228.6,9998.5,12342.1,11268.7,3228.3
4.90,14663.2,7551.7,8291.9,9247.9,9978.4,12314.6,11356.1,3259.7
5.00,14596.7,7508.6,8301,9275.2,9958.3,12284,11447.6,3294.8
5.13,14539.6,7473,8322.8,9301.9,9938.8,12221.8,11548.5,3333.5
5.20,14539.6,7473,8322.8,9301.9,9938.8,12221.8,11548.5,3333.5
5.30,14460.1,7429.9,8372.2,9348.6,9878.6,12163.4,11798.9,3389.5
5.41,14460.1,7429.9,8372.2,9348.6,9878.6,12163.4,11798.9,3389.5
5.50,14439,7416.2,8385,9350.5,9868.8,12143,11854.4,3404.1
5.60,14411.5,7405,8326.9,9332.5,9866,12118.4,11966.9,3437.9
5.74,14411.5,7408,8284.3,9309.3,9870.5,12113.6,11985.1,3438.4
