Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,6752.1,29.1,26033.8,21347.1,1314,4891.6,10000.9,5489.9
0.11,6818.6,29.6,26352.9,21529,1222.6,4657.2,9747.3,5329.4
0.21,6918.3,30.7,26501.6,21657.1,1152.4,4612.6,9572,5225.2
0.33,7042.7,36.1,26496,21729.5,1100.1,4616,9450.9,5172.9
0.42,7170.8,64.7,26387.2,21734.7,1100.1,4638.7,9380.5,5177.2
0.50,7298.8,83.5,26291.6,21697.7,1101.5,4659.7,9295.1,5215.5
0.61,7431.8,101.3,26175.7,21667.7,1111.9,4684.5,9198.4,5229.8
0.71,7564.5,114,26088.6,21684.3,1134.5,4716.8,9097.8,5141.6
0.80,7672.6,120.4,25867.6,21745.1,1166,4863.5,9083.7,5137.8
0.92,7672.6,120.4,25867.6,21745.1,1166,4863.5,9083.7,5137.8
1.00,7746.6,124.9,25541.9,21754.6,1207.6,5007.2,9107.7,5197.7
1.15,7778.4,132.8,24339.5,21356.8,1340.3,5424.7,9696.1,5788.1
1.21,7733,138.3,23636.9,21013.2,1434.2,5681.1,10155.6,6204.7
1.35,7614,148.3,22897,20617.1,1658,5950.4,10654.8,6643.5
1.45,7480.6,148.3,22128.7,20189.9,1780.2,6448.4,11169.9,7087.2
1.51,7380,170.6,21355.7,19746.2,1895.6,6628.5,11661.5,7506.5
1.63,7332.5,214.5,20702.5,19345.1,1999.1,6769,12057.1,7850.7
1.70,7332.5,214.5,20702.5,19345.1,1999.1,6769,12057.1,7850.7
1.80,7320,258.1,20235,19046.6,2089.1,6872,12308.4,8083.4
1.93,7343.3,366.7,19656.9,18700.8,2212,6991.2,12518.1,8310.3
2.04,7340.4,385.6,19603,18614.7,2254.8,7024.5,12621.7,8356.1
2.12,7340.4,385.6,19603,18614.7,2254.8,7024.5,12621.7,8356.1
2.20,7310.4,392.5,19530.3,18518.9,2305.1,7069,12652.6,8439.5
2.34,7303,390.3,19518,18493.5,2322.3,7069,12663.4,8443.3
2.40,7303,390.3,19518,18493.5,2322.3,7069,12663.4,8443.3
2.51,7303.6,392.9,19518,18471.8,2330.6,7062.1,12662,8432.7
2.63,7346.4,410.1,19587.6,18450.9,2343.9,7029.7,12582.4,8337.2
2.71,7346.4,410.1,19587.6,18450.9,2343.9,7029.7,12582.4,8337.2
2.81,7449.1,417.4,19675,18457.9,2344.7,6983.2,12474.8,8240.4
2.95,7513.1,417.4,19895,18533,2358.2,6951.3,12276.2,8066.1
3.00,7513.1,417.4,19895,18533,2358.2,6951.3,12276.2,8066.1
3.11,7522.5,400.6,20157.4,18585.5,2368.6,6941.7,12169.5,7980.3
3.22,7485.5,359.9,20283.6,18633.5,2378.5,6935.7,12097.3,7921.7
3.30,7433.2,309.3,20406.6,18681.8,2387.1,6932.3,12042.7,7880.6
3.42,7367.2,265.2,20542.9,18729.6,2405.9,6930.1,12008.3,7856.2
3.50,7325.3,188.2,20643.1,18730.8,2414.6,6921.6,11988.1,7841.8
3.61,7325.3,171.5,20699.2,18715.8,2419.4,6913.3,11971.2,7828.1
3.71,7337.4,171.5,20739.2,18707.2,2421.4,6904.5,11965.6,7811
3.81,7377.8,172.2,20772.9,18690.6,2422.9,6898.8,11954.1,7758.6
3.91,7428.9,183.8,20789.1,18668.9,2425.9,6893.6,11924.3,7725.6
4.00,7481.2,195.2,20793.6,18655.2,2431.9,6894.7,11877.9,7701.8
4.10,7514.5,193.4,20815.9,18654.5,2440,6910.7,11832.5,7694.4
4.20,7530.8,184.9,20832.1,18648.1,2448.7,6925.8,11809.2,7687.2
4.30,7557,188.3,20803.8,18619.1,2459.6,6947.9,11796.4,7688
4.41,7599.1,206.6,20738.5,18575.7,2484.6,6966.5,11784.9,7694.7
4.50,7639.5,231.2,20640.5,18524.8,2492.4,6983.2,11776.7,7721.3
4.62,7683.7,264.7,20518.6,18441.1,2493.7,7000.3,11788.5,7772.4
4.73,7738.4,306.7,20397.7,18343.1,2495.6,7015.2,11830,7825.7
4.80,7799.3,351.3,20276.8,18252.2,2500.1,7037.6,11874.9,7863.4
4.91,7875.9,399.2,20145.9,18162.8,2504,7048.2,11895.8,7885.6
5.02,7984.7,457,19990.8,18075.9,2507.3,7054.9,11892.4,7887.1
5.11,7984.7,457,19990.8,18075.9,2507.3,7054.9,11892.4,7887.1
5.22,8309.2,716.5,19798.3,17916.2,2512.4,7073.6,11866.4,7876.4
5.33,8433.6,786.7,19684.4,17847.6,2515.5,7088.4,11858.4,7865.5
5.41,8433.6,786.7,19684.4,17847.6,2515.5,7088.4,11858.4,7865.5
5.50,8583.4,908.6,19614.7,17758,2520.3,7125.7,11821.6,7862.3
5.63,8638.4,977,19560.3,17690.9,2513.1,7125.9,11804.2,7860
5.70,8638.4,977,19560.3,17690.9,2513.1,7125.9,11804.2,7860
5.81,8712,1060.4,19465.7,17636.4,2499.4,7125.9,11787.5,7856.5
5.93,8940.4,1295.7,19234.2,17479.1,2474.4,7118.9,11762.1,7847
6.01,8940.4,1295.7,19234.2,17479.1,2474.4,7118.9,11762.1,7847
6.11,9079.3,1366.3,19165.4,17450.4,2457.9,7113.1,11749.4,7833.7
6.21,9085.5,1440,19129.1,17466.1,2412.3,7059.6,11732,7814.4
6.30,9085.5,1440,19129.1,17466.1,2412.3,7059.6,11732,7814.4
6.41,9110.8,1480.1,19143.6,17517.1,2387,7042.7,11710.8,7794.4
6.52,9171.5,1547,19081.7,17533.6,2342.7,7024.1,11671.3,7765
6.61,9235.8,1632.1,19013.4,17523.9,2317.5,7002.6,11595,7733.8
6.70,9262.3,1745.8,18979,17528.5,2294.9,6981.8,11595.6,7716
6.80,9219.6,1731.7,18998.5,17573.8,2273.8,6939.1,11614.8,7720.4
6.91,9138.8,1702.5,19032.6,17643.6,2253.6,6914.5,11635.3,7743.7
7.01,9028.2,1654.6,19090.8,17736.3,2237,6895.1,11653.9,7759.4
7.12,8913,1611.6,19139,17829.6,2227,6890.9,11684.7,7778.6
7.21,8822.3,1583.6,19163.3,17897.5,2225.7,6890.9,11698.5,7786.9
7.30,8778.7,1583.4,19163.5,17928.5,2226.6,6895.7,11692.6,7781.5
7.41,8786,1607.5,19144.3,17925.1,2234.1,6913.5,11666.6,7765.6
7.50,8792.1,1617.9,19135.4,17926.4,2252.8,6929.8,11637.6,7751.5
7.61,8760.2,1607,19158.1,17955,2265,6958.6,11614.8,7747
7.71,8702,1586.7,19155.6,17983.3,2277.8,6996.4,11607.2,7757.1
7.80,8639.6,1575.1,19138.9,18017.4,2298.6,7033,11603.4,7775.6
7.92,8600.4,1573.8,19072.5,18045.3,2322.9,7069.1,11606.8,7793.2
8.04,8578.7,1578.4,18967.8,17961.4,2342.9,7108.1,11607.6,7817.8
8.12,8561.6,1578.6,18880.3,17888.3,2362.6,7199.5,11723.3,7870.9
8.25,8519,1502.4,18813.1,17839.7,2380,7247.1,11836.1,7952.3
8.34,8429.7,1436.3,18744,17816.2,2395.4,7289.5,11961.6,8059.1
8.40,8332.9,1382.2,18665.2,17796.4,2406,7326.6,12072.6,8171
