Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,3569.9,-18.2,5796.6,6705.1,1520,11766.4,23990,25933.5
0.13,3615.7,-18.2,5679.8,6623,1608.6,11821.5,23959.4,25869.2
0.20,3615.7,-18.2,5679.8,6623,1608.6,11821.5,23959.4,25869.2
0.32,3637.9,-18.3,5499.6,6432.2,1713.2,11891.6,24027.8,25907.5
0.43,3630.7,-18.4,5410.8,6337.1,1760.5,11903.3,24096.8,25982.3
0.53,3630.7,-18.4,5410.8,6337.1,1760.5,11903.3,24096.8,25982.3
0.60,3620.3,-18.9,5322.4,6237.9,1801.9,11923.1,24164.6,26078.2
0.74,3566.5,-20,4949.1,5996.3,1930.6,12072.4,24426.9,26301.7
0.81,3566.5,-20,4949.1,5996.3,1930.6,12072.4,24426.9,26301.7
0.92,3507,-20.4,4741,5822.8,1996.1,12192.9,24553.5,26504.4
1.04,3333.8,-20.7,4251.3,5388.3,2141.7,12513.8,24801.5,27309.1
1.10,3333.8,-20.7,4251.3,5388.3,2141.7,12513.8,24801.5,27309.1
1.22,3241.5,-20.8,4023.7,5158,2205,12614,24858.5,27500.8
1.31,3159.1,-21.2,3810.1,4932.4,2272.1,12707.5,24889.5,27648.7
1.41,3092,-21.7,3614,4717.4,2357.1,12791.4,24923.7,27784.7
1.50,3034.5,-22.1,3438.4,4515.9,2434.2,12853.9,24985.2,27947.9
1.60,2989.1,-22.5,3279.2,4185.3,2485.4,12912.2,25074.8,28149.9
1.71,2948.1,-22.8,3107,4028.4,2556.8,13027,25177.6,28367.8
1.82,2907.4,-23.2,2910.6,3864,2583,13062.5,25298,28603.9
1.91,2866.9,-23.3,2515.7,3705.9,2597.5,13062.5,25441.9,28859.2
2.01,2829.1,-23.3,2334.2,3563.9,2609.6,13059.9,25595.8,29115.5
2.12,2791.6,-22.9,2156.3,3427.8,2630.2,13071.6,25738.3,29348.1
2.21,2753.9,-22.9,2010.2,3300.1,2663.4,13099,25858.6,29542.1
2.31,2715.6,-23,1915.2,3197.4,2706.6,13132.2,26000.3,29667.2
2.41,2681.2,-23.2,1869,3124.2,2755.5,13204,26036.8,29734.3
2.54,2645.9,-23.1,1818.3,3071.1,2813.1,13247,26038.6,29814.2
2.61,2612,-23.2,1790.7,3020.5,2872,13283.6,26003.1,29792.1
2.72,2599.3,-23.6,1757.5,2983,2978.8,13297,25940.3,29742.9
2.81,2611.4,-23.9,1753,2988.1,3008.9,13279.5,25865.5,29625.7
2.90,2648.9,-24,1800.6,3040.3,3017.9,13231.4,25820,29550.1
3.02,2691.8,-23.5,2035,3116.6,2988.1,13008.5,25749.3,29386.9
3.15,2763.5,-22.9,2339.3,3295.8,2907.6,12864,25615.5,29102
3.20,2763.5,-22.9,2339.3,3295.8,2907.6,12864,25615.5,29102
3.33,3037.7,-21.4,3141.5,3975.1,2735.1,12492.8,25199,28241.4
3.45,3236,-18.8,3499,4359,2633.8,12352.4,24988.1,27782
3.50,3236,-18.8,3499,4359,2633.8,12352.4,24988.1,27782
3.62,3873.1,32.3,4143.5,5051.7,2445.2,12115.4,24575.8,26888.1
3.76,4119,75,4460.8,5375.2,2260.8,11815.7,24348.6,26381.8
3.85,4391.4,129.2,4799.4,6041,2275.2,11832.9,23740.1,25814.6
3.90,4391.4,129.2,4799.4,6041,2275.2,11832.9,23740.1,25814.6
4.05,4995.1,250.8,5587,6823.1,2432.6,12078.1,22619.8,24436.4
4.11,4995.1,250.8,5587,6823.1,2432.6,12078.1,22619.8,24436.4
4.20,5319.2,302.7,6557.5,7256.8,2642.1,12498.2,21741.9,22167.6
4.36,5938.2,338.7,7764.7,8292.9,2731,12620.1,20650.5,20140.2
4.40,5938.2,338.7,7764.7,8292.9,2731,12620.1,20650.5,20140.2
4.51,6215.9,340.3,8346.9,8831.7,2636.9,12411,20350.7,19332.1
4.62,6452.4,340.8,8840.1,9292.9,2511.3,12195.2,20181.8,18683.8
4.70,6624,341.2,9175.5,9619.9,2370.8,12049.2,20121.4,18241.2
4.83,6714.2,341.3,9422.3,9777.9,2182.6,11967.1,20140.6,17963.3
4.91,6717,341.3,9542.2,9826.5,2149.5,11917.9,20219.7,17770
5.01,6717,341.3,9542.2,9826.5,2149.5,11917.9,20219.7,17770
5.13,6642,339.6,9622.4,9739.6,2100.2,11722.4,20606.6,17787.9
5.20,6530.6,316,9693.9,9676,2084.1,11670.8,20824.8,17822.3
5.30,6400.7,289.5,9888.8,9619,2082.4,11613.8,21038,17842.1
5.41,6243.3,246.3,9968.6,9562.8,2080.1,11473.8,21467.3,17848
5.50,6057.8,192.4,10012,9508.4,2033.3,11173,21773.9,17902.4
5.60,5852.2,134.8,10012,9452.5,1887.1,10638.9,22240.8,18077.6
5.70,5635.5,71.1,10012.2,9394.5,1615.6,9298.4,22939.8,19028.9
5.80,5409.4,19.7,9961.5,9322.1,972.2,8971.2,23798,19769.6
5.91,5202.2,-7.3,9850.4,9226,836.5,8829.9,24376.4,20322.8
6.03,5034,-15.5,9676.4,9099.8,787.6,8799,24715.8,20718.9
6.14,4892.5,-16.7,9459.5,8939.2,774.6,8799,24953,21058.4
6.22,4774.6,-16.8,9226.4,8580.5,774.6,8837.9,25122,21360.5
6.33,4684.7,-16.7,8997.9,8433.7,779.9,8918.2,25226.4,21596.7
6.45,4626.6,-16.8,8665.3,8328,793.6,9071.6,25269.7,21759.6
6.51,4601.7,-16.8,8570.3,8266.4,802.2,9135.1,25269.7,21846.3
6.63,4601.7,-16.8,8492,8234.1,814.5,9215.8,25277.3,21867.4
6.72,4609.8,-17.2,8407.3,8192,844.8,9328,25256.7,21918.7
6.84,4650.3,-17.6,8292.4,8150.6,948.5,9458.4,25032.3,21946.8
6.91,4652.1,-17.5,8157.8,8101.9,1009.9,9585.6,25017.3,21977.5
7.05,4650.6,-17.4,8028.7,8045.4,1061.8,9768.9,25017.3,21999.7
7.11,4650.6,-17.4,8028.7,8045.4,1061.8,9768.9,25017.3,21999.7
7.21,4645.1,-17.9,7770.9,7907.4,1143.9,9897.3,25118.7,22144.8
7.34,4657.2,-18.3,7644.5,7842.7,1183.1,9946.9,25172.2,22193.6
7.41,4657.2,-18.3,7644.5,7842.7,1183.1,9946.9,25172.2,22193.6
7.50,4689.7,-18.3,7512.6,7783.9,1226.9,9992.3,25201.8,22219.1
