Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,7803.8,2802.4,11178.7,17742.1,2583,8174.4,18329.2,8726.7
0.10,7803.8,2802.4,11178.7,17742.1,2583,8174.4,18329.2,8726.7
0.21,7823.9,2823,11176.1,17726.3,2587.9,8184.9,18312.7,8719
0.30,7881.9,2876.5,11170.3,17692.5,2614,8214.6,18166.9,8689.7
0.40,7881.9,2876.5,11170.3,17692.5,2614,8214.6,18166.9,8689.7
0.51,7907.2,2897.3,11173.1,17676.4,2626.1,8231,18109.9,8668.7
0.60,7929.4,2915.6,11208.8,17678.2,2639.5,8265.3,18048.7,8647.5
0.73,7963,2943.4,11246.8,17725.7,2667.2,8305.9,17911.8,8575.6
0.80,7963,2943.4,11246.8,17725.7,2667.2,8305.9,17911.8,8575.6
0.92,7974.7,2952.9,11248,17719.4,2684.6,8331,17871.5,8569.2
1.02,7983.2,2962.6,11235,17701.1,2706,8360.9,17840.3,8568.5
1.10,7993.4,2977.2,11216.6,17672.6,2728.1,8392.9,17798.9,8564.8
1.21,8009,3016.3,11191.7,17640.1,2750.2,8466.9,17745.9,8557.4
1.31,8026.9,3043.2,11165.7,17607,2775,8507.4,17686.9,8548.7
1.41,8048.4,3075.3,11133.9,17565.9,2831.3,8549.6,17614.3,8533.8
1.51,8074.2,3104.8,11109.9,17526.3,2863.7,8591.7,17539.2,8514.5
1.60,8096.6,3128.4,11100.3,17502.5,2896.8,8632.7,17455.7,8494.7
1.70,8096.6,3128.4,11100.3,17502.5,2896.8,8632.7,17455.7,8494.7
1.80,8126.4,3159.7,11066.9,17479.7,2956.6,8704.7,17332.9,8460.4
1.91,8131.8,3164.5,11056.8,17467,2982.1,8759.2,17251.5,8449.7
2.01,8134.4,3171.2,11048.2,17453.8,3005.1,8783.5,17215.7,8440
2.12,8134.4,3171.2,11048.2,17453.8,3005.1,8783.5,17215.7,8440
2.21,8148.4,3198.7,11023.1,17427,3050.4,8839.4,17140.6,8415.4
2.30,8160.4,3216.5,10998.6,17401.8,3074.8,8871.1,17105,8392.7
2.41,8160.4,3216.5,10998.6,17401.8,3074.8,8871.1,17105,8392.7
2.50,8175.9,3238.6,10978.8,17365.1,3128.4,8902.3,17069.2,8384.3
2.60,8212,3285.8,10972.5,17329.9,3183.7,8990.5,16937.6,8330.3
