Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,2132.4,9.6,23563.8,31440.9,432.7,4123.6,44695.8,17749.5
0.11,2000.4,9.4,23576.9,31330.3,375.1,4027.1,44979.1,17927.8
0.20,1891.9,9.3,23508.8,31182.5,344.9,3986.2,45151.1,18108.1
0.31,1891.7,9.2,23347.4,30995.7,337.9,4020.3,45243.7,18269.8
0.41,1971.8,9,23161.3,30816,353.9,4239.6,45292.7,18413.4
0.51,2061.8,8.9,22994.6,30650.7,397.7,4327,45271.6,18529
0.61,2139.7,8.9,22855.2,30508.4,517.7,4413.1,45171.8,18630.8
0.70,2207.1,8.9,22747.7,30390.9,589.7,4520.4,45122.6,18726.4
0.81,2263.1,8.8,22615.5,30308.4,678.5,4653.3,44850.1,18795
0.90,2296.3,8.9,22595.8,30271.2,790.1,4832.1,44603.9,18830.9
1.00,2288.6,9.1,22610.6,30251.8,910.5,5255.8,44348.1,18852.4
1.10,2256.2,9.1,22617.7,30246.4,1012,5404.8,44162.3,18869.6
1.21,2201,9.2,22627.2,30253,1072.3,5488.5,44097,18900.2
1.31,2143.7,9.2,22621.4,30261.4,1097,5536.3,44085.2,18938.7
1.41,2100,9.2,22601.6,30271.4,1110.6,5587.6,44076.4,18979.1
1.51,2076.2,9.1,22569.5,30277.4,1127.3,5678.8,44041.9,19010.8
1.62,2078.4,9,22525.8,30272.3,1170,5795.3,43981.9,19021.2
1.71,2113.6,8.9,22479.9,30264.8,1191.3,5938.9,43926,19013.5
1.80,2156.5,8.9,22439.3,30255,1213.3,5945.1,43897.1,19002.4
1.91,2182.2,8.8,22381.2,30248.1,1226.6,5954.8,43886.3,19001.6
2.00,2182.2,8.8,22381.2,30248.1,1226.6,5954.8,43886.3,19001.6
2.10,2215.7,8.7,22318.5,30228.4,1253.7,5896.9,43916.5,19029
2.21,2229.7,8.7,22267.1,30190.1,1258.2,5853.1,43952.1,19063.7
2.31,2229.7,8.7,22267.1,30190.1,1258.2,5853.1,43952.1,19063.7
2.40,2275.5,8.5,22113.3,30054.7,1232.7,5667.5,44236.5,19171.7
2.53,2287,8.3,22048.2,29992.6,1182,5602.3,44473,19314.4
2.60,2287,8.3,22048.2,29992.6,1182,5602.3,44473,19314.4
2.71,2273,8.2,22005.3,29940.5,1047.2,5536,44728.3,19374.6
2.83,2234.4,8.1,21931.6,29879.4,949.9,5456.2,45107,19427.9
2.92,2234.4,8.1,21931.6,29879.4,949.9,5456.2,45107,19427.9
3.01,2252.6,8.1,21897.9,29872.5,949.1,5480.8,45166,19431.9
3.11,2342.3,8.2,21786,29871.4,981.4,5588.6,45113.2,19433
3.20,2342.3,8.2,21786,29871.4,981.4,5588.6,45113.2,19433
3.30,2399,8.3,21760,29871.4,1014.4,5651.4,45007.3,19425.3
3.42,2457.8,8.4,21739.5,29886.4,1057.6,5726,44855.3,19405.7
3.51,2520.4,8.5,21719.6,29912,1108.2,5806.1,44656.7,19376.9
3.60,2583.3,8.5,21698.9,29944.6,1156.7,5879.7,44448.9,19344.9
3.71,2642.2,8.4,21675.7,29979.9,1256.7,6046.7,44240.3,19316.1
3.80,2692,8.5,21644,30010.6,1313.4,6111.6,43788.8,19294.4
3.91,2728.5,8.6,21621.8,30039.4,1353.2,6149.2,43616.5,19278.2
