Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,20375.2,18469.4,10643.9,13779.3,16598.2,22717.8,14933.7,8236.9
0.11,20609.9,19188.1,10583,13779.3,17016.5,22915.7,14307.6,7736.5
0.21,20987.9,20535.7,10583,13962.5,17156.1,22915.7,12802.5,7209.1
0.30,21457.2,21223.3,11110.5,14647.5,17060.5,21851.5,11669.3,6503.7
0.40,21934.9,21803.9,11800.1,15332.7,16769.6,21214,10770.4,5103.9
0.51,22714.9,22084.8,12441.8,15957,16428.8,20790.7,10130,4612.5
0.62,22714.3,22084.8,13437.6,16550.4,16076.7,20696.7,9733,4427.5
0.72,22582.6,21999.9,14260.1,17408.8,15579.7,20677.4,9366.2,4247
0.80,22284.1,21632.4,15261.8,18446.5,14948.9,20274.3,8804,3887.8
0.91,21986.7,21225.1,16597.1,20026.7,14146.2,18382,8126.9,3532.3
1.02,21656.2,20782.2,18023,22023.7,13183.6,17380.6,7643.3,3331.2
1.13,21186.6,20235.7,18991.1,23600.6,12282.5,16575.7,7800.8,3534.7
1.20,20647.7,19637.9,19519.4,24530.9,10524.4,15784.5,8032.1,3872.7
1.31,20099.3,18990.1,19889.2,25146.7,9618.2,14874.7,8777.3,4458.4
1.44,19673.6,18285.6,20217.1,25558.1,8670.8,13806.4,9880.2,5243.2
1.50,19528.8,17642.7,20537.7,25748.3,7759.5,12871.8,11124.3,6059.9
1.61,19655.3,17110.2,20542.5,25802.2,7092.8,12036,12442.1,6913.9
1.77,19823.7,16381,19801.5,25451.9,6808,12312.8,14749.6,7748.7
1.81,19823.7,16381,19801.5,25451.9,6808,12312.8,14749.6,7748.7
1.94,19745.2,15954.4,17215.2,23132.3,6850.1,13771,17368.8,10652.9
2.01,19450.2,15692.2,16012.3,21907.4,7080.6,14365.1,18626.2,11531.7
2.17,19052.3,15612.9,14985.2,20865,7370.9,14685.6,19667.1,12341.2
2.22,18885,15580.9,14221.5,20009.4,7716.1,14582.9,20461,12963.9
2.33,18821,15764.7,13587.3,19289.3,7936.6,14795,21054.3,13274.2
2.44,18997.7,16148.8,12688.6,18405.5,8333.7,15571.2,21639.2,13575.5
2.51,18997.7,16148.8,12688.6,18405.5,8333.7,15571.2,21639.2,13575.5
2.61,19576.5,16902.4,9933.4,15079.3,9235.4,16870.5,23216.8,14657
2.75,19754.3,17233,9000.2,13660.1,9652.9,17334.7,23428.2,14842.6
2.81,19754.3,17233,9000.2,13660.1,9652.9,17334.7,23428.2,14842.6
2.91,20086.4,18057.9,8078.8,12455.8,10486.1,18769.4,23055.2,14625.6
3.06,20383.2,18559.2,8014.1,12235.9,10984.3,19225.5,22275.7,14110.4
3.10,20383.2,18559.2,8014.1,12235.9,10984.3,19225.5,22275.7,14110.4
3.23,20594.2,18955.1,8078.5,12180.7,11476.5,19577.2,20082.9,13421.7
3.33,20641.3,19315.4,8772.1,12743.6,12246.1,19853,18386.2,11948.6
3.40,20641.3,19315.4,8772.1,12743.6,12246.1,19853,18386.2,11948.6
3.50,20574.3,19312.8,9157.8,13354.9,12321.1,19895.9,17869.2,11034.9
3.64,20385.8,19193.4,9697.4,14388.5,12433.6,19899.2,17122.6,10438.2
3.70,20385.8,19193.4,9697.4,14388.5,12433.6,19899.2,17122.6,10438.2
3.81,20404.1,19181.6,9870.1,14702.6,12515,19932.8,16858.4,10211
3.91,20445.5,19180.3,9987.8,14906.8,12611.9,19983.8,16636.4,10027.7
4.01,20473.8,19171.4,10188.3,15181.7,12697.5,20032,16467,9893.2
4.10,20478.2,19143.1,10260.8,15286,12765.5,20070.1,16354.4,9805.2
4.21,20461.4,19096.6,10316.3,15365.5,12820.3,20110,16279.3,9738
4.30,20437.2,19045.8,10365.6,15419.8,12906.3,20121.5,16201.4,9676.3
4.40,20424.7,18998.1,10421.4,15469.9,12951.4,20114.2,16131.2,9619.5
4.51,20424.7,18970.4,10483.2,15522.3,12984,20080.9,16068,9556.7
4.62,20432.8,18959.9,10555.2,15584.4,12993.3,20031.2,15995.3,9483.5
4.75,20455.1,18959.9,10631.5,15662.2,12987.3,20000.3,15847.7,9404.1
4.82,20483.9,18971.6,10687.2,15724.9,12987.3,20000.3,15775.2,9327.8
4.92,20518.6,18993.4,10717.5,15757.2,13004,20039.9,15691.6,9253
5.02,20557.4,19027.2,10724.9,15761.7,13049.7,20097,15590.9,9093.6
5.10,20600.4,19077.9,10720.2,15767.4,13120.5,20171.8,15472.4,9012.9
5.21,20647,19134.2,10691.9,15742.6,13210.2,20247.2,15353.1,8940
5.30,20681.2,19183.1,10650.6,15692.2,13383.6,20321.4,15256,8884.9
5.42,20705,19237.2,10606.6,15631.4,13475.1,20394.3,15177.6,8840.2
5.50,20733.2,19292.2,10556.6,15565.7,13572.5,20569.4,15086.8,8788.6
5.61,20759.9,19352.8,10494.5,15489.7,13684.7,20675.8,14995.8,8735.8
5.72,20792.2,19430.9,10420.4,15396.3,13812.3,20787.5,14885,8670.5
5.80,20836.1,19524.5,10344.4,15282.9,13946.7,20899.1,14754.5,8592.8
5.92,20884.8,19619.6,10270.7,15168.3,14081.6,21006.9,14613.4,8505.2
6.04,20930.8,19712.4,10199.2,15057.6,14213.3,21111.9,14473,8416.3
6.12,20930.8,19712.4,10199.2,15057.6,14213.3,21111.9,14473,8416.3
6.21,21012.7,19871.6,10052.3,14821.6,14458,21371.1,14092.8,8240.2
6.34,21050.2,20015.8,10020.6,14767.9,14679.3,21434,13970.8,8150.8
6.40,21050.2,20015.8,10020.6,14767.9,14679.3,21434,13970.8,8150.8
6.50,21088.3,20079.7,10000.8,14729.6,14771.1,21484.2,13856,8056.3
6.61,21163.9,20179.1,9986.1,14689.5,14918.5,21549.9,13672,7789.2
6.71,21163.9,20179.1,9986.1,14689.5,14918.5,21549.9,13672,7789.2
6.80,21196.7,20206.9,9987.8,14686.1,14973.9,21565,13605.5,7720.2
6.91,21231.4,20216.7,10002.1,14697.4,15031.1,21545.2,13533.6,7621.2
7.00,21231.4,20216.7,10002.1,14697.4,15031.1,21545.2,13533.6,7621.2
7.11,21230,20206.7,10027.9,14726,15032.7,21508.7,13526.8,7589.4
7.21,21215.2,20176.2,10069.7,14777.7,15032.7,21454.5,13526.8,7567.6
7.30,21215.2,20176.2,10069.7,14777.7,15032.7,21454.5,13526.8,7567.6
7.41,21153.6,20051,10296.7,14948.2,14928.4,21299.8,13566.1,7561.2
7.50,21103.1,19942.8,10413,15073.6,14847.8,21192.1,13623.7,7573.6
7.60,21041.6,19809.4,10536.6,15222.4,14756.2,20948.9,13706.3,7602.9
7.70,20981.5,19669.7,10650.3,15372,14669.2,20846.3,13801.8,7640.6
7.80,20928.1,19545.2,10743.5,15502,14599.7,20767.3,13960.6,7673
7.91,20881.2,19349,10812.6,15602.2,14548.7,20714.3,14021.2,7702.2
8.00,20835.8,19271.1,10860.4,15676.4,14514.9,20687.2,14076.5,7731.1
8.11,20788.5,19209.5,10886,15727.5,14502.7,20683.3,14120.5,7798.3
8.20,20739.1,19167.9,10889.4,15751.7,14502.7,20701,14157.5,7834.8
8.31,20739.1,19167.9,10889.4,15751.7,14502.7,20701,14157.5,7834.8
8.41,20665.6,19148.8,10825.5,15747.5,14565,20802.6,14188.4,7889.3
8.52,20648.7,19152.1,10777.5,15664.7,14612,20868.9,14188.4,7901.7
8.62,20641.7,19165.4,10736.2,15621.3,14645.2,20921,14186,7912.5
8.72,20641.7,19188.3,10693.7,15572.3,14670,20957,14185.1,7920.8
8.80,20649.3,19227.2,10639.2,15497.1,14717.3,21065.5,14166.7,7920.8
8.92,20675.2,19291.4,10557.6,15387,14795.1,21163.6,14139,7907.4
9.04,20724.3,19401.1,10448.2,15259.5,14893.4,21277.9,14061.7,7854.6
9.11,20800,19564.9,10322.2,15091.5,15032.9,21388.8,13936,7764.4
9.21,20894.3,19766.5,10184,14896,15195.2,21490.9,13612.2,7646.9
9.34,20997.1,19974.2,10051.1,14705.7,15356.9,21580.2,13457.3,7522
9.40,20997.1,19974.2,10051.1,14705.7,15356.9,21580.2,13457.3,7522
9.52,21183.8,20487.7,9735.5,14375.8,15779.2,21809.5,13192.9,7285.2
9.66,21254.1,20598.5,9672.6,14261.8,15887,21862,13097.9,7111.2
