Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,16167.2,8578.6,33543.8,38991.2,3227.8,6848,12812.3,2685.6
0.10,16264.7,8697.8,33561.6,38956,3221.5,6840.4,12716.1,2648.3
0.20,16336.4,8710.9,33567.2,38928.3,3216.3,6839.7,12684.1,2638.8
0.30,16358.9,8714.7,33567.2,38914.2,3212.9,6839.7,12684.1,2638.8
0.41,16343.9,8639.5,33588.2,38974.2,3203.2,6828.5,12727.9,2653
0.50,16343.9,8639.5,33588.2,38974.2,3203.2,6828.5,12727.9,2653
0.61,16250.5,8596.6,33607.6,39017.5,3193,6805.5,12766.2,2663
0.70,16216.4,8561.3,33629.9,39058.6,3183.2,6796.7,12795.6,2669
0.81,16198.7,8539.9,33664.5,39091.2,3172.2,6789.1,12821.6,2671.6
0.91,16198.7,8539.9,33677.5,39102.5,3166,6778.2,12821.6,2671.6
1.02,16202.9,8545.9,33699.2,39113.4,3159.3,6762.8,12802.7,2671.6
1.11,16237.7,8580.1,33714.9,39120.2,3153.5,6750.1,12740.8,2625.1
1.21,16307.9,8647.7,33708.6,39112.4,3154.5,6747.1,12661.4,2592.1
1.32,16405.4,8740,33680.1,39072.6,3163.4,6760.3,12584.4,2562.8
1.41,16520,8843.3,33639,39003.2,3176.6,6770.6,12505.8,2534.3
1.51,16647.8,8959.2,33606.5,38814.8,3190.8,6779.1,12417.7,2501.9
1.61,16788.7,9227.5,33578.2,38735.7,3203.7,6780.2,12303.8,2456
1.72,16937.4,9364.7,33562.7,38657,3217.9,6775.2,12160.5,2394.9
1.82,17091.9,9502.5,33562.2,38589.5,3236.7,6767.3,11995.2,2323.1
1.90,17250.4,9646.1,33577.4,38536.2,3244,6763.1,11814.9,2244.9
2.01,17409,9788.7,33580.4,38491.4,3253.4,6763.7,11639.4,2171.1
2.11,17567.6,9933.3,33568.9,38431.6,3265.8,6764.8,11480.4,2105.8
2.25,17729.4,10079.6,33549.7,38351.4,3278.6,6763.3,11332,2045.2
2.31,17889.3,10219,33528.1,38266.6,3288.1,6758.4,11071.4,1987.8
2.43,18035.2,10338,33504.1,38194.9,3294.2,6753.7,10968,1935.6
2.53,18158.5,10440.2,33491.8,38136.3,3298.1,6749.5,10878.5,1890.3
2.61,18268.4,10537,33486,38088.4,3300.9,6741.7,10799,1813.9
2.73,18374.4,10630.9,33483.4,38046.9,3300.9,6726.8,10711.7,1768.3
2.83,18476.5,10723.4,33483.4,38012.7,3295.1,6706.9,10618.4,1720.1
2.91,18476.5,10723.4,33483.4,38012.7,3295.1,6706.9,10618.4,1720.1
3.01,18666.6,10890.7,33505.8,37960.9,3274,6657.6,10453.7,1632.8
3.16,18751,11035.4,33514.8,37938.4,3259.3,6628.9,10383.4,1593.3
3.21,18751,11035.4,33514.8,37938.4,3259.3,6628.9,10383.4,1593.3
3.32,18912.7,11163,33532.8,37891.2,3227,6547.6,10272.5,1527.7
3.40,18912.7,11163,33532.8,37891.2,3227,6547.6,10272.5,1527.7
3.51,18977.5,11205.8,33548.2,37873.6,3210.6,6519,10232.6,1499.8
3.60,19023.8,11235.2,33574.7,37873.1,3193.8,6490.8,10199.9,1472.9
3.73,19115.1,11278.6,33643.4,37948.1,3157.6,6435.4,10080.6,1413.6
3.81,19115.1,11278.6,33643.4,37948.1,3157.6,6435.4,10080.6,1413.6
3.92,19144.2,11297.5,33690,37988.2,3119.3,6374.8,10035.7,1383.9
4.00,19180.7,11321.4,33739.3,38028.8,3100.7,6344.6,9987.3,1351.3
4.11,19223.5,11350.6,33791.5,38065.5,3082,6316.9,9927.4,1315.7
4.21,19262.3,11382.9,33893,38100.1,3064.3,6291.2,9868.6,1240.7
4.31,19302.2,11416.4,33929.5,38128.5,3048,6268.1,9819,1214.1
4.41,19331,11441.5,33953.2,38146,3034.8,6247.3,9791.3,1197.3
4.51,19348.2,11457,33968.1,38153.4,3022.4,6229.1,9779.9,1188.6
4.60,19359.5,11465.8,33980.1,38155.7,3010.1,6196.7,9779.7,1184.5
4.71,19362.2,11459.5,33995.9,38165,2998,6178.5,9787.7,1182.4
4.80,19351.6,11434.3,34024.2,38192,2985.7,6156,9797.8,1177.8
4.91,19326.2,11401.9,34072.3,38236.8,2951.5,6132.6,9794.8,1165.5
5.00,19294,11367.6,34127.3,38303.3,2929,6106.3,9778.3,1149.6
5.10,19261.4,11332.7,34189.6,38382.2,2906.5,6082.4,9763.6,1137
5.21,19223.7,11298.1,34232.9,38443.6,2886.6,6059.6,9762,1134.5
