Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,6490.3,914.6,2483.1,4801,16124.3,21417.1,50029.7,23265.1
0.11,6365.1,857,2299.6,4607,16461.5,21564.9,50078.1,23339
0.20,6324,837,2255.3,4539.9,16485.6,21564.9,50134.1,23359.3
0.30,6298.2,824.4,2244.3,4498.5,16485.6,21556.1,50212.8,23371.2
0.40,6282.2,814.4,2234.9,4482.7,16463.5,21427.5,50301.8,23371.2
0.51,6255.5,799.9,2223.5,4453.4,16415.2,21368.5,50422,23394.4
0.61,6237.7,789,2204.2,4440.4,16374.4,21335.6,50532.3,23436.6
0.71,6214.5,772.9,2178.6,4419,16342.2,21309.2,50646.1,23489.2
0.81,6182.2,736.6,2157.7,4396.8,16303.3,21273.9,50774.2,23542.5
0.90,6148.6,723,2143,4379.5,16256.5,21227.9,50913.8,23596.9
1.02,6122.2,714.5,2134.1,4368.5,16204,21136.7,51045.6,23644.9
1.11,6104.9,708.6,2130.8,4360.7,16105.6,21095.8,51159.7,23690.3
1.21,6095.7,701.3,2128.2,4357.3,16061.5,21063.5,51259.6,23732.2
1.31,6086.9,691.8,2120.3,4352.4,16021.5,21046,51455.1,23773.4
1.42,6072.7,680.2,2106.4,4342,15994.5,21046,51570.3,23821.5
1.50,6072.7,680.2,2106.4,4342,15994.5,21046,51570.3,23821.5
1.61,6027.2,649.3,2010.2,4300.1,15995.3,21091.5,51659.7,23980.2
1.74,5997.5,634.5,1965,4270.6,16032.1,21268.5,51659.7,24010.6
1.81,5997.5,634.5,1965,4270.6,16032.1,21268.5,51659.7,24010.6
1.90,5915.8,613.2,1877.9,4191.5,16194.4,21496.9,51500.6,24027.2
2.03,5904,611.3,1850.9,4154.3,16294.2,21585,51360,24027.4
2.10,5904,611.3,1850.9,4154.3,16294.2,21585,51360,24027.4
2.21,5904,611.3,1836.3,4128.1,16421.9,21632.6,51213.5,24013.7
2.30,5907.5,627.7,1826,4106.6,16495.2,21761.1,51017.9,23979.5
2.40,5907.5,627.7,1826,4106.6,16495.2,21761.1,51017.9,23979.5
2.51,5908.9,633.6,1820,4098.5,16538.6,21818.6,50931.6,23965.2
2.60,5905.1,640.9,1797.6,4083.5,16739,22023.1,50635.2,23881.7
2.71,5905.1,640.9,1797.6,4083.5,16739,22023.1,50635.2,23881.7
2.80,5904,640.9,1793.2,4072.8,16852.8,22121.2,50312.7,23822.9
2.91,5894.6,638.2,1782.6,4068.3,16948.5,22209.4,50217.8,23781.6
3.00,5871.1,627.9,1767.3,4059.8,17040.5,22300.1,50137.9,23757.5
3.10,5835.9,612.3,1745.7,4046.8,17222.8,22469.3,50070.1,23727.8
3.21,5794.4,592.4,1721.9,4031.9,17300.7,22536.4,50022.8,23718.2
3.33,5712.7,547.2,1678.2,4005.6,17430.5,22639.8,50005.4,23712.1
3.41,5712.7,547.2,1678.2,4005.6,17430.5,22639.8,50005.4,23712.1
3.51,5674.6,523.2,1658.6,3995.7,17496.5,22685.3,49992.3,23704.9
3.61,5635.5,498.4,1641.7,3987,17570,22736.8,49964.9,23693.4
3.71,5598,474.9,1629.3,3983,17650.5,22875,49921.2,23673.9
