Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,12815.6,6357.8,16851.8,26073.2,5700.2,9235.9,36172,11775.7
0.11,12613.5,6193.1,16907.3,26201.2,5698.3,9245.1,36378.1,11847.8
0.21,12343.9,6067.8,16856.4,26236.5,5745.5,9369.1,36568,11970
0.33,12295.8,6066.4,16782,26171.9,5811.5,9455.4,36569.9,12011
0.42,12295.8,6066.4,16782,26171.9,5811.5,9455.4,36569.9,12011
0.52,12287.3,6073.5,16715.5,26065.9,5893.9,9544.7,36513.9,12034.9
0.62,12303.7,6144.4,16618.7,25887.6,6054.6,9784.7,36268.5,12043.7
0.71,12303.7,6144.4,16618.7,25887.6,6054.6,9784.7,36268.5,12043.7
0.81,12329.7,6188.3,16588.7,25820.1,6129.7,9851.6,36111.2,12040.5
0.90,12397.2,6228.7,16569.7,25770.9,6197.7,9913.5,35956.5,12028.9
1.02,12429.3,6269.8,16560.8,25738.8,6323,9969.1,35808.3,12010.4
1.10,12461.2,6349.4,16555.3,25711,6386.2,10029.1,35660.3,11984.5
1.23,12502.6,6401.8,16548.4,25683.8,6452.4,10090.6,35495.5,11952
1.31,12551.5,6450.5,16541.4,25651,6508.7,10166.7,35311.7,11914.6
1.40,12597.9,6497.7,16542.9,25626.6,6549.8,10193.2,35145.1,11875.1
1.51,12644.7,6548.8,16549.6,25601.1,6581.1,10214.6,35008.1,11802.2
1.61,12644.7,6548.8,16549.6,25601.1,6581.1,10214.6,35008.1,11802.2
1.72,12737.4,6648.7,16562.9,25575.9,6633.8,10249,34777.6,11735.2
1.81,12777.4,6693.5,16567.5,25567.1,6656.8,10268.9,34576.7,11704.5
1.90,12816.9,6737.3,16571.6,25559,6679,10296.9,34485.1,11675.3
2.01,12856.4,6779.1,16576.1,25548.9,6705.7,10296.9,34409.8,11650.2
2.11,12890.6,6813.7,16584.5,25541.9,6705.7,10294.9,34351.6,11627.3
2.21,12916.9,6837.2,16596.7,25546.6,6705.7,10284.4,34304.8,11604.6
2.31,12916.9,6837.2,16596.7,25546.6,6705.7,10284.4,34304.8,11604.6
2.40,12955.2,6864.4,16660.1,25578.3,6694.8,10258.5,34226.1,11563.7
2.51,12969.1,6871.9,16686.1,25599.1,6687.5,10248.3,34187.4,11544.9
2.61,12976.4,6873.7,16713,25624.2,6681.7,10225.9,34160.1,11528.4
