Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,5518.7,870.1,10075,11955.9,1377.6,4278.9,8685,7518.2
0.18,5537.4,865.8,10394,12255.3,1326.3,4174.3,8524.7,7259.7
0.20,5537.4,865.8,10394,12255.3,1326.3,4174.3,8524.7,7259.7
0.32,5527.4,844.9,10515.5,12367.9,1293.6,4097.2,8524.7,7222.3
0.49,5423.4,759,10680.2,12536.2,1183.4,3917.8,8596,7243.3
0.50,5423.4,759,10680.2,12536.2,1183.4,3917.8,8596,7243.3
0.60,5351.3,678.7,10706.1,12575.5,1159.3,3900.9,8688.9,7312.1
0.71,5289.5,656.9,10688.4,12579.5,1151.4,3900.9,8780.4,7407.7
0.89,5196.6,632,10543.6,12550.3,1155.7,3934.3,8898,7656
0.90,5196.6,632,10543.6,12550.3,1155.7,3934.3,8898,7656
1.01,5163,627.8,10434.7,12495.8,1162.9,3959.5,8960.9,7758.1
1.20,5102.2,618.1,10216.3,12332.3,1186.5,4073.6,9098.7,7970.1
1.30,5074.2,615.3,10113.8,12248.5,1205,4145.7,9153.8,8059.5
1.41,5055,613.8,10014.3,12092.9,1246.5,4229.7,9225.9,8144.1
1.60,4981.2,593.1,9798.4,11920.4,1281,4335.5,9371.4,8354
1.70,4970.7,589.3,9591.2,11807.8,1297.2,4365.5,9442.2,8448.5
1.83,4983.2,597.4,9501.9,11703.3,1319.4,4446.1,9495.5,8507.7
1.91,5017.1,620,9424.6,11610.4,1346.4,4497.2,9512.3,8544.4
2.01,5066.2,653.3,9355.6,11523.6,1375,4553.3,9502.2,8573.4
2.12,5116.8,685.2,9303.5,11456,1402,4615.3,9472.9,8580.1
2.23,5164.7,735.8,9251.2,11399.1,1429.5,4678,9425.7,8572.2
2.31,5203.3,757.4,9222.3,11344.6,1459.9,4731.1,9369.8,8525.8
2.44,5248.2,774.5,9200.8,11302.2,1501.6,4778.9,9313.7,8508
2.54,5282.4,789.2,9174.8,11263.9,1520.7,4879.8,9251.7,8481.9
2.61,5312.3,800.7,9148.5,11225.9,1541.8,4932.6,9199.9,8459.4
2.70,5335.5,808.6,9124.2,11190.6,1564,4982.2,9147.9,8448.1
2.83,5348.9,811.1,9069,11155.1,1577.9,5015.9,9112.5,8452.2
2.90,5348.9,811.1,9069,11155.1,1577.9,5015.9,9112.5,8452.2
3.01,5349.2,802.2,9022.1,11095.6,1599.7,5064.8,9119.8,8488.5
3.15,5338.2,795.6,8992,11075.7,1614.2,5177.1,9127.4,8499.1
3.20,5338.2,795.6,8992,11075.7,1614.2,5177.1,9127.4,8499.1
3.32,5351,820.1,8910.5,11016.3,1663.8,5262.8,9065.1,8493.4
3.45,5385.2,840.2,8889,10976,1697.6,5273.8,9039.4,8480.8
3.52,5385.2,840.2,8889,10976,1697.6,5273.8,9039.4,8480.8
3.60,5404.9,850,8875.6,10949.4,1700.1,5273.8,9030.1,8474.2
3.71,5411.5,847.6,8874.8,10921.2,1698.5,5248.8,9034.6,8474.8
3.81,5411.5,847.6,8874.8,10921.2,1698.5,5248.8,9034.6,8474.8
3.90,5405.8,835.6,8884.2,10931.6,1686.3,5148.6,9062.8,8505.8
4.02,5356.9,797.3,8947.3,10956.2,1644.9,5002.5,9193.4,8576.9
4.10,5356.9,797.3,8947.3,10956.2,1644.9,5002.5,9193.4,8576.9
4.21,5334.4,776.5,8978.5,10977,1633.1,4943.3,9245.8,8597.8
4.30,5303.5,749.4,9020.7,11012.7,1613.6,4863.5,9297.4,8627.3
4.47,5221.4,695.3,9120.4,11093.1,1514.3,4608.6,9528.6,8694
4.51,5221.4,695.3,9120.4,11093.1,1514.3,4608.6,9528.6,8694
4.60,5185.2,670.9,9169.4,11137.2,1480.7,4531.6,9603.2,8726.7
4.74,5108.5,618.6,9242,11205.1,1425.2,4406.7,9769.6,8810.3
4.81,5108.5,618.6,9242,11205.1,1425.2,4406.7,9769.6,8810.3
4.91,5027.5,592.9,9257.6,11217.6,1401.3,4351.2,9850.9,8863.5
