Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,8067.4,3936.7,3815.7,6738.2,4411.1,7891.1,5715.6,4256.1
0.20,7939.3,3843.2,3538.4,6564.5,3993.3,7344.3,5358.1,3929.8
0.31,7850,3719,3473.7,6525.8,3810.3,7005.8,5306.2,3812
0.44,7756.8,3670.3,3376.3,6460.8,3574,6897.8,5208,3666.9
0.61,7605.7,3602.6,3097.4,6216.3,3424.5,6736.6,4870,3293.4
0.73,7543.3,3578.1,2918.6,6048,3365,6664.2,4661.8,3091.3
0.90,7419.8,3497.6,2574.2,5687.4,3236.4,6419.5,4326.2,2757.5
1.03,7335.3,3432,2438.9,5538.8,3165.9,6359.1,4183.6,2612.8
1.14,7227.1,3341.6,2336.7,5424.3,3106,6328.2,4051.1,2479.9
1.34,6986.1,3159.8,2199.7,5276.6,3051.9,6340.5,3833.3,2278.9
1.41,6919,3126.8,2213.7,5252.4,3072.2,6392.6,3815.4,2265.9
1.61,6834.1,3074.7,2290.9,5289.5,3113.2,6508.8,3902.8,2426.4
1.70,6789.8,3047.9,2290.9,5321.1,3137.7,6546.8,3911.3,2454.2
1.83,6747.5,3022.9,2279.9,5321.1,3171.8,6591.2,3911.3,2454.2
1.94,6721,3022.9,2225.5,5304.1,3203.5,6633.3,3854.4,2414.5
2.01,6721,3052.4,2167.9,5264.8,3246.4,6687.9,3753.2,2333.5
2.17,6851.4,3166.4,2149.7,5235.7,3332.2,6791.8,3643.3,2266.2
2.27,7076.7,3405.7,2149.7,5250.2,3491.9,7226.3,3537.6,2210
2.30,7076.7,3405.7,2149.7,5250.2,3491.9,7226.3,3537.6,2210
2.47,7543,3958.5,2230.8,5318.5,4125,7730.8,3366.3,2146.9
2.58,7788.6,4248.6,2231,5330.3,4356,8009.7,3287.2,2125.3
2.61,7788.6,4248.6,2231,5330.3,4356,8009.7,3287.2,2125.3
2.80,8299.9,4859.3,2161.8,5287.9,4898.2,8638,3085.7,2000.3
2.90,8569.6,5219.9,2102.3,5246,5217.8,8970.5,2964.4,1907.4
3.06,9074.5,5997.6,1972,5130.7,5972,10010.2,2543.4,1467.8
3.17,9320.5,6365.5,1904.4,5077.8,6377.2,10354.2,2403.6,1309.7
3.20,9320.5,6365.5,1904.4,5077.8,6377.2,10354.2,2403.6,1309.7
3.32,9573.2,6719.3,1863.8,5045.4,6783.7,10675.7,2280.1,1164.7
3.49,10065.9,7646.8,1949.6,5063.3,7713.6,11244.3,2181.8,984.4
3.50,10065.9,7646.8,1949.6,5063.3,7713.6,11244.3,2181.8,984.4
3.61,10300.3,7911.4,2007.8,5123.9,7945.6,11607,2162.6,953.7
3.79,10637.9,8142.3,2100.2,5253.2,8102.8,11665.5,2180.6,942.1
3.81,10637.9,8142.3,2100.2,5253.2,8102.8,11665.5,2180.6,942.1
3.93,10637.9,8142.3,2124.7,5331.3,8096.5,11664.2,2202.7,978.5
4.01,10617.6,8072.5,2186.8,5379.3,8058.9,11604.7,2304.9,1047.8
4.13,10537.7,7971.7,2255.8,5453.2,7993.8,11497.5,2435.7,1143.2
4.21,10440.6,7824.9,2364.2,5523.5,7885.9,11338.5,2574.1,1235.6
4.31,10332.4,7648.4,2522.8,5629.4,7741.9,10976,2743.3,1354.1
4.42,10218.5,7445.8,2689.7,5758.8,7583.5,10759.6,2930.8,1505.9
4.50,10086.4,7201.8,2883.8,5907.1,7124.7,10531,3148.4,1709.8
4.68,9948.3,6936.2,3299.1,6247.4,6869.1,10340.7,3539.7,2154.6
4.76,9843.7,6702.7,3481.6,6401.4,6630.8,10198.6,3673.7,2333.3
4.94,9710,6175,3764.8,6684.4,6192.2,9852.1,3938.9,2696.2
5.04,9626.9,6007,3891.9,6819.7,6003.4,9722.8,4101.6,2906.1
5.14,9531.8,5841.2,4022.8,6946.6,5817,9587.1,4275.1,3113.8
5.26,9441.7,5681.3,4147.5,7075.2,5623.6,9453.8,4447.1,3320.6
5.32,9349.3,5500.3,4286.4,7207.5,5438,9360,4648,3531.2
5.47,9138.2,5340,4384.8,7325.7,5313.3,9264.1,4818.3,3717
5.54,9062.5,5237.4,4431.6,7387.2,5157.1,9221.2,4942.3,3826.7
5.63,8995.5,5150.5,4477.1,7450.6,5112.7,9196.9,5035.6,3928.2
5.76,8943.7,5086.7,4494.3,7485.8,5091.7,9204.5,5101.5,4001
5.88,8934.4,5075.8,4452.7,7486.9,5095.2,9224.5,5141.2,4055.4
5.91,8934.4,5075.8,4452.7,7486.9,5095.2,9224.5,5141.2,4055.4
6.08,8964.1,5101,4375.4,7412.8,5107.9,9295.4,5133,4094.1
6.16,8990.9,5116.1,4322.4,7364.6,5139.6,9354.4,5054.8,4079.6
6.20,8990.9,5116.1,4322.4,7364.6,5139.6,9354.4,5054.8,4079.6
6.31,9025.7,5144.9,4266.3,7315.1,5176.7,9389.6,5006.2,4060.2
6.47,9041.5,5111.3,4238.7,7240.5,5154.3,9358.1,5057.3,4129.6
6.51,9041.5,5111.3,4238.7,7240.5,5154.3,9358.1,5057.3,4129.6
6.61,9026.5,5111.3,4250.4,7246.9,5131.2,9356.8,5076.1,4153.6
6.70,9026.5,5114,4246.4,7246.9,5137.6,9376.1,5076.1,4153.6
6.81,9052.5,5161.9,4226,7246.8,5166.2,9407.9,5041.1,4123.2
6.92,9097.8,5213.5,4142,7178.5,5201,9452.8,4984.3,4071.1
7.10,9157.4,5298.6,4079.5,7127.6,5291.1,9620.6,4857.2,3966
7.20,9189.1,5332.8,4065.2,7111.1,5322.8,9657.1,4789.5,3912
7.33,9213.3,5360.4,4051,7100,5342.8,9683.7,4743.6,3874.5
7.42,9239,5395.8,4043.6,7074,5360,9696.8,4698.4,3838.6
7.51,9286.9,5436.9,4032.7,7051.1,5373.8,9705.2,4640.3,3790.5
7.61,9355.7,5493.2,4014.9,7014.4,5418.1,9741,4570.6,3660.8
7.83,9508.6,5612.2,3977.6,6939.1,5447.7,9743.1,4398.1,3568.6
7.92,9558.7,5658.3,3965.1,6914,5449.5,9743.2,4374,3542.6
8.01,9593,5694.2,3948.7,6900,5453.6,9749.3,4365.7,3530.6
8.12,9613.3,5710.7,3931.7,6887.2,5463.1,9756.3,4359.2,3522
8.22,9636.3,5727.5,3916.3,6863.7,5473.2,9759.3,4349.6,3511.4
8.31,9665.4,5727.5,3914.6,6839,5479.8,9755.1,4346.6,3507.3
8.42,9684.7,5703.2,3925.7,6828.3,5479.8,9754.6,4356.7,3516.9
8.51,9678.7,5680,3938,6836,5478.9,9752,4369.3,3529.1
8.62,9655.1,5652.7,3952,6853,5477.1,9749.3,4384,3541.5
8.71,9637.7,5645.9,3955.9,6866.7,5481.5,9750.7,4396.2,3549
8.83,9665.3,5666.8,3943.8,6861,5495.5,9760.5,4391.4,3540.9
8.90,9704.6,5703.4,3916.3,6838.9,5519.3,9792.8,4373,3521
9.03,9751.8,5748.3,3881.8,6803.1,5540.4,9796.4,4339.5,3490.1
9.21,9806.2,5804.4,3827.2,6720.8,5555.2,9793.3,4300.5,3445.6
9.34,9804.7,5812.4,3825.7,6714.7,5557.5,9787.2,4318.9,3462.8
9.44,9775.3,5795.3,3833.1,6723.8,5552.9,9777.2,4334.4,3477.6
9.51,9775.3,5795.3,3833.1,6723.8,5552.9,9777.2,4334.4,3477.6
9.61,9742.1,5767.7,3841.8,6736.1,5546.3,9761.5,4347.5,3491.6
9.72,9753.6,5788,3840.4,6736.1,5549.6,9763.6,4335.8,3478.1
9.81,9753.6,5788,3840.4,6736.1,5549.6,9763.6,4335.8,3478.1
9.93,9800.9,5836.5,3825.2,6716.5,5552.7,9768.5,4299.8,3447.1
10.04,9820.8,5855.4,3812.7,6704.4,5552.1,9768.7,4289.8,3437.6
10.11,9820.8,5855.4,3812.7,6704.4,5552.1,9768.7,4289.8,3437.6
10.20,9832.4,5869.5,3802.3,6696.2,5550.5,9771.6,4289,3436.5
10.32,9853.5,5901.2,3753.3,6667.8,5555.1,9803.8,4291.9,3441.1
10.40,9853.5,5901.2,3753.3,6667.8,5555.1,9803.8,4291.9,3441.1
10.51,9868,5916,3740.3,6647.8,5563.9,9814.5,4287.5,3441.5
10.63,9856.3,5903.4,3728.5,6629.7,5579.7,9825.7,4297.5,3478.1
10.71,9856.3,5903.4,3728.5,6629.7,5579.7,9825.7,4297.5,3478.1
10.80,9842.1,5892,3725.9,6626.1,5579.9,9825.7,4327.3,3495.3
10.91,9829.6,5881.2,3723.6,6623,5579.2,9823.2,4340.1,3509.6
11.01,9823.3,5877.1,3717.2,6616.9,5584.6,9831.7,4339,3511.8
11.10,9829.1,5885.6,3702.6,6602.5,5597.5,9844.6,4320.6,3498.5
11.20,9846.6,5929.1,3686.1,6585.3,5608.7,9852.4,4299.1,3483.5
11.30,9870,5943.2,3668.8,6562.2,5615.1,9850.7,4289.4,3475.5
11.40,9882.1,5950.1,3645.6,6545,5616.4,9845.9,4293.6,3478.8
11.51,9892.2,5952.9,3638.7,6518.5,5617.5,9845.9,4300.1,3484.9
11.62,9896.4,5953.4,3630.6,6507.7,5619.1,9856,4301.6,3488.7
11.70,9895.3,5952.1,3619.7,6497.7,5634.6,9869.6,4301.6,3489.1
11.80,9889.5,5948,3614,6497.2,5639.7,9877.8,4302.8,3493.3
