Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,6517.3,1652.7,10906.8,10959.3,1585.3,5430.3,6991.4,5606.6
0.11,6550.9,1686.2,10945.9,10979.1,1588,5434.6,6894.9,5526.5
0.22,6672.6,1847.2,11077.5,11056,1580.6,5437,6529.9,5298.2
0.31,6672.6,1847.2,11077.5,11056,1580.6,5437,6529.9,5298.2
0.41,6745.5,1892.7,11125.3,11111.1,1572.8,5440,6407.7,5177
0.52,6834.2,1942.3,11181.5,11183.2,1570,5486.5,6291.4,5060
0.60,6834.2,1942.3,11181.5,11183.2,1570,5486.5,6291.4,5060
0.70,6846.6,1955.6,11173.4,11201.9,1581,5533.7,6266.5,5034.5
0.81,6851.8,1972.6,11141.3,11188,1600.8,5550.7,6245.2,5026.3
0.91,6868.4,2011.3,11105.3,11165.1,1608.7,5566.7,6232.6,5024.9
1.01,6907.4,2050.8,11053.3,11132.7,1614.8,5579.3,6217.8,5023
1.11,6999.8,2109.3,10938.5,11095.5,1617.6,5587.3,6193.3,4990.8
1.20,7065.8,2185.1,10891.4,11063.6,1619.9,5593.3,6154.8,4953.6
1.30,7128.4,2254.5,10864.5,11042,1622,5595.8,6107,4908.7
1.41,7171.7,2314.5,10858.8,11038.2,1619.5,5593,6057.3,4865.9
1.51,7188.7,2352.9,10876.2,11053.2,1614.1,5589.3,6015.1,4831.1
1.61,7191.6,2370.3,10907,11082.4,1609,5584.7,5984.9,4811.8
1.71,7187.9,2375.6,10931.1,11113.2,1604,5580.6,5964.8,4805.8
1.80,7176.1,2374,10944.2,11134.7,1594.9,5576.9,5964.7,4806.4
1.91,7157.8,2367.8,10957.3,11151,1593.2,5574.9,5962.2,4808.6
2.01,7138.4,2367.3,10974.7,11170.9,1591.6,5572.7,5950.7,4803.5
2.12,7131.9,2383.6,10985.2,11192.3,1588.4,5575.4,5931.5,4788.4
2.21,7150,2422.7,10934.2,11203.1,1587.7,5581.2,5908.8,4770.6
2.31,7197.3,2481.1,10877.3,11158.6,1589.7,5586.3,5886.6,4754.3
2.42,7260.8,2533.4,10828.5,11122.9,1592.8,5592.2,5872.6,4742.7
2.50,7302.6,2569,10784.4,11086.9,1595.9,5599.1,5863.7,4739
2.61,7332.9,2584.3,10774.2,11066.8,1597.3,5609.1,5864.1,4754.7
2.71,7334.7,2570.8,10785.4,11061.6,1598.7,5613.5,5873.9,4773.3
2.81,7314.2,2543.9,10793.1,11059.8,1597.6,5619.9,5892,4797.5
2.94,7284.5,2518.2,10791.1,11054.5,1596.9,5626.8,5914,4826.2
3.02,7284.5,2518.2,10791.1,11054.5,1596.9,5626.8,5914,4826.2
3.11,7235.3,2480.6,10770.8,11041.8,1603.6,5644.1,5952.2,4870.6
3.22,7221.7,2478.4,10745.9,11025.8,1605.6,5655,5969.2,4886.1
3.31,7221.7,2478.4,10745.9,11025.8,1605.6,5655,5969.2,4886.1
3.40,7251,2528.8,10670.8,10983.6,1615.6,5689.1,5950.3,4892
3.51,7272,2550,10648.7,10963.5,1622.4,5700.7,5932.9,4882.9
3.60,7272,2550,10648.7,10963.5,1622.4,5700.7,5932.9,4882.9
3.70,7294.5,2570.5,10623.7,10947,1627.1,5710.9,5918.6,4873.7
3.82,7330.4,2599.2,10598.7,10918.3,1636.7,5720,5910.8,4871.5
3.90,7330.4,2599.2,10598.7,10918.3,1636.7,5720,5910.8,4871.5
4.00,7342.2,2601.3,10597.7,10913.3,1637.8,5718.9,5913.3,4875.6
4.11,7321,2572.9,10626.7,10920.4,1634.9,5711.6,5923.6,4886.4
4.21,7321,2572.9,10626.7,10920.4,1634.9,5711.6,5923.6,4886.4
4.31,7299.7,2556.5,10648.2,10936.7,1632.9,5708,5927,4887.9
4.40,7266.5,2547.4,10662.5,10953.7,1631.7,5703.8,5931.3,4889.7
4.51,7249.7,2540.9,10691.9,10964.4,1631.5,5697.4,5937.7,4892.7
4.60,7224.1,2528.8,10715.3,10992.2,1631.7,5689,5943.6,4895.4
4.71,7204.2,2514.7,10729.9,11003.7,1629.7,5671.9,5947.5,4895.4
4.81,7184.5,2502.1,10744.5,11015.9,1626.5,5662.9,5968.4,4903.2
4.90,7166.7,2487.8,10760.5,11028.6,1624,5651.8,5978.7,4909.2
5.01,7150.7,2459,10779,11040.6,1619.9,5639.3,5986.8,4911.9
5.10,7131.9,2439.6,10801.3,11055.5,1612.7,5626.4,5999.1,4913.4
5.21,7104.9,2411.2,10832.6,11076.2,1605.8,5612.4,6018.9,4920.7
5.31,7069,2378.3,10873.2,11103.9,1598.9,5583.1,6041.2,4933
5.40,7030,2346.3,10907.9,11129.1,1592,5568.4,6062.3,4946.1
5.51,6994.2,2316.3,10942.4,11152.6,1586.7,5554.7,6081.8,4958.9
5.61,6961.8,2291,11001.5,11175.1,1581.6,5542.8,6095.1,4972.9
5.71,6938.9,2275.8,11020.8,11192.9,1576.8,5532.5,6104.8,4975.7
5.81,6930.6,2272.6,11021.6,11202.1,1571.5,5523.2,6112.4,4980.8
5.91,6929.7,2272.6,11017.1,11199.5,1567.5,5515.3,6124.9,4994.6
6.00,6926.7,2272.5,11012.9,11194.1,1568.4,5500.1,6140.8,5004.6
6.10,6922.4,2271.1,11011.8,11192.9,1568.2,5491.7,6153.8,5008.2
6.21,6918.3,2269.8,11023.9,11198.5,1563.9,5483.1,6158.1,5000.5
6.30,6918.3,2269.8,11023.9,11198.5,1563.9,5483.1,6158.1,5000.5
6.41,6908.8,2259.4,11089.8,11232.8,1553.5,5450.5,6139.7,4964.9
6.51,6895.7,2234.5,11140.4,11269.6,1543,5428.2,6135.3,4948.2
6.60,6895.7,2234.5,11140.4,11269.6,1543,5428.2,6135.3,4948.2
6.71,6868.5,2210.6,11238.2,11330.2,1525.4,5372.7,6149,4933.8
6.81,6851.2,2200.7,11260.5,11353.1,1518.4,5359.5,6160.2,4936.9
6.90,6851.2,2200.7,11260.5,11353.1,1518.4,5359.5,6160.2,4936.9
7.00,6835.1,2187.8,11286.1,11391.6,1506.3,5347.4,6170.2,4941.8
7.11,6794.2,2153.4,11330,11422.6,1501.6,5330.4,6187.2,4955.3
7.21,6794.2,2153.4,11330,11422.6,1501.6,5330.4,6187.2,4955.3
7.30,6773.1,2136.7,11348.5,11436.6,1499.6,5324.5,6194.3,4963.4
7.41,6723.7,2096.1,11394.2,11468.8,1497.3,5310.4,6213.2,4980.1
7.50,6723.7,2096.1,11394.2,11468.8,1497.3,5310.4,6213.2,4980.1
7.60,6695.1,2068.6,11433.8,11491.4,1493.7,5306.1,6217.2,4982.4
7.71,6630.1,2042,11474.8,11521.7,1488.8,5304.9,6217,4976.2
7.80,6601.9,2020.4,11505.9,11546.7,1485.2,5304.6,6205.1,4971.1
7.91,6577.3,2004,11523.2,11564,1485.2,5307.4,6205.3,4971.4
8.00,6557.4,1992.8,11524.6,11567.8,1484.2,5327.9,6211.7,4979
8.11,6542.3,1976.7,11518.5,11574.2,1490,5340.6,6217.6,4990.6
8.20,6529.4,1968.4,11516.7,11572,1496.2,5350.9,6219.1,5000.2
8.31,6519,1960.2,11518.6,11571.2,1501.4,5356.8,6217.2,5000.2
8.41,6512.7,1953.3,11529.1,11572.9,1504.7,5359.1,6207.8,4998.8
8.50,6506.1,1947.2,11547.7,11581.7,1507.3,5359.1,6192.9,4987.9
8.61,6497.3,1943.1,11566.7,11595,1507.9,5358.6,6176.1,4971.5
8.70,6492.8,1941.1,11588.2,11609.3,1508,5352.2,6158.8,4930.7
8.81,6486,1934.5,11619.4,11627.9,1508.1,5348.4,6141.7,4909.4
8.92,6480.3,1926.9,11651.5,11647.3,1508.8,5343.9,6126.4,4889.6
9.02,6479.2,1923.1,11696.7,11665.3,1506,5341.1,6111.5,4872.1
9.11,6484.3,1924.6,11701.5,11675.2,1507,5341.1,6097.5,4859.6
9.21,6491,1929.7,11699.9,11673.9,1508.8,5342.7,6088.4,4854.3
9.31,6495.7,1932.9,11706,11676.4,1509.9,5342.6,6080.4,4851.2
9.40,6492.1,1929.6,11725.1,11689.4,1506.4,5340.1,6075.2,4845.1
9.50,6492.1,1929.6,11725.1,11689.4,1506.4,5340.1,6075.2,4845.1
9.60,6464.1,1889.1,11796.4,11742.2,1499.6,5328.7,6049,4813.4
9.70,6445.6,1865,11849.8,11788.1,1495.9,5321.4,6021.5,4788.8
9.82,6414.1,1844.2,11944.6,11859.9,1490,5315.1,5972.6,4745.1
9.90,6414.1,1844.2,11944.6,11859.9,1490,5315.1,5972.6,4745.1
10.00,6386.9,1849.8,12039.5,11925.8,1487.4,5345.2,5889.8,4668.9
10.11,6394.1,1867.7,12000.5,11920.8,1489.2,5364,5860,4649.1
10.21,6394.1,1867.7,12000.5,11920.8,1489.2,5364,5860,4649.1
10.31,6438.6,1937.2,11896.6,11878.7,1495.5,5397.4,5833.8,4658.8
