Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,5904.1,1513.9,5316.3,8330.5,4159.6,7815.7,8843.6,7729
0.11,5957.8,1555.8,4995.1,7958.6,4302.4,7929.8,8843.6,7949.8
0.21,6012.4,1593.9,4713.5,7624.3,4402.2,8008.4,8927.7,8116.9
0.32,6054.6,1625.8,4490.9,7340.8,4477.4,8049.7,9056.2,8274
0.42,6093.3,1685.1,4338.2,7121.7,4526.4,8059.1,9164.8,8390.8
0.52,6130.1,1705.2,4245.4,6971.5,4551.1,8065.6,9235,8498.3
0.60,6157.8,1720.7,4185.3,6874.1,4553.8,8059.9,9287.6,8581.8
0.72,6176.6,1737,4129.3,6803.7,4547.3,8061.2,9331.5,8652.3
0.82,6196,1744.5,4072.6,6742.2,4549,8073.8,9372.2,8721.4
0.90,6199.5,1742.7,4019,6680.6,4553.7,8091.1,9420.6,8799.9
1.01,6186.7,1730.8,3932.7,6630.1,4552.3,8100.6,9477.3,8884.6
1.12,6158.2,1709.2,3894.4,6592,4540.3,8101.6,9543.4,8974.9
1.22,6117.6,1681,3861.2,6562.1,4521.1,8098.7,9619,9070.7
1.30,6066,1648.4,3839.3,6538.9,4502.6,8080.2,9704.3,9171
1.43,6005.2,1619.1,3829.8,6523.8,4481.4,8059.3,9783,9260.5
1.53,5951.7,1597,3832,6520.6,4421.6,8029.9,9905.6,9329.4
1.60,5912.6,1580,3847.2,6541.6,4387,8007.1,9962.8,9415.1
1.70,5860.8,1560.9,3860.1,6563.5,4353,7982.2,10012.2,9457.6
1.82,5839.4,1552,3877.1,6587.4,4319.7,7952.4,10058.7,9494.6
1.92,5839.4,1552,3877.1,6587.4,4319.7,7952.4,10058.7,9494.6
2.00,5807.4,1534.6,3894.3,6610.4,4253.8,7837.1,10157.3,9574.7
2.12,5785.3,1521.8,3903.7,6621.8,4224.3,7798.4,10207.2,9619.8
2.21,5785.3,1521.8,3903.7,6621.8,4224.3,7798.4,10207.2,9619.8
2.30,5714.1,1472.8,3942.3,6655.2,4143.9,7669.2,10363.3,9735.7
2.43,5663.9,1434.7,3974.9,6685.2,4093,7599.2,10466.1,9809.5
2.50,5663.9,1434.7,3974.9,6685.2,4093,7599.2,10466.1,9809.5
2.62,5605.5,1388.6,4012.5,6723.3,3993.9,7541.8,10562.7,9883.4
2.73,5527.8,1316.1,4104.2,6812.5,3885.1,7348.6,10705.7,9983.1
2.80,5527.8,1316.1,4104.2,6812.5,3885.1,7348.6,10705.7,9983.1
2.91,5508.1,1298.1,4158.3,6865.9,3820,7270.6,10776.7,10024
3.00,5495.8,1289.7,4214,6923.3,3739.3,7186.3,10876.3,10050.6
3.11,5486.4,1283.2,4279.3,6992.6,3670.5,7124.3,10892.6,10056.4
3.21,5482.9,1277.2,4349.6,7061.9,3623,7091.3,10892.6,10056.3
3.32,5482.8,1273.4,4434.1,7103.9,3598.6,7074.2,10889.9,10041.7
3.40,5480.5,1268.8,4476,7142.6,3586.8,7077.5,10878.3,10029.9
3.52,5477.3,1255.9,4514.2,7182.7,3579.1,7064.4,10864.5,10012.9
3.61,5477.3,1246,4563.4,7218.3,3531,7037,10861.6,9999.4
3.71,5479.7,1223.6,4626.4,7258.1,3495.6,6990.4,10866.4,9989.9
3.80,5478.9,1203,4669.4,7295.6,3456.8,6930.7,10879,10003.5
3.92,5479.4,1185.7,4681.9,7302.6,3422.6,6886.2,10923.6,10024.1
4.01,5483,1173.9,4681.9,7285.2,3391.2,6779.4,10982.1,10065
4.11,5485.3,1166.4,4671.1,7254.4,3349.9,6706.5,11050.9,10118.8
4.21,5486.9,1162.6,4650.3,7223.2,3294.1,6627.9,11144.7,10183.4
4.31,5489.5,1160.8,4629.3,7204.2,3241.9,6546,11283,10274.4
4.41,5489.5,1152,4609.4,7195.5,3188.3,6483.8,11440.8,10372.5
4.53,5480.9,1130.7,4618.2,7199.1,3150.6,6433.3,11704.5,10451.4
4.60,5458.1,1098.3,4622,7207.4,3109.7,6376.4,11833.2,10602.1
4.71,5421.2,1058.4,4616.9,7204.2,3078,6210.5,11977.9,10696.4
4.83,5383.5,1026.5,4605.4,7190.6,3033.1,6102.4,12129.3,10792.2
4.90,5351.1,998.9,4607.7,7177,2980.7,6006.2,12277.7,10886.3
5.00,5296.1,963.8,4596.7,7161.4,2929.8,5947.6,12409.9,10976
5.12,5279,954.5,4560.8,7127.8,2904,5924.6,12527.6,11070.2
5.21,5279,954.5,4560.8,7127.8,2904,5924.6,12527.6,11070.2
5.30,5251.2,950.9,4449.7,7013.4,2897.5,5924.4,12688.3,11232.3
5.43,5239.1,959.7,4380.8,6943,2904,5924.4,12738.6,11288.4
5.53,5239.1,959.7,4380.8,6943,2904,5924.4,12738.6,11288.4
5.60,5221.3,983.1,4258.4,6843.6,2910.3,5937.3,12787.9,11363.5
5.73,5219.5,992.8,4240.4,6824.7,2925.2,5964,12799.1,11383.5
5.80,5219.5,992.8,4240.4,6824.7,2925.2,5964,12799.1,11383.5
5.90,5219.5,1003,4229.7,6816.6,2947.4,6000.3,12779.5,11381.6
6.01,5244.8,1033.6,4186.7,6806.8,3011.6,6167.9,12612,11314.2
6.12,5244.8,1033.6,4186.7,6806.8,3011.6,6167.9,12612,11314.2
6.21,5271.1,1057.8,4142.8,6789.8,3060,6259.8,12530,11243.2
6.32,5336.7,1114.3,4027,6652,3172.8,6439,12371.1,11190.1
6.41,5336.7,1114.3,4027,6652,3172.8,6439,12371.1,11190.1
6.50,5360.3,1132.8,3977.5,6603.7,3224,6503.1,12311.2,11172.3
6.60,5377.2,1153.7,3943.2,6576,3261.3,6541.4,12257.5,11153.5
6.71,5387.3,1154.6,3938.7,6576,3283.9,6556.9,12210.6,11130.4
6.82,5388.8,1154.6,3966.1,6579.6,3283.9,6553,12171.9,11099.9
6.91,5388.5,1148.6,4016.8,6612.9,3276.2,6533.9,12136.4,11059.9
7.00,5381.5,1137.3,4089.3,6672.8,3257.9,6501.9,12105,11016
7.11,5370.3,1126.8,4164.1,6744,3235.6,6471.9,12074.1,10970.8
7.20,5362.5,1120,4228.2,6805,3219.5,6449.4,12041.1,10926.1
7.31,5358.9,1115.2,4280.7,6852.8,3213.5,6436.4,12001.6,10882.8
7.41,5358.6,1111.9,4322.1,6893.2,3213.1,6435.1,11957.2,10839.7
7.52,5360.1,1111.2,4348,6921.7,3216.6,6434.3,11917.9,10803.3
7.61,5362.8,1111.2,4365.2,6940.2,3219.6,6421.2,11886.3,10782.7
7.70,5362.3,1108.7,4378.9,6955.8,3202.7,6400.3,11892.5,10785.5
7.81,5354.6,1101.1,4387.7,6968.9,3183.5,6381.8,11923.6,10806.1
7.90,5338.4,1090.1,4388.4,6977.4,3170.2,6370.3,11964.8,10836.4
8.01,5317.7,1082.1,4385.4,6981.1,3166.5,6369.9,11989.3,10862.4
8.11,5303.9,1079.4,4377.1,6981.1,3166.5,6383.6,11990.7,10880.9
8.23,5297.7,1081,4362.6,6977.8,3173.7,6413.5,11990.7,10888.9
8.31,5291.6,1083.7,4339.5,6971.1,3191.7,6456.2,11977.2,10890.9
8.40,5291.6,1083.7,4339.5,6971.1,3191.7,6456.2,11977.2,10890.9
8.51,5283.4,1095.1,4275.6,6912,3238.4,6551.5,11934.7,10902.6
8.61,5282.6,1103.4,4232.5,6874.6,3263.5,6591.7,11922.1,10916.6
