Time,L1,L2,L3,L4,R1,R2,R3,R4
0.00,6671.8,2022,8301.8,11766.8,4461.1,7745.4,5078.4,3159.7
0.10,6753.3,2052.6,8147.9,11465.8,4351.6,7697.6,5338.1,3321.6
0.20,6850.4,2071.6,7990.9,11277.8,4308.9,7676.5,5591.9,3572.3
0.30,6887.3,2092.8,7828.7,11082.1,4299.8,7682.5,5759.8,3894.8
0.46,6928.3,2103.6,7562.3,10847.6,4304.8,7726.6,5939.3,4044
0.60,6939.4,2103.6,7484.3,10743.9,4348.6,7760.8,5980.3,4084.5
0.72,6993.3,2135.5,7363.6,10569.9,4398,7846.6,6013.6,4133.2
0.85,7020.8,2154.3,7310,10494.2,4419.9,7870.1,6025.7,4151.5
0.93,7020.8,2154.3,7310,10494.2,4419.9,7870.1,6025.7,4151.5
1.01,7047.3,2172.3,7261.9,10424.1,4441.9,7891.2,6040.4,4168.8
1.16,7127.7,2249.5,7162.2,10288.2,4479.4,7913.5,6047,4188.9
1.20,7127.7,2249.5,7162.2,10288.2,4479.4,7913.5,6047,4188.9
1.30,7168.5,2273.9,7127.9,10232.4,4486.9,7919.8,6043.3,4191.8
1.41,7240.1,2321.8,7073,10153.8,4493.4,7927.3,6040.8,4197.4
1.55,7273.9,2344.9,7021.5,10115.5,4503.2,7935.6,6038,4199.4
1.61,7273.9,2344.9,7021.5,10115.5,4503.2,7935.6,6038,4199.4
1.72,7307.3,2369.9,6988.4,10077.1,4511.4,7947.2,6033.4,4200
1.80,7340.3,2393.9,6960,10038.5,4520.5,7955.7,6026.6,4200
1.90,7369.9,2414,6930.3,10002.2,4527.4,7964.5,6017.9,4200.8
2.01,7392.4,2430,6902.1,9959.2,4532.5,7973.6,6011.2,4202.3
2.10,7419.4,2448.5,6870.8,9928,4545,8014.4,6008.5,4204.2
2.21,7445.5,2469.4,6828.1,9883,4563.3,8044.5,6001.4,4210.5
2.31,7472.5,2492.8,6781.5,9830.7,4582.1,8073.3,6001.6,4224.8
2.40,7497.2,2517.5,6734.2,9719.7,4599.1,8098.9,6004.5,4238.3
2.52,7517,2536,6688.6,9666,4614.3,8124.3,6012.2,4249.9
2.60,7530.4,2550,6646.4,9613.8,4642.7,8148.2,6028.9,4266
2.71,7541.1,2570.7,6550.8,9562.4,4654.6,8189.7,6044.4,4286.6
2.82,7548.7,2576.6,6500.5,9509.7,4662.8,8209.8,6070.7,4314.3
2.93,7552,2580.3,6450.4,9457,4670.1,8227.5,6099.7,4348.1
3.00,7552.8,2582.7,6410,9414.4,4674.4,8239.5,6126.7,4382.7
3.13,7553.2,2584.8,6375.8,9378.6,4675.4,8247.6,6153,4413.4
3.23,7550.9,2583.6,6351.3,9351.6,4675.4,8251.3,6178.5,4442
3.30,7550.9,2583.6,6351.3,9351.6,4675.4,8251.3,6178.5,4442
3.43,7526.8,2569.2,6322.3,9319.7,4670.7,8251.6,6229.8,4519
3.53,7524.8,2565.1,6300.7,9296.8,4667.3,8253,6254.1,4546.4
3.62,7524.8,2565.8,6286.9,9274.2,4660.8,8246.3,6278,4575.1
3.72,7520.7,2564.4,6276.3,9262,4648.1,8234.1,6307.5,4608.3
3.83,7512,2560.1,6259.7,9248.9,4636.2,8222.9,6345.6,4638.6
3.91,7512,2560.1,6259.7,9248.9,4636.2,8222.9,6345.6,4638.6
4.03,7477.6,2543.2,6239.2,9227.1,4626.8,8214,6405.1,4690.7
4.15,7458.5,2533.9,6228.3,9217,4620.3,8209.8,6456.2,4710.6
4.25,7440.4,2507.2,6222.2,9207.1,4612.6,8205.3,6484.5,4730.8
4.31,7419.8,2494.3,6220.5,9199.7,4604.9,8203.7,6506.9,4752.6
4.42,7405.9,2484.8,6217.4,9195.9,4598.2,8203.9,6515.1,4768.4
4.50,7405.9,2484.8,6217.4,9195.9,4598.2,8203.9,6515.1,4768.4
